"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Green Bay (GB)","vs. WAS","1","5","1.3","0.8","9.6"
"2","undefined","","Minnesota (MIN)","vs. DET","1","5","2.1","0.5","9.3"
"3","undefined","","Pittsburgh (PIT)","at ARI","1","15","4.3","1.7","9.2"
"4","undefined","","Baltimore (BAL)","at BUF","1","11","4.8","2.1","8.8"
"5","undefined","","Philadelphia (PHI)","vs. NYG","2","16","5.4","1.7","8.3"
"6","undefined","","Houston (HOU)","vs. DEN","1","13","5.9","1.7","8.2"
"7","undefined","","Dallas (DAL)","at CHI","3","14","6.6","2.1","8.2"
"8","undefined","","Cleveland (CLE)","vs. CIN","4","17","7.8","2.8","8.1"
"9","undefined","","New York (NYJ)","vs. MIA","5","19","9.0","1.8","8.0"
"10","undefined","","New Orleans (NO)","vs. SF","7","16","11.1","2.0","8.0"
"11","undefined","","New England (NE)","vs. KC","9","19","12.8","2.3","7.6"
"12","undefined","","Indianapolis (IND)","at TB","6","20","13.1","3.2","7.6"
"13","undefined","","Chicago (CHI)","vs. DAL","9","21","14.3","3.3","7.5"
"14","undefined","","Los Angeles (LAC)","at JAC","9","22","15.3","3.6","7.5"
"15","undefined","","Tennessee (TEN)","at OAK","7","23","14.6","4.2","7.5"
"16","undefined","","San Francisco (SF)","at NO","11","28","16.4","3.8","6.9"
"17","undefined","","Tampa Bay (TB)","vs. IND","11","26","17.6","3.0","6.9"
"18","undefined","","Jacksonville (JAC)","vs. LAC","10","24","17.9","2.8","6.7"
"19","undefined","","Carolina (CAR)","at ATL","11","23","17.6","3.0","6.6"
"20","undefined","","Atlanta (ATL)","vs. CAR","7","27","18.7","5.4","6.5"
"21","undefined","","Seattle (SEA)","at LAR","9","25","20.0","3.1","6.4"
"22","undefined","","Los Angeles (LAR)","vs. SEA","15","26","20.3","2.7","6.3"
"23","undefined","","Arizona (ARI)","vs. PIT","14","28","23.4","3.1","6.3"
"24","undefined","","Cincinnati (CIN)","at CLE","8","29","23.8","2.6","6.1"
"25","undefined","","Buffalo (BUF)","vs. BAL","18","29","24.5","2.7","6.1"
"26","undefined","","Kansas City (KC)","at NE","13","30","25.0","2.6","5.9"
"27","undefined","","Oakland (OAK)","vs. TEN","20","31","27.0","2.3","5.9"
"28","undefined","","Denver (DEN)","at HOU","16","30","27.1","1.6","5.8"
"29","undefined","","Miami (MIA)","at NYJ","24","30","27.6","1.6","5.7"
"30","undefined","","New York (NYG)","at PHI","25","31","29.9","0.8","5.7"
"31","undefined","","Detroit (DET)","at MIN","24","32","31.0","0.8","5.3"
"32","undefined","","Washington (WAS)","at GB","31","32","31.8","0.4","5.1"
""
""
