"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","DeAndre Hopkins","HOU","at TB","1","5","1.2","0.6","13.9"
"2","undefined","","Michael Thomas","NO","at TEN","1","5","2.3","0.7","12.8"
"3","undefined","","Julio Jones","ATL","vs. JAC","1","5","3.1","0.8","12.2"
"4","undefined","","Tyreek Hill","KC","at CHI","1","6","3.8","0.6","11.7"
"5","undefined","","Davante Adams","GB","at MIN","1","6","4.8","0.8","10.5"
"6","undefined","","Devante Parker","MIA","vs. CIN","4","21","7.8","2.0","10.5"
"7","undefined","","Tyler Lockett","SEA","vs. ARI","4","12","8.0","1.8","10.3"
"8","undefined","","D.J. Moore","CAR","at IND","5","21","8.2","1.8","10.2"
"9","undefined","","Keenan Allen","LAC","vs. OAK","5","16","8.5","2.0","10.2"
"10","undefined","","Allen Robinson","CHI","vs. KC","6","15","10.7","1.6","10.0"
"11","undefined","","Courtland Sutton","DEN","vs. DET","7","15","10.7","1.6","9.9"
"12","undefined","","Amari Cooper","DAL","at PHI","7","19","12.1","2.2","9.8"
"13","undefined","","Stefon Diggs","MIN","vs. GB","6","27","13.1","3.3","9.7"
"14","undefined","","A.J. Brown","TEN","vs. NO","6","30","15.1","2.1","9.7"
"15","undefined","","Terry McLaurin","WAS","vs. NYG","8","21","15.4","2.2","9.6"
"16","undefined","","Breshad Perriman","TB","vs. HOU","12","36","16.1","2.8","9.6"
"17","undefined","","Tyler Boyd","CIN","at MIA","9","30","18.3","4.2","9.5"
"18","undefined","","Julian Edelman","NE ","vs. BUF","10","30","19.0","4.0","9.5"
"19","undefined","","Robert Woods","LAR","at SF","12","34","19.5","3.9","9.4"
"20","undefined","","D.K. Metcalf","SEA","vs. ARI","16","32","21.3","3.3","9.4"
"21","undefined","","Will Fuller","HOU ","at TB","13","28","21.8","2.8","9.4"
"22","undefined","","Kenny Golladay","DET","at DEN","16","33","22.4","3.2","9.3"
"23","undefined","","Mike Williams","LAC","vs. OAK","13","32","23.0","2.7","9.0"
"24","undefined","","Cooper Kupp","LAR","at SF","18","32","23.4","3.3","8.8"
"25","undefined","","Adam Thielen","MIN","vs. GB","14","34","23.6","3.6","8.8"
"26","undefined","","Jarvis Landry","CLE","vs. BAL","17","35","25.0","3.6","8.7"
"27","undefined","","Michael Gallup","DAL","at PHI","12","40","25.8","4.3","8.7"
"28","undefined","","Christian Kirk","ARI ","at SEA","21","45","28.9","3.6","8.6"
"29","undefined","","T.Y. Hilton","IND","vs. CAR","20","39","29.1","3.3","8.3"
"30","undefined","","Anthony Miller","CHI","vs. KC","15","48","29.4","2.1","8.3"
"31","undefined","","Odell Beckham Jr.","CLE","vs. BAL","23","44","31.6","2.4","8.3"
"32","undefined","","Darius Slayton","NYG","at WAS","26","38","32.5","2.8","8.2"
"33","undefined","","Emmanuel Sanders","SF","vs. LAR","30","39","34.2","2.3","8.2"
"34","undefined","","John Brown","BUF","at NE","32","42","35.6","1.9","8.2"
"35","undefined","","Deebo Samuel","SF","vs. LAR","30","41","35.9","2.2","8.2"
"36","undefined","","Sterling Shepard","NYG","at WAS","24","51","36.1","3.1","8.0"
"37","undefined","","Marquise Brown","BAL","at CLE","25","47","36.5","3.5","7.4"
"38","undefined","","D.J. Chark","JAC","at ATL","10","58","32.4","6.5","7.3"
"39","undefined","","Robby Anderson","NYJ","vs. PIT","32","53","39.5","3.1","7.3"
"40","undefined","","Jamison Crowder","NYJ","vs. PIT","37","51","41.3","2.6","7.2"
"41","undefined","","Justin Watson","TB","vs. HOU","33","56","42.9","4.5","7.2"
"42","undefined","","Zach Pascal","IND","vs. CAR","37","61","44.6","4.4","7.1"
"43","undefined","","Golden Tate","NYG","at WAS","31","57","45.4","3.7","6.9"
"44","undefined","","Curtis Samuel","CAR","at IND","28","111","45.6","5.3","6.9"
"45","undefined","","James Washington","PIT","at NYJ","23","56","46.4","4.9","6.8"
"46","undefined","","Chris Conley","JAC","at ATL","39","56","46.9","3.7","6.6"
"47","undefined","","Greg Ward","PHI","vs. DAL","27","56","48.0","5.7","6.5"
"48","undefined","","Dede Westbrook","JAC","at ATL","36","63","48.2","5.2","6.5"
"49","undefined","","Tyrell Williams","OAK","at LAC","41","58","49.4","4.2","6.5"
"50","undefined","","Sammy Watkins","KC","at CHI","38","57","49.6","3.8","6.4"
"51","undefined","","Kenny Stills","HOU","at TB","39","67","51.8","4.2","6.3"
"52","undefined","","Larry Fitzgerald","ARI","at SEA","41","62","52.7","4.4","6.3"
"53","undefined","","Cole Beasley","BUF","at NE","46","63","53.5","3.0","6.2"
"54","undefined","","Danny Amendola","DET","at DEN","29","73","53.5","6.4","6.0"
