"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Derrick Henry","TEN","at BAL","1","2","1.4","0.5","15.8"
"2","undefined","","Aaron Jones","GB","vs. SEA","1","4","1.6","0.6","15.7"
"3","undefined","","Dalvin Cook","MIN","at SF","2","5","3.1","0.3","15.2"
"4","undefined","","Damien Williams","KC","vs. HOU","2","6","4.3","0.8","12.7"
"5","undefined","","Mark Ingram","BAL","vs. TEN","3","8","5.8","1.2","11.3"
"6","undefined","","Raheem Mostert","SF","vs. MIN","3","8","6.1","1.1","10.9"
"7","undefined","","Carlos Hyde","HOU","at KC","5","10","6.9","1.1","8.9"
"8","undefined","","Marshawn Lynch","SEA","at GB","5","8","6.9","1.1","8.7"
"9","undefined","","Gus Edwards","BAL","vs. TEN","9","11","9.5","0.5","8.4"
"10","undefined","","Duke Johnson","HOU","at KC","9","14","10.4","1.3","6.6"
"11","undefined","","Jamaal Williams","GB","vs. SEA","9","13","11.3","0.8","6.5"
"12","undefined","","Travis Homer","SEA","at GB","6","21","12.7","2.2","5.1"
"13","undefined","","LeSean McCoy","KC","vs. HOU","10","16","12.9","1.0","4.9"
"14","undefined","","Matt Breida","SF","vs. MIN","11","16","13.1","1.3","4.4"
"15","undefined","","Alexander Mattison","MIN","at SF","14","19","14.8","0.8","3.7"
"16","undefined","","Tevin Coleman","SF","vs. MIN","11","18","15.6","0.7","3.4"
"17","undefined","","Justice Hill","BAL","vs. TEN","14","19","17.0","0.7","3.3"
"18","undefined","","Darwin Thompson","KC","vs. HOU","13","20","18.4","0.8","2.8"
"19","undefined","","Dion Lewis","TEN","at BAL","18","21","19.9","0.8","2.1"
"20","undefined","","Mike Boone","MIN","at SF","17","22","19.8","0.9","1.9"
"21","undefined","","Ameer Abdullah","MIN","at SF","20","26","21.3","0.7","1.1"
"22","undefined","","Robert Turbin","SEA","at GB","17","18","17.7","0.5","1.1"
"23","undefined","","CJ Ham","MIN","at SF","23","28","24.0","1.7","0.9"
"24","undefined","","Kyle Juszczyk","SF","vs. MIN","23","24","23.5","0.5","0.8"
"25","undefined","","Dexter Williams","GB","vs. SEA","23","27","25.0","2.0","0.6"
""
""
