"Rank","Tier","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"1","undefined","","Christian McCaffrey","CAR","RB1","vs. TB","1","4","1.4","0.7"
"2","undefined","","Saquon Barkley","NYG","RB2","vs. BUF","1","12","2.7","0.9"
"3","undefined","","Alvin Kamara","NO","RB3","at LAR","1","8","3.1","0.8"
"4","undefined","","Ezekiel Elliott","DAL","RB4","at WAS","1","63","3.8","3.1"
"5","undefined","","Nick Chubb","CLE","RB5","at NYJ","1","28","6.2","2.8"
"6","undefined","","Julio Jones","ATL","WR1","vs. PHI","4","24","8.9","2.7"
"7","undefined","","James Conner","PIT","RB6","vs. SEA","5","75","10.5","4.6"
"8","undefined","","DeAndre Hopkins","HOU","WR2","vs. JAC","5","28","10.6","4.0"
"9","undefined","","Dalvin Cook","MIN","RB7","at GB","2","35","10.7","3.9"
"10","undefined","","Le'Veon Bell","NYJ","RB8","vs. CLE","2","44","11.0","8.2"
"11","undefined","","Chris Carson","SEA","RB9","at PIT","5","34","12.1","5.0"
"12","undefined","","Odell Beckham Jr.","CLE","WR3","at NYJ","5","30","13.7","3.9"
"13","undefined","","Derrick Henry","TEN","RB10","vs. IND","1","56","14.9","7.2"
"14","undefined","","Todd Gurley","LAR","RB11","vs. NO","5","44","16.2","6.0"
"15","undefined","","David Johnson","ARI","RB12","at BAL","4","44","16.7","7.1"
"16","undefined","","Michael Thomas","NO","WR4","at LAR","7","28","16.7","4.7"
"17","undefined","","Travis Kelce","KC","TE1","at OAK","8","51","17.7","6.9"
"18","undefined","","Davante Adams","GB","WR5","vs. MIN","10","48","17.8","5.3"
"19","undefined","","Mark Ingram","BAL","RB13","vs. ARI","6","49","18.6","5.4"
"20","undefined","","Austin Ekeler","LAC","RB14","at DET","2","65","20.1","7.5"
"21","undefined","","JuJu Smith-Schuster","PIT","WR6","vs. SEA","10","61","20.3","4.8"
"22","undefined","","Sony Michel","NE","RB15","at MIA","5","66","21.2","7.7"
"23","undefined","","Keenan Allen","LAC","WR7","at DET","9","38","22.5","4.4"
"24","undefined","","Josh Jacobs","OAK","RB16","vs. KC","8","51","23.2","6.0"
"25","undefined","","Sammy Watkins","KC","WR8","at OAK","7","52","23.5","5.8"
"26","undefined","","Marlon Mack","IND","RB17","at TEN","5","65","25.1","7.6"
