"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev"
"1","undefined","","Christian McCaffrey","CAR","vs. TB","1","4","1.4","0.7"
"2","undefined","","Saquon Barkley","NYG","vs. BUF","1","10","2.7","0.9"
"3","undefined","","Alvin Kamara","NO","at LAR","1","7","3.1","0.8"
"4","undefined","","Ezekiel Elliott","DAL","at WAS","1","31","3.6","2.4"
"5","undefined","","Nick Chubb","CLE","at NYJ","1","19","5.8","1.7"
"6","undefined","","Dalvin Cook","MIN","at GB","2","23","8.7","2.3"
"7","undefined","","Le'Veon Bell","NYJ","vs. CLE","2","29","8.8","4.7"
"8","undefined","","James Conner","PIT","vs. SEA","5","34","8.8","3.2"
"9","undefined","","Chris Carson","SEA","at PIT","5","21","9.3","2.5"
"10","undefined","","Derrick Henry","TEN","vs. IND","1","26","11.0","4.0"
"11","undefined","","Todd Gurley","LAR","vs. NO","5","24","11.8","3.1"
"12","undefined","","David Johnson","ARI","at BAL","4","24","11.9","3.7"
"13","undefined","","Mark Ingram","BAL","vs. ARI","5","25","13.0","3.1"
"14","undefined","","Austin Ekeler","LAC","at DET","2","29","13.5","4.1"
"15","undefined","","Sony Michel","NE","at MIA","5","30","14.2","3.5"
"16","undefined","","Josh Jacobs","OAK","vs. KC","5","28","15.3","2.9"
"17","undefined","","Leonard Fournette","JAC","at HOU","4","26","16.2","2.8"
"18","undefined","","Marlon Mack","IND","at TEN","5","29","16.3","3.2"
"19","undefined","","Damien Williams","KC","at OAK","8","40","19.6","2.7"
"20","undefined","","Kerryon Johnson","DET","vs. LAC","9","30","20.0","2.1"
"21","undefined","","Matt Breida","SF","at CIN","9","28","21.2","2.3"
"22","undefined","","Aaron Jones","GB","vs. MIN","5","30","21.9","2.6"
"23","undefined","","Devonta Freeman","ATL","vs. PHI","14","37","23.3","3.3"
"24","undefined","","LeSean McCoy","KC","at OAK","16","50","26.3","4.8"
"25","undefined","","Devin Singletary","BUF","at NYG","13","45","26.4","3.6"
"26","undefined","","Duke Johnson","HOU","vs. JAC","11","42","27.0","3.3"
"27","undefined","","James White","NE","at MIA","16","39","28.4","3.0"
"28","undefined","","Adrian Peterson","WAS","vs. DAL","12","41","29.0","3.9"
"29","undefined","","Phillip Lindsay","DEN","vs. CHI","10","42","29.3","3.9"
"30","undefined","","Miles Sanders","PHI","at ATL","19","44","29.5","3.3"
"31","undefined","","David Montgomery","CHI","at DEN","16","51","30.8","4.0"
"32","undefined","","Giovani Bernard","CIN","vs. SF","17","55","33.1","7.0"
"33","undefined","","Latavius Murray","NO","at LAR","22","49","33.5","4.2"
"34","undefined","","Tarik Cohen","CHI","at DEN","24","52","33.8","3.1"
"35","undefined","","Kenyan Drake","MIA","vs. NE","22","60","36.7","4.4"
"36","undefined","","Ronald Jones II","TB","at CAR","27","57","37.0","4.8"
"37","undefined","","Royce Freeman","DEN","vs. CHI","31","53","38.5","3.0"
"38","undefined","","Justin Jackson","LAC","at DET","29","53","38.6","3.8"
"39","undefined","","Carlos Hyde","HOU","vs. JAC","26","62","39.8","4.0"
"40","undefined","","Chris Thompson","WAS","vs. DAL","27","57","40.0","5.4"
"41","undefined","","Malcolm Brown","LAR","vs. NO","19","65","40.9","5.4"
"42","undefined","","Jordan Howard","PHI","at ATL","33","60","41.8","4.8"
"43","undefined","","Rex Burkhead","NE","at MIA","14","62","44.2","5.9"
"44","undefined","","Peyton Barber","TB","at CAR","31","64","45.6","4.7"
"45","undefined","","Rashaad Penny","SEA","at PIT","38","59","46.6","4.5"
"46","undefined","","Mike Davis","CHI","at DEN","30","60","47.3","4.1"
"47","undefined","","C.J. Anderson","DET","vs. LAC","40","60","48.4","3.3"
"48","undefined","","Ito Smith","ATL","vs. PHI","39","61","48.8","3.1"
"49","undefined","","Raheem Mostert","SF","at CIN","21","87","47.7","8.0"
"50","undefined","","Dion Lewis","TEN","vs. IND","32","59","50.0","4.1"
"51","undefined","","Joe Mixon","CIN","vs. SF","7","95","37.0","13.9"
"52","undefined","","Frank Gore","BUF","at NYG","33","63","51.4","4.3"
"53","undefined","","Kalen Ballage","MIA","vs. NE","39","64","52.5","4.0"
"54","undefined","","Nyheim Hines","IND","at TEN","40","68","55.5","2.7"
"55","undefined","","Darren Sproles","PHI","at ATL","34","85","57.9","7.5"
"56","undefined","","Jaylen Samuels","PIT","vs. SEA","38","67","57.0","3.1"
"57","undefined","","Justice Hill","BAL","vs. ARI","44","68","55.1","4.4"
"58","undefined","","Jamaal Williams","GB","vs. MIN","46","66","57.1","3.6"
"59","undefined","","Alexander Mattison","MIN","at GB","33","77","57.5","4.6"
"60","undefined","","Gus Edwards","BAL","vs. ARI","36","72","55.6","5.6"
"61","undefined","","Jalen Richard","OAK","vs. KC","38","73","60.4","5.5"
"62","undefined","","Dare Ogunbowale","TB","at CAR","45","71","61.0","4.5"
"63","undefined","","Ty Montgomery","NYJ","vs. CLE","34","79","63.1","6.6"
"64","undefined","","Tony Pollard","DAL","at WAS","35","68","62.0","4.1"
"65","undefined","","Darrell Henderson","LAR","vs. NO","44","98","63.1","4.7"
"66","undefined","","Darwin Thompson","KC","at OAK","59","105","66.0","5.1"
"67","undefined","","Chase Edmonds","ARI","at BAL","59","79","68.0","2.9"
"68","undefined","","Wayne Gallman","NYG","vs. BUF","53","92","68.8","3.8"
"69","undefined","","Dontrell Hilliard","CLE","at NYJ","59","99","69.8","3.7"
"70","undefined","","Ryquell Armstead","JAC","at HOU","60","74","70.0","2.7"
"71","undefined","","T.J. Yeldon","BUF","at NYG","60","97","71.5","4.7"
"72","undefined","","Jeff Wilson","SF","at CIN","38","100","68.4","5.7"
"73","undefined","","Damien Harris","NE","at MIA","52","118","72.5","8.0"
"74","undefined","","Corey Clement","PHI","at ATL","55","105","76.0","5.4"
"75","undefined","","Devontae Booker","DEN","vs. CHI","65","93","77.5","3.9"
"76","undefined","","Ty Johnson","DET","vs. LAC","65","131","77.0","7.4"
"77","undefined","","Trayveon Williams","CIN","vs. SF","19","103","75.1","5.3"
"78","undefined","","Jordan Wilkins","IND","at TEN","69","93","79.1","3.7"
"79","undefined","","Wendell Smallwood","WAS","vs. DAL","67","103","78.7","4.5"
"80","undefined","","Benny Snell Jr.","PIT","vs. SEA","68","114","81.1","4.5"
"81","undefined","","Ameer Abdullah","MIN","at GB","75","107","83.5","6.3"
"82","undefined","","Jordan Scarlett","CAR","vs. TB","68","114","82.9","7.3"
"83","undefined","","Mike Boone","MIN","at GB","75","120","84.2","5.5"
"84","undefined","","DeAndre Washington","OAK","vs. KC","63","132","83.7","9.5"
"85","undefined","","Mark Walton","MIA","vs. NE","74","107","85.4","4.5"
"86","undefined","","Brian Hill","ATL","vs. PHI","71","122","86.1","6.8"
"87","undefined","","Bilal Powell","NYJ","vs. CLE","54","103","86.7","6.0"
"88","undefined","","Elijah McGuire","CLE","at NYJ","61","105","86.9","4.8"
"89","undefined","","C.J. Prosise","SEA","at PIT","70","122","92.0","8.0"
"90","undefined","","J.D. McKissic","DET","vs. LAC","71","129","90.3","6.9"
"91","undefined","","Josh Adams","NYJ","vs. CLE","64","102","87.4","4.9"
"92","undefined","","John Kelly","LAR","vs. NO","71","94","86.3","3.0"
"93","undefined","","D'Ernest Johnson","CLE","at NYJ","62","100","89.5","9.5"
"94","undefined","","Reggie Bonnafon","CAR","vs. TB","71","101","90.1","6.9"
"95","undefined","","Myles Gaskin","MIA","vs. NE","80","117","92.1","4.8"
"96","undefined","","Qadree Ollison","ATL","vs. PHI","76","98","92.9","3.1"
"97","undefined","","Dexter Williams","GB","vs. MIN","72","121","95.4","5.8"
"98","undefined","","James Develin","NE","at MIA","77","134","96.6","8.9"
"99","undefined","","Buddy Howell","HOU","vs. JAC","83","109","97.7","2.3"
"100","undefined","","Kyle Juszczyk","SF","at CIN","71","119","95.1","9.0"
"101","undefined","","Darrel Williams","KC","at OAK","76","117","94.9","7.6"
"102","undefined","","Alex Armah","CAR","vs. TB","78","100","88.3","6.1"
"103","undefined","","Patrick DiMarco","BUF","at NYG","73","109","92.5","10.4"
"104","undefined","","Troymaine Pope","LAC","at DET","84","110","97.4","6.8"
"105","undefined","","Jamize Olawale","DAL","at WAS","85","126","98.4","13.2"
"106","undefined","","Tevin Coleman","SF","at CIN","22","93","81.2","11.9"
"107","undefined","","Zach Line","NO","at LAR","89","138","102.1","14.2"
"108","undefined","","Tavon Austin","DAL","at WAS","66","123","95.7","17.5"
"109","undefined","","Elijhaa Penny","NYG","vs. BUF","73","136","101.2","21.5"
"110","undefined","","Derek Watt","LAC","at DET","84","116","102.3","8.0"
"111","undefined","","Anthony Sherman","KC","at OAK","80","106","97.4","8.0"
"112","undefined","","Paul Perkins","NYG","vs. BUF","78","115","90.0","14.6"
"113","undefined","","CJ Ham","MIN","at GB","83","133","104.0","15.3"
"114","undefined","","Trenton Cannon","NYJ","vs. CLE","81","108","99.0","9.3"
"115","undefined","","Brandon Bolden","NE","at MIA","97","112","104.4","5.1"
"116","undefined","","Dwayne Washington","NO","at LAR","85","116","98.5","13.4"
"117","undefined","","Andre Ellington","FA","","47","99","73.0","26.0"
"118","undefined","","David Fluellen","TEN","vs. IND","78","111","94.0","13.5"
"119","undefined","","Mike Weber","DAL","at WAS","66","88","77.0","11.0"
"120","undefined","","Samaje Perine","CIN","vs. SF","66","126","95.7","24.5"
"121","undefined","","Devine Ozigbo","JAC","at HOU","69","137","100.0","28.1"
"122","undefined","","Travis Homer","SEA","at PIT","84","109","99.7","11.1"
"123","undefined","","Tyler Ervin","JAC","at HOU","71","123","100.7","21.9"
"124","undefined","","Kenjon Barner","ATL","vs. PHI","86","91","88.5","2.5"
"125","undefined","","Karan Higdon","HOU","vs. JAC","83","127","103.0","18.2"
"126","undefined","","Nick Bawden","DET","vs. LAC","88","117","104.3","12.1"
"127","undefined","","T.J. Logan","TB","at CAR","91","119","104.7","11.4"
"128","undefined","","D.J. Foster","ARI","at BAL","96","116","104.7","8.4"
"129","undefined","","Andy Janovich","DEN","vs. CHI","97","139","116.0","17.4"
"130","undefined","","Keith Smith","ATL","vs. PHI","101","113","107.0","6.0"
"131","undefined","","Taiwan Jones","HOU","vs. JAC","110","127","116.0","7.8"
"132","undefined","","Roosevelt Nix","PIT","vs. SEA","114","117","115.5","1.5"
"133","undefined","","Dan Vitale","GB","vs. MIN","115","120","117.5","2.5"
""
""
