"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev"
"1","undefined","","Julio Jones","ATL","vs. PHI","1","7","1.8","1.1"
"2","undefined","","DeAndre Hopkins","HOU","vs. JAC","1","10","2.3","1.6"
"3","undefined","","Odell Beckham Jr.","CLE","at NYJ","1","13","3.8","1.8"
"4","undefined","","Michael Thomas","NO","at LAR","1","10","4.6","1.8"
"5","undefined","","Davante Adams","GB","vs. MIN","2","22","5.1","2.2"
"6","undefined","","JuJu Smith-Schuster","PIT","vs. SEA","2","29","6.1","1.9"
"7","undefined","","Keenan Allen","LAC","at DET","2","25","7.1","2.1"
"8","undefined","","Sammy Watkins","KC","at OAK","1","25","7.5","2.8"
"9","undefined","","Amari Cooper","DAL","at WAS","5","21","9.5","1.9"
"10","undefined","","Mike Evans","TB","at CAR","3","26","11.0","3.5"
"11","undefined","","Robert Woods","LAR","vs. NO","7","49","12.5","3.1"
"12","undefined","","Adam Thielen","MIN","at GB","2","25","12.7","3.0"
"13","undefined","","Brandin Cooks","LAR","vs. NO","9","37","13.3","3.7"
"14","undefined","","T.Y. Hilton","IND","at TEN","4","27","15.4","3.7"
"15","undefined","","Julian Edelman","NE","at MIA","5","29","16.3","3.3"
"16","undefined","","Cooper Kupp","LAR","vs. NO","3","36","17.5","4.1"
"17","undefined","","Tyler Lockett","SEA","at PIT","7","65","18.0","5.0"
"18","undefined","","Chris Godwin","TB","at CAR","7","34","18.3","4.0"
"19","undefined","","D.J. Moore","CAR","vs. TB","11","47","18.6","4.6"
"20","undefined","","Tyler Boyd","CIN","vs. SF","7","51","21.0","4.0"
"21","undefined","","Kenny Golladay","DET","vs. LAC","10","35","22.6","4.0"
"22","undefined","","Josh Gordon","NE","at MIA","11","44","23.0","5.3"
"23","undefined","","Stefon Diggs","MIN","at GB","10","65","24.2","5.4"
"24","undefined","","Allen Robinson","CHI","at DEN","9","53","24.4","4.0"
"25","undefined","","Alshon Jeffery","PHI","at ATL","11","44","25.2","3.5"
"26","undefined","","DeSean Jackson","PHI","at ATL","7","44","25.6","4.7"
"27","undefined","","Tyrell Williams","OAK","vs. KC","3","50","25.9","6.1"
"28","undefined","","Calvin Ridley","ATL","vs. PHI","13","51","26.3","3.7"
"29","undefined","","John Brown","BUF","at NYG","6","54","27.4","4.5"
"30","undefined","","Michael Gallup","DAL","at WAS","18","60","33.2","4.9"
"31","undefined","","Curtis Samuel","CAR","vs. TB","14","59","33.8","5.5"
"32","undefined","","Will Fuller","HOU","vs. JAC","15","53","35.6","4.7"
"33","undefined","","Larry Fitzgerald","ARI","at BAL","19","53","36.0","3.7"
"34","undefined","","Jarvis Landry","CLE","at NYJ","22","50","36.1","4.0"
"35","undefined","","Antonio Brown","NE","at MIA","7","103","31.2","14.2"
"36","undefined","","Jamison Crowder","NYJ","vs. CLE","16","60","36.9","6.2"
"37","undefined","","Robby Anderson","NYJ","vs. CLE","24","64","36.1","7.6"
"38","undefined","","Dede Westbrook","JAC","at HOU","20","52","39.6","4.3"
"39","undefined","","Marvin Jones","DET","vs. LAC","28","70","39.8","5.0"
"40","undefined","","John Ross","CIN","vs. SF","18","63","40.7","6.3"
"41","undefined","","Christian Kirk","ARI","at BAL","22","57","41.2","4.7"
"42","undefined","","Courtland Sutton","DEN","vs. CHI","17","53","42.0","5.5"
"43","undefined","","D.K. Metcalf","SEA","at PIT","26","63","42.0","4.9"
"44","undefined","","Marquez Valdes-Scantling","GB","vs. MIN","35","69","44.7","4.3"
"45","undefined","","Marquise Brown","BAL","vs. ARI","21","77","45.1","7.2"
"46","undefined","","Emmanuel Sanders","DEN","vs. CHI","19","65","47.1","6.0"
"47","undefined","","Mecole Hardman","KC","at OAK","13","77","45.7","7.2"
"48","undefined","","Corey Davis","TEN","vs. IND","23","98","48.6","6.0"
"49","undefined","","Terry McLaurin","WAS","vs. DAL","18","95","50.6","8.3"
"50","undefined","","Donte Moncrief","PIT","vs. SEA","36","65","50.7","4.6"
"51","undefined","","Mohamed Sanu","ATL","vs. PHI","41","70","55.4","4.3"
"52","undefined","","Devante Parker","MIA","vs. NE","33","81","56.6","6.2"
"53","undefined","","A.J. Brown","TEN","vs. IND","13","90","57.1","7.3"
"54","undefined","","James Washington","PIT","vs. SEA","33","101","55.7","9.2"
"55","undefined","","Mike Williams","LAC","at DET","23","131","46.1","19.9"
"56","undefined","","Ted Ginn","NO","at LAR","34","93","57.6","7.7"
"57","undefined","","Marquise Goodwin","SF","at CIN","44","85","57.6","6.1"
"58","undefined","","Danny Amendola","DET","vs. LAC","33","84","63.3","8.3"
"59","undefined","","Geronimo Allison","GB","vs. MIN","44","103","61.1","8.4"
"60","undefined","","D.J. Chark","JAC","at HOU","42","99","63.5","7.5"
"61","undefined","","Randall Cobb","DAL","at WAS","42","92","64.6","6.6"
"62","undefined","","Trey Quinn","WAS","vs. DAL","48","110","66.4","6.8"
"63","undefined","","Deebo Samuel","SF","at CIN","36","96","65.2","8.0"
"64","undefined","","Kenny Stills","HOU","vs. JAC","46","101","65.3","7.7"
"65","undefined","","Chris Conley","JAC","at HOU","40","90","67.2","8.1"
"66","undefined","","Cole Beasley","BUF","at NYG","30","87","68.7","11.6"
"67","undefined","","Anthony Miller","CHI","at DEN","43","119","67.7","12.9"
"68","undefined","","Tre'Quan Smith","NO","at LAR","53","90","69.0","7.1"
"69","undefined","","Dante Pettis","SF","at CIN","30","108","66.0","11.3"
"70","undefined","","Rashard Higgins","CLE","at NYJ","54","90","72.3","5.8"
"71","undefined","","DaeSean Hamilton","DEN","vs. CHI","52","96","74.2","6.4"
"72","undefined","","Willie Snead","BAL","vs. ARI","46","94","73.7","6.8"
"73","undefined","","Taylor Gabriel","CHI","at DEN","55","101","75.4","6.1"
"74","undefined","","Paul Richardson","WAS","vs. DAL","43","92","74.6","8.0"
"75","undefined","","Zay Jones","BUF","at NYG","36","98","76.4","7.7"
"76","undefined","","Adam Humphries","TEN","vs. IND","39","100","75.2","6.6"
"77","undefined","","Preston Williams","MIA","vs. NE","37","145","73.8","11.3"
"78","undefined","","KeeSean Johnson","ARI","at BAL","31","106","77.4","9.7"
"79","undefined","","Phillip Dorsett","NE","at MIA","28","114","78.7","10.2"
"80","undefined","","Demarcus Robinson","KC","at OAK","53","109","79.0","8.9"
"81","undefined","","Parris Campbell","IND","at TEN","58","121","81.9","9.9"
"82","undefined","","Keke Coutee","HOU","vs. JAC","52","109","82.2","8.2"
"83","undefined","","Hunter Renfrow","OAK","vs. KC","57","105","85.0","6.7"
"84","undefined","","Miles Boykin","BAL","vs. ARI","59","123","84.5","8.4"
"85","undefined","","Cody Latimer","NYG","vs. BUF","30","103","78.8","15.0"
