"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev"
"1","undefined","","Los Angeles (LAC)","at MIA","1","3","1.1","0.2"
"2","undefined","","Los Angeles (LAR)","vs. TB","1","6","2.4","0.9"
"3","undefined","","New England (NE)","at BUF","1","10","3.8","1.4"
"4","undefined","","Chicago (CHI)","vs. MIN","2","11","3.9","1.6"
"5","undefined","","Baltimore (BAL)","vs. CLE","2","9","5.2","1.3"
"6","undefined","","Jacksonville (JAC)","at DEN","3","14","6.6","2.0"
"7","undefined","","Minnesota (MIN)","at CHI","4","13","7.6","1.6"
"8","undefined","","Houston (HOU)","vs. CAR","5","15","9.0","1.9"
"9","undefined","","Indianapolis (IND)","vs. OAK","5","16","10.2","1.8"
"10","undefined","","Pittsburgh (PIT)","vs. CIN","5","15","10.9","2.1"
"11","undefined","","Green Bay (GB)","vs. PHI","7","15","11.2","1.7"
"12","undefined","","Denver (DEN)","vs. JAC","3","23","11.4","4.0"
"13","undefined","","Dallas (DAL)","at NO","8","22","11.9","3.1"
"14","undefined","","Seattle (SEA)","at ARI","3","20","12.7","3.0"
"15","undefined","","Atlanta (ATL)","vs. TEN","6","23","15.3","2.6"
"16","undefined","","Tennessee (TEN)","at ATL","10","24","16.3","2.3"
"17","undefined","","Kansas City (KC)","at DET","11","20","16.7","1.4"
"18","undefined","","New York (NYG)","vs. WAS","15","24","18.3","1.6"
"19","undefined","","Cleveland (CLE)","at BAL","14","25","19.6","2.3"
"20","undefined","","Cincinnati (CIN)","at PIT","14","24","20.1","1.9"
"21","undefined","","Carolina (CAR)","at HOU","5","24","20.4","2.5"
"22","undefined","","New Orleans (NO)","vs. DAL","14","23","21.0","1.6"
"23","undefined","","Buffalo (BUF)","vs. NE","18","27","23.1","1.9"
"24","undefined","","Philadelphia (PHI)","at GB","16","26","23.9","1.9"
"25","undefined","","Washington (WAS)","at NYG","15","30","23.5","2.2"
"26","undefined","","Oakland (OAK)","at IND","25","28","26.2","0.6"
"27","undefined","","Arizona (ARI)","vs. SEA","20","29","26.9","1.0"
"28","undefined","","Tampa Bay (TB)","at LAR","21","30","28.0","0.7"
"29","undefined","","Miami (MIA)","vs. LAC","26","30","29.1","0.9"
"30","undefined","","Detroit (DET)","vs. KC","26","30","29.4","0.6"
""
""
