"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev"
"1","undefined","","Patrick Mahomes","KC","at DET","1","1","1.0","0.0"
"2","undefined","","Lamar Jackson","BAL","vs. CLE","2","5","2.7","0.8"
"3","undefined","","Deshaun Watson","HOU","vs. CAR","2","4","2.8","0.6"
"4","undefined","","Russell Wilson","SEA","at ARI","2","6","3.9","0.9"
"5","undefined","","Dak Prescott","DAL","at NO","3","13","5.6","1.5"
"6","undefined","","Aaron Rodgers","GB","vs. PHI","5","11","7.2","1.2"
"7","undefined","","Jared Goff","LAR","vs. TB","2","16","7.6","2.5"
"8","undefined","","Philip Rivers","LAC","at MIA","3","14","7.6","2.3"
"9","undefined","","Matt Ryan","ATL","vs. TEN","6","18","9.1","1.1"
"10","undefined","","Kyler Murray","ARI","vs. SEA","5","16","9.4","1.6"
"11","undefined","","Daniel Jones","NYG","vs. WAS","6","14","10.4","1.3"
"12","undefined","","Tom Brady","NE","at BUF","9","17","12.6","1.7"
"13","undefined","","Matthew Stafford","DET","vs. KC","10","19","12.9","1.6"
"14","undefined","","Carson Wentz","PHI","at GB","9","18","13.7","1.3"
"15","undefined","","Josh Allen","BUF","vs. NE","11","21","15.2","1.8"
"16","undefined","","Jacoby Brissett","IND","vs. OAK","10","20","16.4","2.1"
"17","undefined","","Jameis Winston","TB","at LAR","14","22","17.7","1.8"
"18","undefined","","Andy Dalton","CIN","at PIT","12","25","18.6","2.5"
"19","undefined","","Kyle Allen","CAR","at HOU","12","26","18.6","2.3"
"20","undefined","","Case Keenum","WAS","at NYG","11","24","20.1","2.6"
"21","undefined","","Baker Mayfield","CLE","at BAL","17","26","20.1","1.6"
"22","undefined","","Mason Rudolph","PIT","vs. CIN","15","23","21.2","1.2"
"23","undefined","","Gardner Minshew","JAC","at DEN","21","26","23.3","1.2"
"24","undefined","","Marcus Mariota","TEN","at ATL","16","27","24.3","2.0"
"25","undefined","","Derek Carr","OAK","at IND","17","28","24.8","1.8"
"26","undefined","","Mitch Trubisky","CHI","vs. MIN","20","27","24.9","1.3"
"27","undefined","","Kirk Cousins","MIN","at CHI","23","30","27.6","1.7"
"28","undefined","","Teddy Bridgewater","NO","vs. DAL","25","30","27.7","1.1"
"29","undefined","","Joe Flacco","DEN","vs. JAC","22","29","28.5","0.7"
"30","undefined","","Josh Rosen","MIA","vs. LAC","28","31","29.9","0.5"
"31","undefined","","Taysom Hill","NO","vs. DAL","31","32","31.1","0.3"
"32","undefined","","Dwayne Haskins","WAS","at NYG","30","33","32.2","0.6"
"33","undefined","","Ryan Fitzpatrick","MIA","vs. LAC","32","33","32.6","0.5"
"34","undefined","","Eli Manning","NYG","vs. WAS","34","34","34.0","0.0"
""
""
