"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev"
"1","undefined","","Travis Kelce","KC","at DET","1","5","1.0","0.0"
"2","undefined","","Evan Engram","NYG","vs. WAS","1","8","2.2","0.4"
"3","undefined","","Darren Waller","OAK","at IND","2","6","3.7","1.1"
"4","undefined","","Zach Ertz","PHI","at GB","2","17","4.1","1.5"
"5","undefined","","Mark Andrews","BAL","vs. CLE","4","8","4.5","0.8"
"6","undefined","","Greg Olsen","CAR","at HOU","5","12","6.3","1.1"
"7","undefined","","Will Dissly","SEA","at ARI","3","10","6.7","1.8"
"8","undefined","","Delanie Walker","TEN","at ATL","6","11","7.8","1.2"
"9","undefined","","Austin Hooper","ATL","vs. TEN","6","11","9.4","1.3"
"10","undefined","","O.J. Howard","TB","at LAR","6","16","9.5","1.2"
"11","undefined","","Eric Ebron","IND","vs. OAK","8","13","11.6","1.3"
"12","undefined","","T.J. Hockenson","DET","vs. KC","8","15","11.9","1.5"
"13","undefined","","Vernon Davis","WAS","at NYG","9","16","12.8","1.0"
"14","undefined","","Jared Cook","NO","vs. DAL","12","36","14.0","1.1"
"15","undefined","","Jason Witten","DAL","at NO","8","19","15.1","2.1"
"16","undefined","","Tyler Eifert","CIN","at PIT","14","22","17.1","1.7"
"17","undefined","","Jack Doyle","IND","vs. OAK","15","27","17.7","1.7"
"18","undefined","","Jimmy Graham","GB","vs. PHI","13","28","18.7","2.2"
"19","undefined","","Trey Burton","CHI","vs. MIN","16","25","18.9","1.6"
"20","undefined","","Gerald Everett","LAR","vs. TB","14","27","20.3","3.3"
"21","undefined","","Noah Fant","DEN","vs. JAC","18","26","21.2","1.6"
"22","undefined","","Dawson Knox","BUF","vs. NE","11","27","21.8","2.2"
"23","undefined","","Jordan Akins","HOU","vs. CAR","16","26","22.5","2.3"
"24","undefined","","Kyle Rudolph","MIN","at CHI","21","30","24.3","1.2"
"25","undefined","","Mike Gesicki","MIA","vs. LAC","21","33","26.8","2.1"
"26","undefined","","Dallas Goedert","PHI","at GB","18","39","26.9","5.2"
"27","undefined","","Demetrius Harris","CLE","at BAL","22","31","27.7","2.8"
"28","undefined","","Cameron Brate","TB","at LAR","20","34","29.4","2.1"
"29","undefined","","Irv Smith Jr.","MIN","at CHI","26","33","30.7","1.7"
"30","undefined","","Hayden Hurst","BAL","vs. CLE","22","31","28.2","2.5"
"31","undefined","","Blake Jarwin","DAL","at NO","26","34","30.5","2.1"
