"Rank","Tier","WSIS","Quarterbacks","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Patrick Mahomes","KC","vs. HOU","1","5","1.1","0.3","23.2"
"2","undefined","","Lamar Jackson","BAL","vs. CIN","1","6","2.4","0.5","22.1"
"3","undefined","","Deshaun Watson","HOU","at KC","1","5","2.7","0.8","20.7"
"4","undefined","","Matt Ryan","ATL","at ARI","2","7","4.2","0.7","19.8"
"5","undefined","","Russell Wilson","SEA","at CLE","3","9","5.7","1.3","19.6"
"6","undefined","","Kyler Murray","ARI","vs. ATL","3","9","5.7","1.0","19.5"
"7","undefined","","Tom Brady","NE","vs. NYG","4","10","7.1","1.1","19.5"
"8","undefined","","Dak Prescott","DAL","at NYJ","6","10","7.5","0.8","19.4"
"9","undefined","","Aaron Rodgers","GB","vs. DET","8","14","9.8","1.4","18.6"
"10","undefined","","Jared Goff","LAR","vs. SF","6","19","10.1","1.7","17.9"
"11","undefined","","Jameis Winston","TB","vs. CAR","8","20","11.7","1.4","17.5"
"12","undefined","","Gardner Minshew","JAC","vs. NO","9","16","12.5","1.4","16.5"
"13","undefined","","Kirk Cousins","MIN","vs. PHI","10","21","13.0","2.0","16.4"
"14","undefined","","Philip Rivers","LAC","vs. PIT","9","19","14.2","1.4","15.9"
"15","undefined","","Carson Wentz","PHI","at MIN","9","22","14.7","2.0","15.8"
"16","undefined","","Jimmy Garoppolo","SF","at LAR","12","20","16.6","1.5","15.6"
"17","undefined","","Kyle Allen","CAR","at TB","12","25","16.8","2.1","14.9"
"18","undefined","","Baker Mayfield","CLE","vs. SEA","14","21","17.2","1.3","14.3"
"19","undefined","","Matthew Stafford","DET","at GB","10","24","18.6","1.5","14.2"
"20","undefined","","Andy Dalton","CIN","at BAL","8","25","20.5","1.6","14.1"
"21","undefined","","Case Keenum","WAS","at MIA","16","27","20.9","1.6","13.6"
"22","undefined","","Teddy Bridgewater","NO","at JAC","10","25","21.6","1.4","12.2"
"23","undefined","","Marcus Mariota","TEN","at DEN","19","26","23.4","1.5","12.0"
"24","undefined","","Sam Darnold","NYJ","vs. DAL","21","28","24.2","1.7","12.0"
"25","undefined","","Josh Rosen","MIA","vs. WAS","19","28","25.3","1.7","11.7"
"26","undefined","","Joe Flacco","DEN","vs. TEN","20","28","25.3","1.4","11.5"
"27","undefined","","Daniel Jones","NYG","at NE","23","29","26.8","1.8","12.0"
"28","undefined","","Devlin Hodges","PIT","at LAC","24","29","27.0","1.1","11.4"
"29","undefined","","Taysom Hill","NO","at JAC","27","29","28.7","0.5","5.4"
"30","undefined","","Blake Bortles","LAR","vs. SF","30","33","31.3","1.0","1.3"
"31","undefined","","Ryan Fitzpatrick","MIA","vs. WAS","30","39","32.4","2.6","1.1"
"32","undefined","","Ryan Tannehill","TEN","at DEN","30","34","32.1","1.0","1.0"
"33","undefined","","Dwayne Haskins","WAS","at MIA","30","33","31.2","1.3","1.0"
"34","undefined","","Jarrett Stidham","NE","vs. NYG","30","41","35.3","2.9","1.0"
"35","undefined","","Eli Manning","NYG","at NE","30","34","32.0","2.0","1.0"
"36","undefined","","Robert Griffin","BAL","vs. CIN","31","38","34.5","3.5","0.9"
"37","undefined","","AJ McCarron","HOU","at KC","34","40","37.0","3.0","0.8"
"38","undefined","","Geno Smith","SEA","at CLE","36","39","37.5","1.5","0.8"
"39","undefined","","Brett Hundley","ARI","vs. ATL","35","41","38.0","3.0","0.8"
"40","undefined","","Joshua Dobbs","JAC","vs. NO","40","44","42.0","2.0","0.4"
"41","undefined","","Sean Mannion","MIN","vs. PHI","42","45","43.5","1.5","0.4"
"42","undefined","","Nick Mullens","SF","at LAR","43","46","44.5","1.5","0.1"
"43","undefined","","Ryan Finley","CIN","at BAL","44","48","46.0","2.0","0.3"
""
""
