"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","San Francisco (SF)","at ARI","1","3","1.4","0.7","10.7"
"2","undefined","","Buffalo (BUF)","vs. WAS","1","4","2.3","0.8","10.7"
"3","undefined","","New England (NE)","at BAL","1","4","2.3","0.5","9.5"
"4","undefined","","Philadelphia (PHI)","vs. CHI","4","10","5.2","1.4","9.5"
"5","undefined","","Cleveland (CLE)","at DEN","3","11","5.6","1.5","8.8"
"6","undefined","","Seattle (SEA)","vs. TB","3","8","6.2","1.2","8.5"
"7","undefined","","Carolina (CAR)","vs. TEN","5","10","6.2","0.9","8.2"
"8","undefined","","New York (NYJ)","at MIA","4","15","8.3","2.1","8.2"
"9","undefined","","Dallas (DAL)","at NYG","6","14","9.4","1.3","8.0"
"10","undefined","","Denver (DEN)","vs. CLE","6","16","10.8","2.7","8.0"
"11","undefined","","Minnesota (MIN)","at KC","9","15","11.1","1.3","7.7"
"12","undefined","","Jacksonville (JAC)","vs. HOU","6","19","12.6","3.3","7.6"
"13","undefined","","Green Bay (GB)","at LAC","11","18","12.6","1.6","7.2"
"14","undefined","","Pittsburgh (PIT)","vs. IND","10","18","13.6","1.3","7.1"
"15","undefined","","Tennessee (TEN)","at CAR","11","18","14.7","1.9","6.7"
"16","undefined","","Indianapolis (IND)","at PIT","10","18","15.7","1.9","6.7"
"17","undefined","","Chicago (CHI)","at PHI","9","17","15.8","1.1","6.7"
"18","undefined","","Houston (HOU)","at JAC","13","26","17.5","1.1","6.3"
"19","undefined","","Detroit (DET)","at OAK","17","22","19.7","1.1","6.3"
"20","undefined","","Washington (WAS)","at BUF","17","22","20.2","1.1","6.3"
"21","undefined","","Kansas City (KC)","vs. MIN","20","23","21.3","0.9","6.2"
"22","undefined","","Los Angeles (LAC)","vs. GB","20","26","22.6","1.8","6.1"
"23","undefined","","Miami (MIA)","vs. NYJ","14","26","23.3","1.4","6.1"
"24","undefined","","Oakland (OAK)","vs. DET","22","25","23.8","0.8","6.0"
"25","undefined","","Baltimore (BAL)","vs. NE","20","27","24.9","1.5","5.9"
"26","undefined","","Arizona (ARI)","vs. SF","19","28","26.0","1.6","5.9"
"27","undefined","","Tampa Bay (TB)","at SEA","24","27","26.4","0.8","5.8"
"28","undefined","","New York (NYG)","vs. DAL","27","28","27.8","0.4","5.7"
""
""
