"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Christian McCaffrey","CAR","vs. TEN","1","2","1.2","0.4","21.3"
"2","undefined","","Dalvin Cook","MIN","at KC","1","5","1.9","0.6","19.7"
"3","undefined","","Ezekiel Elliott","DAL","at NYG","2","4","3.0","0.6","18.3"
"4","undefined","","Saquon Barkley","NYG","vs. DAL","3","7","4.2","0.9","18.3"
"5","undefined","","Aaron Jones","GB","at LAC","4","11","5.8","1.5","16.7"
"6","undefined","","Nick Chubb","CLE","at DEN","4","8","6.2","0.7","16.6"
"7","undefined","","Leonard Fournette","JAC","vs. HOU","4","8","6.3","1.3","16.5"
"8","undefined","","Le'Veon Bell","NYJ","at MIA","6","12","7.6","0.8","16.4"
"9","undefined","","Josh Jacobs","OAK","vs. DET","8","13","9.4","0.5","16.1"
"10","undefined","","Chris Carson","SEA","vs. TB","6","12","10.4","1.4","15.9"
"11","undefined","","Tevin Coleman","SF","at ARI","5","13","11.0","1.2","15.4"
"12","undefined","","Derrick Henry","TEN","at CAR","9","15","11.7","1.1","14.1"
"13","undefined","","Marlon Mack","IND","at PIT","12","19","14.1","1.2","13.9"
"14","undefined","","Phillip Lindsay","DEN","vs. CLE","13","24","15.0","0.9","13.5"
"15","undefined","","Austin Ekeler","LAC","vs. GB","13","26","15.8","2.1","13.1"
"16","undefined","","Melvin Gordon","LAC","vs. GB","13","23","16.7","1.4","12.6"
"17","undefined","","Sony Michel","NE","at BAL","15","27","18.2","1.9","12.3"
"18","undefined","","Mark Ingram","BAL","vs. NE","17","29","19.2","2.3","12.3"
"19","undefined","","Royce Freeman","DEN","vs. CLE","19","25","20.2","1.7","12.2"
"20","undefined","","David Montgomery","CHI","at PHI","15","26","21.9","1.7","12.1"
"21","undefined","","Carlos Hyde","HOU","at JAC","19","28","22.3","0.9","10.8"
"22","undefined","","Jordan Howard","PHI","vs. CHI","18","28","22.3","2.1","10.8"
"23","undefined","","James White","NE","at BAL","19","29","23.3","2.2","10.7"
"24","undefined","","Adrian Peterson","WAS","at BUF","14","34","24.5","3.6","10.6"
"25","undefined","","Mark Walton","MIA","vs. NYJ","14","33","25.2","3.6","10.3"
"26","undefined","","LeSean McCoy","KC","vs. MIN","24","35","27.2","1.6","10.1"
"27","undefined","","Jamaal Williams","GB","at LAC","21","34","27.6","2.5","9.8"
"28","undefined","","Kenyan Drake","ARI","vs. SF","18","46","29.1","3.1","9.6"
"29","undefined","","Jaylen Samuels","PIT","vs. IND","10","60","29.3","8.7","9.4"
"30","undefined","","Devin Singletary","BUF","vs. WAS","24","33","29.6","2.1","9.2"
"31","undefined","","Frank Gore","BUF","vs. WAS","24","34","30.6","1.8","9.2"
"32","undefined","","Miles Sanders","PHI","vs. CHI","26","38","31.8","2.2","9.1"
"33","undefined","","Damien Williams","KC","vs. MIN","24","41","34.5","2.2","8.9"
"34","undefined","","Matt Breida","SF","at ARI","25","54","34.6","5.5","8.5"
"35","undefined","","Ty Johnson","DET","at OAK","30","39","34.7","1.8","8.5"
"36","undefined","","James Conner","PIT","vs. IND","9","70","27.2","18.3","8.0"
"37","undefined","","Tarik Cohen","CHI","at PHI","32","44","35.8","1.6","7.9"
"38","undefined","","Duke Johnson","HOU","at JAC","32","42","37.1","2.2","7.8"
"39","undefined","","Ronald Jones II","TB","at SEA","32","40","37.1","1.4","7.8"
"40","undefined","","Peyton Barber","TB","at SEA","34","42","39.2","1.2","7.4"
"41","undefined","","Alexander Mattison","MIN","at KC","38","44","40.2","1.5","7.2"
"42","undefined","","Tra Carson","DET","at OAK","40","48","41.9","1.7","7.1"
"43","undefined","","Nyheim Hines","IND","at PIT","39","48","43.2","1.1","7.1"
"44","undefined","","J.D. McKissic","DET","at OAK","40","50","44.3","2.8","6.7"
"45","undefined","","Rashaad Penny","SEA","vs. TB","42","53","46.0","2.4","6.4"
"46","undefined","","Kalen Ballage","MIA","vs. NYJ","41","55","46.2","2.7","6.1"
"47","undefined","","DeAndre Washington","OAK","vs. DET","44","57","47.3","1.7","6.1"
"48","undefined","","Raheem Mostert","SF","at ARI","42","63","48.1","3.5","5.9"
"49","undefined","","Zach Zenner","ARI","vs. SF","38","58","48.8","4.0","5.9"
"50","undefined","","Rex Burkhead","NE","at BAL","43","58","49.8","2.9","5.9"
"51","undefined","","Wendell Smallwood","WAS","at BUF","43","71","50.9","4.5","5.4"
"52","undefined","","Dare Ogunbowale","TB","at SEA","46","57","51.3","1.7","5.3"
"53","undefined","","Dion Lewis","TEN","at CAR","48","65","53.4","2.9","4.8"
"54","undefined","","Jalen Richard","OAK","vs. DET","49","56","53.6","2.1","4.7"
"55","undefined","","Gus Edwards","BAL","vs. NE","46","60","55.2","2.5","4.6"
"56","undefined","","Tony Pollard","DAL","at NYG","50","63","56.2","2.8","4.5"
"57","undefined","","Boston Scott","PHI","vs. CHI","49","73","58.7","7.2","4.4"
"58","undefined","","Darrel Williams","KC","vs. MIN","53","85","61.0","6.7","4.1"
"59","undefined","","Dontrell Hilliard","CLE","at DEN","49","63","59.2","2.7","4.1"
"60","undefined","","Jordan Wilkins","IND","at PIT","56","69","61.1","3.0","4.0"
"61","undefined","","Justice Hill","BAL","vs. NE","56","67","62.5","3.5","3.9"
"62","undefined","","Ryquell Armstead","JAC","vs. HOU","59","66","63.6","1.7","3.7"
"63","undefined","","Ty Montgomery","NYJ","at MIA","50","67","62.2","3.3","3.5"
"64","undefined","","Alfred Morris","FA","","49","71","63.8","3.8","3.5"
"65","undefined","","Wayne Gallman","NYG","vs. DAL","58","78","65.9","3.9","3.4"
"66","undefined","","Jeff Wilson","SF","at ARI","55","80","64.4","8.1","3.3"
"67","undefined","","Reggie Bonnafon","CAR","vs. TEN","64","73","68.9","2.0","3.1"
"68","undefined","","CJ Ham","MIN","at KC","61","79","70.4","3.7","3.1"
"69","undefined","","Bilal Powell","NYJ","at MIA","60","89","70.9","5.3","3.0"
"70","undefined","","Brandon Bolden","NE","at BAL","56","98","71.2","8.6","2.8"
"71","undefined","","Mike Davis","CHI","at PHI","64","100","73.8","7.5","2.6"
"72","undefined","","Dan Vitale","GB","at LAC","62","80","74.0","4.8","2.6"
"73","undefined","","Andy Janovich","DEN","vs. CLE","67","81","74.0","4.4","2.3"
"74","undefined","","Patrick DiMarco","BUF","vs. WAS","66","83","76.6","5.1","2.2"
"75","undefined","","Elijhaa Penny","NYG","vs. DAL","70","84","77.0","4.3","2.1"
"76","undefined","","Alex Armah","CAR","vs. TEN","69","84","77.6","3.4","2.0"
"77","undefined","","Trey Edmunds","PIT","vs. IND","45","95","75.0","8.1","2.0"
"78","undefined","","Ameer Abdullah","MIN","at KC","72","99","79.3","7.2","2.0"
"79","undefined","","C.J. Prosise","SEA","vs. TB","66","98","78.3","7.7","1.8"
"80","undefined","","Jordan Scarlett","CAR","vs. TEN","71","92","78.3","6.3","1.8"
"81","undefined","","Derek Watt","LAC","vs. GB","74","83","80.8","2.3","1.8"
"82","undefined","","D'Ernest Johnson","CLE","at DEN","55","82","75.9","8.0","1.6"
"83","undefined","","Paul Perkins","DET","at OAK","59","80","72.8","4.0","1.6"
"84","undefined","","Darren Sproles","PHI","vs. CHI","50","75","60.7","10.5","1.6"
