"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","George Kittle","SF","at ARI","1","2","1.1","0.2","13.1"
"2","undefined","","Darren Waller","OAK","vs. DET","1","4","2.3","0.5","12.9"
"3","undefined","","Travis Kelce","KC","vs. MIN","1","5","3.0","0.6","12.3"
"4","undefined","","Hunter Henry","LAC","vs. GB","2","6","4.3","0.6","12.1"
"5","undefined","","Evan Engram","NYG","vs. DAL","2","6","4.5","0.7","10.9"
"6","undefined","","Zach Ertz","PHI","vs. CHI","4","14","6.5","1.3","10.9"
"7","undefined","","Mark Andrews","BAL","vs. NE","6","12","6.9","0.5","10.6"
"8","undefined","","Greg Olsen","CAR","vs. TEN","7","14","9.1","1.3","8.8"
"9","undefined","","T.J. Hockenson","DET","at OAK","8","13","9.1","1.2","7.2"
"10","undefined","","Jonnu Smith","TEN","at CAR","6","12","9.8","1.4","6.5"
"11","undefined","","Eric Ebron","IND","at PIT","8","15","11.2","1.1","6.3"
"12","undefined","","Dallas Goedert","PHI","vs. CHI","9","17","12.0","1.3","6.2"
"13","undefined","","Jimmy Graham","GB","at LAC","6","14","12.5","1.0","6.0"
"14","undefined","","Cameron Brate","TB","at SEA","8","16","13.7","2.3","5.8"
"15","undefined","","Darren Fells","HOU","at JAC","11","17","14.9","0.8","5.6"
"16","undefined","","Vance McDonald","PIT","vs. IND","14","18","16.1","1.1","5.4"
"17","undefined","","Jason Witten","DAL","at NYG","12","19","16.9","1.0","5.3"
"18","undefined","","Jack Doyle","IND","at PIT","17","22","18.5","0.7","5.2"
"19","undefined","","Kyle Rudolph","MIN","at KC","17","26","20.8","1.8","5.2"
"20","undefined","","Noah Fant","DEN","vs. CLE","16","28","20.3","2.6","5.2"
"21","undefined","","Mike Gesicki","MIA","vs. NYJ","18","32","23.9","3.2","4.9"
"22","undefined","","Jordan Akins","HOU","at JAC","19","26","22.5","1.9","4.7"
"23","undefined","","Irv Smith Jr.","MIN","at KC","21","31","24.4","2.6","4.4"
"24","undefined","","Benjamin Watson","NE","at BAL","20","28","25.1","1.9","4.3"
"25","undefined","","Dawson Knox","BUF","vs. WAS","21","36","25.2","3.4","4.3"
"26","undefined","","Trey Burton","CHI","at PHI","23","27","25.8","0.9","4.2"
"27","undefined","","Ryan Griffin","NYJ","at MIA","17","37","29.3","5.2","4.0"
"28","undefined","","Ricky Seals-Jones","CLE","at DEN","25","39","29.3","2.8","3.8"
"29","undefined","","Jacob Hollister","SEA","vs. TB","17","34","27.6","3.3","3.7"
