"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","DeAndre Hopkins","HOU","at JAC","1","4","1.2","0.4","18.9"
"2","undefined","","Amari Cooper","DAL","at NYG","1","5","2.3","0.6","15.1"
"3","undefined","","Chris Godwin","TB","at SEA","1","5","3.0","0.9","14.4"
"4","undefined","","Tyler Lockett","SEA","vs. TB","2","9","4.2","0.8","14.2"
"5","undefined","","Mike Evans","TB","at SEA","1","9","5.2","1.0","14.1"
"6","undefined","","Kenny Golladay","DET","at OAK","3","10","6.2","1.1","14.0"
"7","undefined","","Julian Edelman","NE","at BAL","5","11","7.9","0.9","13.8"
"8","undefined","","Tyreek Hill","KC","vs. MIN","3","13","7.9","1.6","13.8"
"9","undefined","","D.J. Chark","JAC","vs. HOU","7","14","9.5","1.1","13.3"
"10","undefined","","Stefon Diggs","MIN","at KC","8","15","10.6","1.1","13.1"
"11","undefined","","Allen Robinson","CHI","at PHI","7","16","11.6","1.8","12.7"
"12","undefined","","Keenan Allen","LAC","vs. GB","6","15","12.0","2.1","12.6"
"13","undefined","","Adam Thielen","MIN","at KC","9","19","12.2","1.1","12.5"
"14","undefined","","John Brown","BUF","vs. WAS","11","17","14.7","1.3","12.1"
"15","undefined","","JuJu Smith-Schuster","PIT","vs. IND","15","22","16.8","1.2","12.0"
"16","undefined","","Odell Beckham Jr.","CLE","at DEN","13","20","17.4","1.3","11.9"
"17","undefined","","Marvin Jones","DET","at OAK","15","26","18.9","1.9","11.9"
"18","undefined","","Michael Gallup","DAL","at NYG","16","28","19.0","1.2","11.8"
"19","undefined","","Tyrell Williams","OAK","vs. DET","15","28","19.3","1.6","11.6"
"20","undefined","","D.K. Metcalf","SEA","vs. TB","19","34","21.4","1.0","11.4"
"21","undefined","","Courtland Sutton","DEN","vs. CLE","14","31","21.5","1.8","11.3"
"22","undefined","","Mike Williams","LAC","vs. GB","21","29","25.2","2.2","11.3"
"23","undefined","","Golden Tate","NYG","vs. DAL","23","32","26.2","2.5","11.2"
"24","undefined","","Kenny Stills","HOU","at JAC","22","35","26.6","2.6","11.2"
"25","undefined","","D.J. Moore","CAR","vs. TEN","18","31","26.9","3.1","10.9"
"26","undefined","","Alshon Jeffery","PHI","vs. CHI","23","32","27.1","2.1","10.9"
"27","undefined","","Robby Anderson","NYJ","at MIA","19","32","27.3","2.7","10.8"
"28","undefined","","Terry McLaurin","WAS","at BUF","21","48","28.7","6.2","10.6"
"29","undefined","","Curtis Samuel","CAR","vs. TEN","24","35","29.7","2.3","10.5"
"30","undefined","","Christian Kirk","ARI","vs. SF","22","37","30.9","2.6","10.4"
"31","undefined","","Emmanuel Sanders","SF","at ARI","24","40","31.4","2.9","10.4"
"32","undefined","","Jarvis Landry","CLE","at DEN","26","38","33.3","2.6","10.1"
"33","undefined","","Jamison Crowder","NYJ","at MIA","31","48","36.4","3.5","9.9"
"34","undefined","","Davante Adams","GB","at LAC","4","52","24.1","15.7","9.9"
"35","undefined","","Larry Fitzgerald","ARI","vs. SF","27","41","37.2","3.0","9.6"
"36","undefined","","Devante Parker","MIA","vs. NYJ","34","42","37.7","2.1","9.6"
"37","undefined","","Preston Williams","MIA","vs. NYJ","34","45","38.3","2.6","9.6"
"38","undefined","","Chris Conley","JAC","vs. HOU","29","48","38.8","3.6","9.6"
"39","undefined","","Marquise Brown","BAL","vs. NE","35","47","39.2","2.9","9.5"
"40","undefined","","Corey Davis","TEN","at CAR","33","48","39.7","3.2","9.5"
"41","undefined","","Sammy Watkins","KC","vs. MIN","28","59","41.0","4.5","9.2"
"42","undefined","","Diontae Johnson","PIT","vs. IND","25","46","41.9","2.9","9.2"
"43","undefined","","Phillip Dorsett","NE","at BAL","33","54","43.3","4.0","9.2"
"44","undefined","","A.J. Brown","TEN","at CAR","35","51","43.7","4.0","9.2"
"45","undefined","","Demaryius Thomas","NYJ","at MIA","42","52","46.2","2.0","9.1"
"46","undefined","","Dede Westbrook","JAC","vs. HOU","32","62","47.0","6.5","8.8"
"47","undefined","","Cole Beasley","BUF","vs. WAS","42","53","47.6","1.4","8.8"
"48","undefined","","Marquez Valdes-Scantling","GB","at LAC","38","55","47.9","3.2","8.2"
"49","undefined","","Danny Amendola","DET","at OAK","40","56","48.3","3.2","8.2"
"50","undefined","","Mohamed Sanu","NE","at BAL","46","56","50.2","2.2","8.2"
"51","undefined","","Anthony Miller","CHI","at PHI","49","56","52.1","1.3","8.1"
"52","undefined","","Zach Pascal","IND","at PIT","29","70","52.2","5.3","8.1"
"53","undefined","","Darius Slayton","NYG","vs. DAL","48","68","54.1","2.7","8.0"
"54","undefined","","Deebo Samuel","SF","at ARI","52","62","54.7","2.3","7.9"
"55","undefined","","Allen Lazard","GB","at LAC","48","70","55.9","3.5","7.7"
"56","undefined","","Adam Humphries","TEN","at CAR","54","61","56.8","1.2","7.5"
"57","undefined","","Geronimo Allison","GB","at LAC","52","66","58.9","2.4","7.4"
"58","undefined","","Nelson Agholor","PHI","vs. CHI","57","68","59.7","2.2","7.4"
"59","undefined","","Randall Cobb","DAL","at NYG","54","69","60.9","2.7","7.2"
"60","undefined","","Taylor Gabriel","CHI","at PHI","58","67","61.1","1.7","7.1"
"61","undefined","","Sterling Shepard","NYG","vs. DAL","28","90","62.3","18.2","7.1"
"62","undefined","","Hunter Renfrow","OAK","vs. DET","58","67","63.1","1.8","7.0"
"63","undefined","","Mecole Hardman","KC","vs. MIN","44","85","64.0","5.8","6.9"
"64","undefined","","Jaron Brown","SEA","vs. TB","54","73","64.6","2.4","6.9"
"65","undefined","","David Moore","SEA","vs. TB","56","81","67.1","5.2","6.8"
"66","undefined","","Demarcus Robinson","KC","vs. MIN","59","77","68.2","3.4","6.8"
"67","undefined","","DaeSean Hamilton","DEN","vs. CLE","63","76","68.9","3.8","6.2"
"68","undefined","","Olabisi Johnson","MIN","at KC","60","87","69.7","5.3","6.2"
"69","undefined","","Willie Snead","BAL","vs. NE","64","82","70.8","2.9","6.0"
"70","undefined","","Paul Richardson","WAS","at BUF","67","79","71.5","3.1","5.8"
"71","undefined","","James Washington","PIT","vs. IND","62","86","71.8","4.6","5.7"
"72","undefined","","Dante Pettis","SF","at ARI","58","80","69.8","4.7","5.5"
"73","undefined","","Albert Wilson","MIA","vs. NYJ","52","86","73.7","3.1","5.4"
"74","undefined","","Keke Coutee","HOU","at JAC","59","85","75.8","3.8","5.3"
"75","undefined","","Jakobi Meyers","NE","at BAL","69","86","76.2","4.0","5.3"
"76","undefined","","Trey Quinn","WAS","at BUF","57","92","77.2","3.4","5.0"
"77","undefined","","Tajae Sharpe","TEN","at CAR","64","90","79.1","4.7","5.0"
"78","undefined","","Zay Jones","OAK","vs. DET","71","87","79.4","3.6","5.0"
"79","undefined","","Jake Kumerow","GB","at LAC","64","93","80.6","5.8","4.9"
"80","undefined","","Miles Boykin","BAL","vs. NE","70","94","82.0","5.4","4.9"
"81","undefined","","Antonio Callaway","CLE","at DEN","74","92","82.1","3.1","4.9"
"82","undefined","","Duke Williams","BUF","vs. WAS","65","105","84.6","7.6","4.9"
"83","undefined","","Kendrick Bourne","SF","at ARI","76","93","85.6","3.0","4.8"
"84","undefined","","Cordarrelle Patterson","CHI","at PHI","81","97","88.8","4.6","4.7"
"85","undefined","","DeAndre Carter","HOU","at JAC","70","94","85.8","4.3","4.7"
"86","undefined","","Parris Campbell","IND","at PIT","66","94","86.6","7.1","4.6"
"87","undefined","","Trent Sherfield","ARI","vs. SF","81","100","89.2","5.7","4.6"
"88","undefined","","Keelan Cole","JAC","vs. HOU","61","100","87.9","8.9","4.4"
"89","undefined","","Marvin Hall","DET","at OAK","79","97","88.5","5.2","4.3"
"90","undefined","","Breshad Perriman","TB","at SEA","78","118","94.8","7.5","4.3"
"91","undefined","","Fred Brown","DEN","vs. CLE","84","106","95.1","6.0","4.1"
"92","undefined","","Chester Rogers","IND","at PIT","57","104","92.2","10.4","4.1"
"93","undefined","","Trevor Davis","OAK","vs. DET","81","108","92.9","5.6","4.1"
"94","undefined","","Jarius Wright","CAR","vs. TEN","84","104","95.3","4.7","4.0"
"95","undefined","","Allen Hurns","MIA","vs. NYJ","87","107","99.3","4.2","3.9"
"96","undefined","","Cody Latimer","NYG","vs. DAL","92","100","96.6","2.2","3.9"
"97","undefined","","DeSean Jackson","PHI","vs. CHI","43","127","81.9","27.8","3.8"
"98","undefined","","Mack Hollins","PHI","vs. CHI","90","122","99.8","7.5","3.7"
"99","undefined","","Jakeem Grant","MIA","vs. NYJ","95","115","103.7","5.0","3.6"
"100","undefined","","Tavon Austin","DAL","at NYG","89","116","100.0","7.3","3.6"
"101","undefined","","Rashard Higgins","CLE","at DEN","94","112","102.5","4.7","3.6"
"102","undefined","","Seth Roberts","BAL","vs. NE","92","125","106.6","5.9","3.5"
"103","undefined","","Richie James","SF","at ARI","91","117","103.8","5.3","3.5"
"104","undefined","","Diontae Spencer","DEN","vs. CLE","78","115","101.2","8.6","3.4"
"105","undefined","","Robert Foster","BUF","vs. WAS","80","124","104.9","8.0","3.4"
"106","undefined","","Javon Wims","CHI","at PHI","88","111","106.4","3.1","3.2"
"107","undefined","","Donte Moncrief","PIT","vs. IND","94","119","109.3","5.4","3.2"
"108","undefined","","Johnny Holton","PIT","vs. IND","93","128","110.0","9.3","3.1"
"109","undefined","","Damiere Byrd","ARI ","vs. SF","68","75","72.2","2.5","3.1"
"110","undefined","","Bennie Fowler","NYG","vs. DAL","103","114","109.7","2.3","3.1"
"111","undefined","","Malik Turner","SEA","vs. TB","89","118","109.7","3.9","3.0"
"112","undefined","","Steven Sims","WAS","at BUF","83","135","114.1","8.2","3.0"
"113","undefined","","KeeSean Johnson","ARI","vs. SF","74","138","104.4","19.0","3.0"
"114","undefined","","Kelvin Harmon","WAS","at BUF","100","119","109.5","4.9","2.8"
"115","undefined","","Laquon Treadwell","MIN","at KC","104","119","113.4","4.0","2.7"
"116","undefined","","Pharoh Cooper","ARI","vs. SF","101","117","110.6","4.4","2.7"
"117","undefined","","Vyncint Smith","NYJ","at MIA","104","125","114.1","6.2","2.6"
"118","undefined","","Geremy Davis","LAC","vs. GB","111","120","116.6","2.5","2.6"
"119","undefined","","Scott Miller","TB","at SEA","113","121","117.3","2.5","2.6"
"120","undefined","","Deon Cain","IND","at PIT","70","134","113.3","19.4","2.5"
"121","undefined","","Chris Moore","BAL","vs. NE","97","122","118.1","3.0","2.4"
"122","undefined","","Andy Isabella","ARI","vs. SF","109","124","118.4","3.5","2.4"
"123","undefined","","Andre Patton","LAC","vs. GB","96","124","116.3","4.7","2.4"
"124","undefined","","Ryan Switzer","PIT","vs. IND","107","129","122.8","4.3","2.3"
"125","undefined","","Keelan Doss","OAK","vs. DET","106","127","120.4","5.2","2.3"
"126","undefined","","Andre Roberts","BUF","vs. WAS","116","131","124.3","3.7","2.3"
"127","undefined","","Isaiah McKenzie","BUF","vs. WAS","112","135","123.2","8.2","2.1"
"128","undefined","","J.J. Arcega-Whiteside","PHI","vs. CHI","117","130","126.0","2.5","2.1"
"129","undefined","","Braxton Berrios","NYJ","at MIA","108","138","127.6","6.6","2.1"
"130","undefined","","Juwann Winfree","DEN","vs. CLE","122","134","126.0","3.7","1.8"
"131","undefined","","Marcell Ateman","OAK","vs. DET","124","135","129.6","3.9","1.7"
"132","undefined","","Justin Watson","TB","at SEA","118","135","130.6","3.2","1.5"
"133","undefined","","Byron Pringle","KC","vs. MIN","121","140","130.6","6.8","1.5"
"134","undefined","","Gunner Olszewski","NE","at BAL","120","139","132.2","6.0","1.4"
"135","undefined","","Brandon Zylstra","CAR","vs. TEN","118","136","127.0","9.0","1.1"
"136","undefined","","Isaiah Ford","MIA","vs. NYJ","130","134","132.3","1.7","1.1"
"137","undefined","","Cedrick Wilson","DAL","at NYG","133","137","135.8","1.6","1.0"
""
""
