"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Travis Kelce","KC","at BAL","1","4","1.2","0.5","12.0"
"2","undefined","","Mark Andrews","BAL","vs. KC","1","2","1.9","0.3","11.2"
"3","undefined","","Zach Ertz","PHI","vs. CIN","3","10","3.8","1.2","8.5"
"4","undefined","","Tyler Higbee","LAR","at BUF","3","13","5.6","2.5","7.9"
"5","undefined","","Darren Waller","LV","at NE","2","12","5.9","2.1","7.2"
"6","undefined","","Hunter Henry","LAC","vs. CAR","3","11","6.0","1.6","7.1"
"7","undefined","","Jared Cook","NO","vs. GB","1","18","7.5","2.5","6.9"
"8","undefined","","Dallas Goedert","PHI","vs. CIN","4","15","8.8","2.3","6.7"
"9","undefined","","Mike Gesicki","MIA","at JAC","4","16","8.9","2.5","6.7"
"10","undefined","","Jonnu Smith","TEN","at MIN","5","19","8.9","2.0","6.9"
"11","undefined","","Hayden Hurst","ATL","vs. CHI","4","15","10.9","1.9","6.6"
"12","undefined","","Noah Fant","DEN","vs. TB","3","15","11.8","1.8","6.5"
"13","undefined","","T.J. Hockenson","DET","at ARI","7","19","12.4","1.7","6.6"
"14","undefined","","Evan Engram","NYG","vs. SF","5","22","13.2","2.2","5.7"
"15","undefined","","Logan Thomas","WAS","at CLE","11","26","16.0","1.0","5.7"
"16","undefined","","Jordan Reed","SF","at NYG","5","24","16.1","3.6","5.6"
"17","undefined","","Chris Herndon IV","NYJ","at IND","13","26","19.4","2.9","5.2"
"18","undefined","","Dalton Schultz","DAL","at SEA","16","29","19.7","3.1","5.1"
"19","undefined","","Austin Hooper","CLE","vs. WAS","9","27","18.3","3.2","4.7"
"20","undefined","","Eric Ebron","PIT","vs. HOU","16","30","20.6","2.6","5.0"
"21","undefined","","Drew Sample","CIN","at PHI","6","33","22.7","4.6","4.5"
"22","undefined","","O.J. Howard","TB","at DEN","16","30","23.2","2.5","4.6"
"23","undefined","","Greg Olsen","SEA","vs. DAL","17","30","24.7","2.2","4.5"
"24","undefined","","Jordan Akins","HOU","at PIT","17","32","25.5","3.5","4.1"
"25","undefined","","Tyler Eifert","JAC","vs. MIA","15","27","22.1","2.2","4.2"
"26","undefined","","Mo Alie-Cox","IND","vs. NYJ","14","35","24.2","4.6","4.0"
"27","undefined","","Rob Gronkowski","TB","at DEN","20","38","26.9","4.0","3.6"
"28","undefined","","Jimmy Graham","CHI","at ATL","20","32","26.9","2.7","3.6"
"29","undefined","","Irv Smith Jr.","MIN","vs. TEN","28","34","30.4","1.6","3.4"
"30","undefined","","Ian Thomas","CAR","at LAC","25","37","30.8","2.4","3.4"
"31","undefined","","Darren Fells","HOU","at PIT","28","38","33.5","2.3","3.3"
"32","undefined","","Dan Arnold","ARI","vs. DET","25","39","29.9","3.4","3.1"
"33","undefined","","Kyle Rudolph","MIN","vs. TEN","23","36","32.2","1.9","3.3"
"34","undefined","","Jack Doyle","IND ","vs. NYJ","15","39","30.3","5.0","3.0"
"35","undefined","","Robert Tonyan","GB","at NO","18","39","31.0","4.0","3.0"
"36","undefined","","Gerald Everett","LAR","at BUF","34","51","38.2","4.5","3.0"
"37","undefined","","Will Dissly","SEA","vs. DAL","24","40","36.2","3.0","2.9"
"38","undefined","","Harrison Bryant","CLE","vs. WAS","37","45","41.5","2.2","2.5"
"39","undefined","","Jace Sternberger","GB","at NO","32","54","44.9","5.6","2.8"
"40","undefined","","Ryan Izzo","NE","vs. LV","34","45","38.1","2.9","2.7"
"41","undefined","","Anthony Firkser","TEN","at MIN","31","46","38.2","4.4","2.3"
"42","undefined","","Tyler Kroft","BUF","vs. LAR","33","49","40.3","4.2","2.7"
"43","undefined","","Vance McDonald","PIT","vs. HOU","35","46","42.4","2.4","2.1"
"44","undefined","","Nick Boyle","BAL","vs. KC","36","48","39.2","2.9","2.3"
"45","undefined","","Jason Witten","LV","at NE","41","51","46.6","3.0","2.0"
"46","undefined","","Cameron Brate","TB","at DEN","33","79","52.3","11.2","1.9"
"47","undefined","","Ryan Griffin","NYJ","at IND","42","56","46.7","3.4","1.8"
"48","undefined","","Kaden Smith","NYG","vs. SF","38","57","47.7","4.6","1.6"
"49","undefined","","Ross Dwelley","SF","at NYG","41","68","47.7","7.5","1.5"
"50","undefined","","Josh Hill","NO","vs. GB","40","54","47.6","3.2","1.7"
"51","undefined","","Blake Bell","DAL","at SEA","45","60","51.8","4.4","1.5"
"52","undefined","","James O'Shaughnessy","JAC","vs. MIA","38","62","47.3","6.9","1.7"
