"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Baltimore Ravens","","2.6","1.2","0.6","0.9","0.2","0.0","17.2","290.2","8.4"
"New York Jets","","2.8","1.1","0.6","0.9","0.2","0.0","19.0","320.5","8.2"
"Cleveland Browns","","2.7","0.9","0.7","1.4","0.2","0.0","19.3","309.2","8.0"
"Dallas Cowboys","","2.9","0.9","0.7","1.2","0.2","0.0","17.8","317.9","7.9"
"Seattle Seahawks","","2.7","1.0","0.6","1.0","0.2","0.0","17.7","316.1","7.9"
"New Orleans Saints","","3.5","0.9","0.7","1.1","0.2","0.0","21.2","350.8","7.8"
"Philadelphia Eagles","","2.5","1.0","0.6","0.9","0.2","0.0","17.2","312.3","7.7"
"Detroit Lions","","3.2","0.9","0.7","1.0","0.2","0.0","20.6","322.6","7.5"
"San Francisco 49ers","","2.9","1.1","0.7","1.0","0.2","0.0","24.6","366.1","7.5"
"Los Angeles Chargers","","2.6","0.9","0.6","0.8","0.1","0.0","17.7","326.7","7.3"
"Tampa Bay Buccaneers","","2.9","0.9","0.7","1.2","0.2","0.0","24.4","387.8","7.3"
"Denver Broncos","","3.1","0.7","0.9","1.4","0.2","0.0","20.1","343.9","7.3"
"Kansas City Chiefs","","3.0","0.8","0.8","1.4","0.2","0.1","22.0","340.5","7.2"
"Buffalo Bills","","2.5","1.1","0.7","1.1","0.2","0.0","21.4","297.7","7.2"
"New England Patriots","","1.8","1.1","0.6","1.1","0.1","0.1","19.9","394.6","7.0"
"Los Angeles Rams","","2.6","1.0","0.6","0.9","0.2","0.0","22.6","362.6","6.9"
"Green Bay Packers","","2.6","0.9","0.7","0.9","0.1","0.0","23.5","350.0","6.6"
"Chicago Bears","","3.4","0.6","0.6","0.9","0.1","0.0","20.5","329.2","6.6"
"Minnesota Vikings","","3.0","0.7","0.7","0.9","0.1","0.0","20.1","339.6","6.6"
"Arizona Cardinals","","3.0","0.8","0.6","1.1","0.1","0.0","23.4","341.4","6.5"
"Miami Dolphins","","2.2","0.9","0.7","0.9","0.2","0.0","23.9","376.9","6.3"
"Atlanta Falcons","","2.4","0.8","0.6","1.0","0.1","0.0","23.5","351.2","6.2"
"Washington Redskins","","2.5","0.8","0.7","1.2","0.1","0.0","26.2","363.9","6.2"
"Tennessee Titans","","2.5","0.9","0.6","0.9","0.1","0.0","23.2","369.1","6.2"
"New York Giants","","2.6","0.8","0.6","0.8","0.1","0.0","24.8","349.4","6.0"
"Indianapolis Colts","","2.4","0.8","0.7","1.0","0.1","0.0","24.3","361.8","6.0"
"Carolina Panthers","","2.2","0.9","0.6","1.1","0.1","0.1","25.6","403.3","6.0"
"Jacksonville Jaguars","","2.3","0.8","0.5","0.7","0.1","0.0","24.5","361.3","5.8"
"Cincinnati Bengals","","2.8","0.6","0.5","0.4","0.1","0.0","25.5","360.5","5.7"
"Oakland Raiders","","1.7","1.0","0.5","0.9","0.1","0.0","22.3","372.7","5.6"
"Houston Texans","","2.0","0.7","0.7","1.1","0.1","0.0","26.5","365.4","5.5"
"Pittsburgh Steelers","","2.1","0.6","0.5","0.7","0.1","0.0","25.0","367.8","4.9"
""
""
