"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Pittsburgh Steelers","","3.8","0.9","0.7","1.1","0.1","0.0","19.1","324.2","8.9"
"","high","4.8","1.2","1.0","1.4","0.2","0.1","21.5","296.0","10.4"
"","low","3.1","0.8","0.5","0.9","0.0","0.0","15.2","342.8","7.5"
"Tampa Bay Buccaneers","","3.0","0.9","0.7","1.3","0.2","0.0","19.0","281.5","8.4"
"","high","3.7","1.3","1.0","1.5","0.3","0.1","21.4","243.0","9.6"
"","low","2.6","0.8","0.6","1.0","0.1","0.0","17.1","312.6","6.7"
"Indianapolis Colts","","2.8","1.1","0.6","1.0","0.2","0.1","16.6","291.2","8.3"
"","high","3.5","1.2","0.7","1.2","0.3","0.1","20.1","247.0","9.4"
"","low","2.5","0.9","0.5","0.9","0.1","0.0","12.7","315.2","6.5"
"San Francisco 49ers","","2.8","0.9","0.7","1.2","0.1","0.1","19.4","309.8","8.0"
"","high","3.4","1.1","1.2","1.6","0.2","0.1","20.3","297.0","8.7"
"","low","2.3","0.8","0.5","0.9","0.1","0.0","17.7","323.6","6.7"
"Cleveland Browns","","3.0","0.9","0.6","1.0","0.1","0.0","19.3","300.1","7.9"
"","high","3.8","1.1","0.7","1.1","0.2","0.1","22.2","272.0","9.2"
"","low","1.8","0.7","0.5","0.9","0.1","0.0","17.6","326.3","6.9"
"Los Angeles Chargers","","2.6","0.9","0.5","0.8","0.2","0.0","17.7","345.4","7.4"
"","high","3.3","0.9","0.8","1.1","0.2","0.1","19.3","337.0","8.0"
"","low","1.7","0.8","0.4","0.6","0.0","0.0","15.2","352.0","6.1"
"New England Patriots","","2.3","0.8","0.6","0.9","0.1","0.0","18.9","341.2","7.0"
"","high","2.7","1.2","0.8","1.1","0.2","0.1","21.3","337.8","7.4"
"","low","2.1","0.6","0.5","0.8","0.0","0.0","16.4","345.7","5.5"
"Los Angeles Rams","","2.8","0.9","0.7","1.0","0.1","0.0","22.3","349.0","6.8"
"","high","3.6","1.0","1.0","1.4","0.2","0.1","24.0","341.3","7.9"
"","low","2.5","0.8","0.5","0.8","0.1","0.0","20.0","354.8","6.1"
"New York Giants","","2.4","1.1","0.6","0.7","0.2","0.0","22.8","340.8","6.7"
