"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Pittsburgh Steelers","","3.3","1.3","0.7","1.3","0.2","0.1","14.8","304.4","9.6"
"","high","4.2","1.7","0.9","1.3","0.3","0.1","15.5","241.0","12.3"
"","low","2.5","0.8","0.5","1.3","0.1","0.0","13.8","367.8","8.7"
"New England Patriots","","2.7","1.3","0.7","1.3","0.2","0.1","15.5","325.9","9.1"
"","high","3.2","2.0","0.9","1.4","0.3","0.2","17.0","310.0","10.3"
"","low","2.3","0.9","0.5","1.2","0.1","0.0","13.6","341.8","7.5"
"Los Angeles Rams","","3.3","1.1","0.7","1.3","0.2","0.0","17.8","299.0","9.0"
"","high","4.2","1.3","1.1","1.5","0.2","0.1","18.3","265.0","11.9"
"","low","2.5","0.8","0.5","1.1","0.1","0.0","17.5","332.9","7.3"
"Jacksonville Jaguars","","2.9","1.2","0.6","1.0","0.2","0.0","16.3","270.2","8.7"
"","high","3.7","2.1","0.8","1.2","0.3","0.1","18.6","223.0","11.1"
"","low","2.4","0.7","0.4","0.7","0.1","0.0","12.4","317.5","7.7"
"Tennessee Titans","","3.2","1.1","0.6","0.7","0.2","0.0","19.8","344.3","8.7"
"","high","3.8","1.5","0.6","0.8","0.2","0.0","21.5","337.5","9.1"
"","low","2.7","0.9","0.5","0.7","0.1","0.0","17.2","351.0","6.8"
"New Orleans Saints","","3.4","0.9","0.7","1.1","0.2","0.0","18.8","323.4","8.5"
"","high","4.1","1.3","0.8","1.1","0.2","0.1","19.3","304.0","11.2"
"","low","3.0","0.6","0.6","1.1","0.0","0.0","18.5","342.8","7.2"
"San Francisco 49ers","","3.1","0.9","0.7","1.5","0.2","0.1","17.5","319.6","8.4"
"","high","3.6","1.5","1.2","1.7","0.2","0.1","18.5","295.0","10.4"
"","low","2.7","0.4","0.4","1.3","0.1","0.1","16.3","344.2","6.4"
"Detroit Lions","","2.9","1.1","0.8","1.5","0.2","0.0","20.3","359.7","7.9"
"","high","3.2","1.4","1.3","1.8","0.3","0.1","21.5","343.5","9.9"
"","low","2.5","0.7","0.5","1.2","0.1","0.0","17.7","376.0","7.0"
"Indianapolis Colts","","2.9","0.8","0.6","1.1","0.1","0.0","18.8","322.3","7.8"
"","high","3.2","1.1","0.7","1.1","0.2","0.1","21.5","318.6","8.3"
"","low","2.1","0.6","0.5","1.0","0.1","0.0","16.3","326.0","6.5"
"Minnesota Vikings","","2.6","0.9","0.6","0.8","0.2","0.0","13.4","268.0","7.7"
"","high","3.7","1.3","0.7","0.8","0.3","0.1","14.4","238.0","10.0"
"","low","2.0","0.7","0.5","0.8","0.1","0.0","12.5","298.0","7.4"
"Chicago Bears","","2.6","0.8","0.7","1.1","0.2","0.0","17.3","314.3","7.6"
"","high","4.0","0.9","1.0","1.3","0.2","0.1","18.5","293.0","8.5"
"","low","1.8","0.7","0.5","0.8","0.1","0.0","14.8","335.6","6.8"
"Buffalo Bills","","2.3","0.9","0.7","1.3","0.2","0.0","18.6","310.5","7.5"
"","high","2.8","1.3","1.1","1.6","0.3","0.0","20.3","295.0","8.0"
"","low","2.0","0.6","0.5","0.9","0.1","0.0","16.3","325.9","5.8"
"Green Bay Packers","","2.7","1.2","0.6","0.9","0.1","0.0","21.5","336.0","7.2"
"","high","3.5","1.8","0.7","0.9","0.2","0.0","22.0","330.9","10.7"
"","low","2.2","0.7","0.5","0.9","0.0","0.0","20.0","341.0","5.8"
"Tampa Bay Buccaneers","","3.2","0.8","0.6","0.9","0.1","0.1","24.0","313.2","7.0"
"","high","4.1","0.8","0.7","0.9","0.2","0.1","24.5","299.0","8.4"
"","low","2.8","0.7","0.6","0.9","0.1","0.0","23.6","327.4","6.4"
"Philadelphia Eagles","","2.7","1.0","0.6","0.8","0.2","0.0","21.8","331.6","7.0"
"","high","3.2","1.3","0.7","0.8","0.2","0.0","22.5","327.0","8.4"
"","low","2.4","0.8","0.5","0.8","0.1","0.0","21.0","336.2","6.0"
"Carolina Panthers","","2.7","0.8","0.8","1.4","0.1","0.0","24.2","354.8","6.8"
"","high","2.9","1.1","1.3","1.8","0.2","0.0","26.8","346.5","8.9"
"","low","2.5","0.5","0.5","1.0","0.0","0.0","22.1","363.0","5.3"
"Seattle Seahawks","","2.6","0.8","0.7","1.2","0.1","0.0","21.8","367.1","6.4"
"","high","3.2","0.9","1.1","1.5","0.2","0.0","23.0","362.0","7.5"
"","low","2.0","0.6","0.6","0.9","0.0","0.0","18.4","372.2","5.7"
"Houston Texans","","2.5","0.7","0.8","1.2","0.1","0.0","20.8","340.5","6.2"
"","high","3.2","0.8","1.2","1.7","0.2","0.0","22.3","335.0","7.3"
"","low","2.0","0.4","0.5","0.8","0.1","0.0","17.5","346.0","5.9"
"Los Angeles Chargers","","2.4","0.8","0.6","0.7","0.1","0.0","20.4","331.8","6.1"
"","high","3.2","0.9","0.7","0.9","0.2","0.1","22.5","326.0","7.2"
"","low","1.8","0.6","0.5","0.6","0.0","0.0","17.3","337.5","5.9"
"Oakland Raiders","","2.4","0.8","0.6","0.8","0.1","0.0","27.1","396.5","6.0"
"","high","2.7","1.0","0.7","0.9","0.2","0.0","29.3","384.0","6.3"
"","low","2.1","0.6","0.5","0.7","0.0","0.0","22.0","409.0","5.3"
"New York Giants","","2.5","0.8","0.5","0.7","0.1","0.0","26.6","364.0","5.9"
"","high","2.8","1.0","0.6","0.8","0.2","0.0","28.0","351.0","7.2"
"","low","2.1","0.5","0.4","0.7","0.1","0.0","23.6","377.0","4.5"
"New York Jets","","2.4","0.6","0.6","1.1","0.1","0.0","22.6","341.4","5.6"
"","high","3.4","0.9","1.0","1.4","0.2","0.0","23.5","323.0","6.7"
"","low","1.7","0.4","0.5","0.7","0.0","0.0","20.5","359.8","5.5"
"Kansas City Chiefs","","2.6","0.6","0.6","1.0","0.1","0.0","24.6","374.0","5.6"
"","high","3.1","0.9","0.9","1.3","0.2","0.0","25.5","364.9","7.1"
"","low","2.1","0.4","0.3","0.8","0.1","0.0","23.1","383.0","4.4"
"Arizona Cardinals","","2.4","0.6","0.6","0.9","0.1","0.0","27.7","360.0","5.4"
"","high","2.8","0.7","0.6","0.9","0.1","0.1","29.3","354.0","5.5"
"","low","1.8","0.6","0.5","0.8","0.0","0.0","24.1","365.9","4.6"
"Atlanta Falcons","","2.5","0.6","0.6","0.8","0.1","0.0","27.4","392.4","5.4"
"","high","3.0","0.7","0.7","0.8","0.1","0.0","30.0","381.0","7.0"
"","low","2.0","0.4","0.4","0.7","0.0","0.0","22.3","403.8","4.2"
"Washington Redskins","","2.2","0.6","0.6","1.0","0.1","0.1","27.4","368.5","5.3"
"","high","2.7","0.8","0.9","1.2","0.1","0.1","29.5","365.9","5.5"
"","low","2.0","0.3","0.5","0.9","0.0","0.0","24.0","371.0","4.3"
"Cincinnati Bengals","","2.0","0.7","0.6","0.7","0.1","0.0","28.6","413.2","5.2"
"","high","2.6","0.8","0.8","1.0","0.2","0.0","32.2","402.5","6.0"
"","low","1.4","0.6","0.3","0.4","0.0","0.0","21.3","424.0","3.8"
"Denver Broncos","","2.1","0.6","0.5","0.8","0.1","0.1","23.1","323.0","5.2"
"","high","3.2","0.8","0.6","0.8","0.2","0.1","23.8","311.0","5.5"
"","low","1.4","0.5","0.5","0.7","0.1","0.0","21.5","335.1","4.8"
"Miami Dolphins","","1.5","0.8","0.5","0.6","0.1","0.0","28.1","367.3","4.9"
"","high","2.6","1.0","0.6","0.7","0.2","0.0","29.9","359.6","5.2"
"","low","0.6","0.6","0.3","0.5","0.0","0.0","24.6","375.0","3.5"
"Cleveland Browns","","1.9","0.6","0.5","0.9","0.1","0.0","27.1","372.1","4.8"
"","high","2.7","0.7","0.7","1.0","0.1","0.0","28.5","369.2","5.1"
"","low","1.2","0.4","0.5","0.8","0.0","0.0","24.6","375.0","4.1"
""
""
