"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Pittsburgh Steelers","","3.3","1.3","0.7","1.3","0.2","0.1","14.8","304.4","9.6"
"New England Patriots","","2.7","1.3","0.7","1.3","0.2","0.1","15.5","325.9","9.1"
"Los Angeles Rams","","3.3","1.1","0.7","1.3","0.2","0.0","17.8","299.0","9.0"
"Jacksonville Jaguars","","2.9","1.2","0.6","1.0","0.2","0.0","16.3","270.2","8.7"
"Tennessee Titans","","3.2","1.1","0.6","0.7","0.2","0.0","19.8","344.3","8.7"
"New Orleans Saints","","3.4","0.9","0.7","1.1","0.2","0.0","18.8","323.4","8.5"
"San Francisco 49ers","","3.1","0.9","0.7","1.5","0.2","0.1","17.5","319.6","8.4"
"Detroit Lions","","2.9","1.1","0.8","1.5","0.2","0.0","20.3","359.7","7.9"
"Indianapolis Colts","","2.9","0.8","0.6","1.1","0.1","0.0","18.8","322.3","7.8"
"Minnesota Vikings","","2.6","0.9","0.6","0.8","0.2","0.0","13.4","268.0","7.7"
"Chicago Bears","","2.6","0.8","0.7","1.1","0.2","0.0","17.3","314.3","7.6"
"Buffalo Bills","","2.3","0.9","0.7","1.3","0.2","0.0","18.6","310.5","7.5"
"Green Bay Packers","","2.7","1.2","0.6","0.9","0.1","0.0","21.5","336.0","7.2"
"Tampa Bay Buccaneers","","3.2","0.8","0.6","0.9","0.1","0.1","24.0","313.2","7.0"
"Philadelphia Eagles","","2.7","1.0","0.6","0.8","0.2","0.0","21.8","331.6","7.0"
"Carolina Panthers","","2.7","0.8","0.8","1.4","0.1","0.0","24.2","354.8","6.8"
"Seattle Seahawks","","2.6","0.8","0.7","1.2","0.1","0.0","21.8","367.1","6.4"
"Houston Texans","","2.5","0.7","0.8","1.2","0.1","0.0","20.8","340.5","6.2"
"Los Angeles Chargers","","2.4","0.8","0.6","0.7","0.1","0.0","20.4","331.8","6.1"
"Oakland Raiders","","2.4","0.8","0.6","0.8","0.1","0.0","27.1","396.5","6.0"
"New York Giants","","2.5","0.8","0.5","0.7","0.1","0.0","26.6","364.0","5.9"
"New York Jets","","2.4","0.6","0.6","1.1","0.1","0.0","22.6","341.4","5.6"
"Kansas City Chiefs","","2.6","0.6","0.6","1.0","0.1","0.0","24.6","374.0","5.6"
"Arizona Cardinals","","2.4","0.6","0.6","0.9","0.1","0.0","27.7","360.0","5.4"
"Atlanta Falcons","","2.5","0.6","0.6","0.8","0.1","0.0","27.4","392.4","5.4"
"Washington Redskins","","2.2","0.6","0.6","1.0","0.1","0.1","27.4","368.5","5.3"
"Cincinnati Bengals","","2.0","0.7","0.6","0.7","0.1","0.0","28.6","413.2","5.2"
"Denver Broncos","","2.1","0.6","0.5","0.8","0.1","0.1","23.1","323.0","5.2"
"Miami Dolphins","","1.5","0.8","0.5","0.6","0.1","0.0","28.1","367.3","4.9"
"Cleveland Browns","","1.9","0.6","0.5","0.9","0.1","0.0","27.1","372.1","4.8"
""
""
