"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","30.5","19.7","235.1","1.9","0.5","10.6","66.0","0.5","0.3","24.8"
"","high","34.0","21.0","258.0","2.1","0.0","12.9","83.0","1.0","0.1","33.6"
"","low","26.1","17.0","213.7","1.5","0.8","9.1","48.8","0.2","0.3","23.4"
"Kyler Murray","ARI","36.5","23.6","267.1","1.8","0.8","7.9","47.2","0.5","0.1","23.6"
"","high","39.0","26.0","296.0","2.4","0.7","11.0","60.2","1.0","0.1","29.2"
"","low","34.7","22.3","246.0","1.0","1.0","6.4","29.7","0.2","0.2","20.7"
"Russell Wilson","SEA","34.0","23.5","280.1","2.4","0.4","4.3","25.1","0.1","0.2","22.9"
"","high","36.0","28.0","311.0","3.0","0.0","5.2","28.0","0.2","0.1","30.4"
"","low","32.8","21.5","261.0","2.1","0.6","4.0","22.4","0.0","0.4","21.1"
"Cam Newton","NE","33.3","20.9","248.1","1.7","0.9","10.1","44.4","0.6","0.2","22.6"
"","high","35.0","22.0","266.0","2.0","0.6","12.0","56.0","1.0","0.1","30.6"
"","low","31.0","20.0","230.0","1.2","1.0","7.9","35.4","0.4","0.3","20.5"
"Dak Prescott","DAL","37.2","24.6","299.9","1.9","0.6","3.7","18.7","0.3","0.2","21.4"
"","high","39.0","26.0","324.0","2.1","0.0","4.2","23.0","0.5","0.0","25.1"
"","low","34.7","23.1","275.9","1.7","0.9","3.3","15.1","0.0","0.3","19.6"
"Patrick Mahomes II","KC","37.4","24.0","287.7","1.9","0.5","3.9","21.2","0.1","0.1","20.9"
"","high","39.0","26.0","312.0","2.2","0.0","5.0","33.4","0.2","0.0","26.2"
"","low","35.5","21.8","249.0","1.6","0.8","2.5","14.1","0.0","0.2","18.7"
"Josh Allen","BUF","33.9","20.0","238.1","1.5","0.8","7.6","41.6","0.4","0.3","20.2"
"","high","36.0","21.3","261.0","2.0","0.7","9.0","49.0","0.7","0.2","24.8"
"","low","31.5","18.4","225.0","1.3","1.0","6.0","32.8","0.0","0.4","19.4"
