"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","26.8","17.9","213.9","1.8","0.5","11.8","74.0","0.6","0.2","25.4"
"","high","31.5","20.9","248.0","2.0","0.0","13.0","83.3","1.0","0.1","32.7"
"","low","24.1","15.5","195.0","1.4","0.7","10.9","53.6","0.4","0.3","23.8"
"Russell Wilson","SEA","31.4","21.5","264.1","2.2","0.4","4.7","24.5","0.1","0.2","21.3"
"","high","33.0","23.0","287.0","2.4","0.0","6.0","31.0","0.2","0.1","24.6"
"","low","29.5","20.6","253.1","2.0","0.6","2.8","16.0","0.0","0.3","21.0"
"Deshaun Watson","HOU","35.1","23.8","275.7","2.0","0.9","5.3","28.7","0.3","0.2","21.3"
"","high","40.0","26.0","295.0","2.2","0.8","5.9","36.8","0.5","0.2","25.5"
"","low","31.9","21.7","255.0","1.7","1.1","4.3","23.2","0.0","0.3","20.9"
"Patrick Mahomes","KC","35.3","23.6","294.1","1.9","0.5","3.9","17.0","0.1","0.1","20.7"
"","high","36.5","25.0","309.0","2.1","0.0","6.0","21.0","0.2","0.1","25.6"
"","low","33.0","22.6","278.0","1.6","0.7","2.9","14.2","0.0","0.1","19.3"
"Jameis Winston","TB","39.0","24.2","321.8","1.9","1.5","3.5","15.4","0.1","0.3","19.0"
"","high","41.0","26.0","370.0","2.0","1.2","4.2","19.4","0.2","0.2","25.2"
"","low","37.1","23.0","295.1","1.8","2.0","3.0","14.0","0.0","0.4","18.6"
"Matt Ryan","ATL","36.6","25.2","294.2","2.1","0.8","1.8","7.1","0.0","0.2","18.9"
"","high","38.6","26.0","319.0","2.3","0.6","2.5","11.4","0.1","0.2","22.2"
"","low","34.0","24.0","275.0","1.9","1.0","1.0","4.0","0.0","0.3","19.6"
"Dak Prescott","DAL","34.6","22.8","281.0","1.7","0.8","3.3","17.0","0.2","0.2","18.9"
"","high","36.0","24.0","299.0","2.0","0.6","4.0","18.5","0.5","0.1","24.6"
"","low","32.0","21.1","244.4","1.4","1.0","2.2","15.0","0.0","0.2","18.1"
"Ryan Fitzpatrick","MIA","38.2","23.9","283.5","1.8","1.2","4.0","19.1","0.1","0.2","18.4"
"","high","47.0","30.0","370.0","2.0","1.0","5.0","24.0","0.3","0.1","24.0"
"","low","34.1","21.3","245.9","1.7","1.4","3.3","16.6","0.0","0.4","16.3"
"Drew Brees","NO","35.6","26.4","275.8","1.9","0.5","0.8","1.1","0.0","0.1","18.1"
"","high","38.8","28.9","312.3","2.0","0.0","1.3","2.5","0.1","0.0","22.0"
"","low","33.0","23.0","230.0","1.8","0.6","0.0","0.0","0.0","0.1","16.4"
"Kyler Murray","ARI","35.5","22.6","235.6","1.4","0.9","6.4","36.8","0.2","0.1","17.7"
"","high","38.0","24.0","255.0","2.0","0.7","8.0","41.0","0.3","0.0","24.9"
"","low","33.4","21.1","212.0","1.0","1.2","5.4","32.5","0.0","0.3","15.7"
"Ryan Tannehill","TEN","31.6","21.0","248.7","1.8","0.8","3.8","17.6","0.1","0.3","17.5"
"","high","39.0","24.0","262.0","2.0","0.5","6.0","26.0","0.3","0.3","23.7"
"","low","26.9","17.6","223.0","1.4","1.0","2.3","13.4","0.0","0.3","16.1"
"Kirk Cousins","MIN","32.5","22.6","261.6","1.8","0.4","1.5","4.1","0.1","0.3","17.3"
"","high","34.0","23.0","271.4","2.0","0.0","2.7","6.3","0.2","0.2","20.8"
"","low","31.0","21.5","248.0","1.7","0.7","0.0","0.0","0.0","0.3","17.4"
"Philip Rivers","LAC","35.3","23.1","282.2","2.0","1.0","0.7","1.2","0.0","0.2","17.1"
"","high","39.0","25.0","333.0","2.1","0.7","1.7","2.6","0.0","0.1","21.7"
"","low","30.0","21.0","259.0","1.9","1.3","0.0","0.0","0.0","0.2","16.5"
"Aaron Rodgers","GB","33.4","21.8","249.4","1.5","0.3","3.4","15.5","0.0","0.2","16.9"
"","high","35.5","23.0","273.8","2.0","0.0","6.0","19.0","0.1","0.2","22.6"
"","low","30.0","20.0","228.0","1.3","0.4","1.7","13.0","0.0","0.2","15.7"
"Gardner Minshew","JAC","36.5","23.2","259.3","1.5","0.7","4.6","23.1","0.1","0.5","16.8"
"","high","42.0","28.0","310.0","2.0","0.4","5.5","29.0","0.2","0.3","23.2"
"","low","33.8","20.6","231.5","1.3","1.0","3.6","17.8","0.0","0.6","16.4"
"Jacoby Brissett","IND","32.2","20.1","227.0","1.7","0.7","3.5","14.6","0.2","0.2","16.5"
"","high","34.0","22.0","245.0","2.1","0.4","4.3","17.8","0.3","0.2","21.2"
"","low","30.0","18.0","210.4","1.1","1.0","2.8","11.0","0.0","0.2","16.4"
"Carson Wentz","PHI","37.0","24.0","250.1","1.7","0.8","3.1","12.8","0.1","0.4","16.1"
"","high","40.0","25.0","263.0","2.0","0.5","3.8","15.0","0.1","0.3","22.3"
"","low","35.0","22.7","232.9","1.4","1.0","2.0","11.0","0.0","0.5","14.8"
"Mitch Trubisky","CHI","35.6","22.1","238.1","1.4","1.0","4.1","21.4","0.1","0.2","15.9"
"","high","40.0","25.0","265.0","2.0","0.8","6.0","31.0","0.2","0.1","23.9"
"","low","32.3","20.7","218.0","1.2","1.2","2.5","15.0","0.0","0.3","15.0"
"Jimmy Garoppolo","SF","32.2","21.3","243.9","1.8","0.9","2.1","5.4","0.1","0.3","15.6"
"","high","33.0","24.0","263.6","2.0","0.7","3.0","11.7","0.2","0.3","21.3"
"","low","31.0","20.0","203.0","1.6","1.2","0.0","2.0","0.0","0.3","14.3"
"Andy Dalton","CIN","35.2","21.4","248.5","1.6","1.0","2.1","7.9","0.1","0.2","15.6"
"","high","36.0","21.8","258.0","2.0","0.8","2.9","9.0","0.3","0.2","21.1"
"","low","34.0","21.0","239.0","1.4","1.3","1.0","6.0","0.0","0.2","13.7"
"Drew Lock","DEN","33.2","21.3","245.8","1.6","0.9","2.8","11.6","0.1","0.2","15.5"
"","high","35.0","23.0","268.0","2.0","0.7","4.0","21.0","0.2","0.2","23.5"
"","low","32.0","19.8","221.5","1.4","1.0","2.0","4.3","0.0","0.2","14.5"
"Daniel Jones","NYG","33.7","21.5","238.1","1.5","1.0","3.5","19.3","0.1","0.5","15.4"
"","high","35.5","23.5","250.0","2.0","0.8","4.2","22.7","0.3","0.3","21.7"
"","low","32.0","19.6","225.5","1.2","1.1","3.0","15.0","0.0","0.8","15.1"
"Tom Brady","NE","35.8","22.6","239.7","1.5","0.5","1.0","2.2","0.0","0.1","14.7"
"","high","41.0","27.0","265.0","2.0","0.0","1.7","3.5","0.1","0.1","20.1"
"","low","30.0","20.0","218.0","1.2","0.8","0.0","1.0","0.0","0.2","13.1"
"Josh Allen","BUF","30.3","17.7","204.1","0.9","0.9","6.4","31.9","0.3","0.3","14.0"
"","high","32.0","20.0","232.0","1.0","0.8","7.1","36.0","0.5","0.2","18.0"
"","low","28.0","15.7","182.0","0.8","1.1","4.8","27.0","0.0","0.3","13.9"
"Derek Carr","OAK","32.4","22.9","235.8","1.3","0.7","1.5","5.0","0.1","0.2","13.8"
"","high","34.0","24.0","254.0","2.0","0.4","2.0","6.4","0.1","0.2","21.2"
"","low","31.0","21.1","201.0","1.0","1.0","1.0","4.0","0.0","0.3","11.6"
"Jared Goff","LAR","35.8","23.1","265.0","1.2","0.9","1.4","3.2","0.1","0.3","13.7"
"","high","38.6","25.0","282.0","1.4","0.8","2.3","6.6","0.1","0.2","18.1"
"","low","33.4","20.6","236.0","1.0","1.1","0.0","0.0","0.0","0.3","12.9"
"Will Grier","CAR","35.5","21.4","244.0","1.2","1.1","1.6","6.5","0.0","0.2","12.7"
"","high","42.0","24.0","297.0","1.5","0.7","3.4","10.5","0.1","0.0","17.0"
"","low","30.8","19.2","213.6","0.9","1.6","0.2","0.6","0.0","0.3","11.6"
"Dwayne Haskins","WAS","31.2","19.3","219.9","1.3","1.0","2.3","8.2","0.1","0.3","12.6"
"","high","35.0","21.7","241.0","1.4","0.7","3.2","13.7","0.2","0.2","16.2"
"","low","28.6","17.7","208.0","1.0","1.2","1.6","6.0","0.0","0.3","12.1"
"Baker Mayfield","CLE","33.7","20.6","238.6","1.2","1.1","1.7","6.4","0.1","0.2","12.5"
"","high","36.2","22.1","263.2","1.4","1.0","2.3","7.4","0.1","0.2","17.7"
"","low","32.0","19.1","216.0","0.9","1.5","0.8","4.0","0.0","0.2","11.4"
"Sam Darnold","NYJ","31.8","19.7","220.7","1.0","1.1","2.1","6.9","0.0","0.2","11.4"
"","high","33.6","21.8","248.4","1.2","0.9","2.5","10.4","0.1","0.2","15.9"
"","low","29.0","18.0","210.0","1.0","1.5","1.2","4.0","0.0","0.2","10.5"
"Devlin Hodges","PIT","28.7","17.9","194.7","1.0","0.9","2.7","11.1","0.1","0.2","11.2"
"","high","31.1","19.0","219.0","1.2","0.7","4.0","18.4","0.1","0.2","15.6"
"","low","26.2","16.1","173.0","0.9","1.0","1.0","6.0","0.0","0.2","9.6"
"David Blough","DET","33.8","20.1","223.3","0.9","1.1","2.3","8.1","0.0","0.3","11.0"
"","high","37.0","21.0","240.0","1.1","0.7","4.0","16.0","0.1","0.2","16.1"
"","low","30.8","19.0","206.0","0.7","1.7","0.0","1.0","0.0","0.3","10.0"
"Eli Manning","NYG","16.2","9.8","103.9","0.3","0.4","0.5","0.7","0.0","0.2","4.3"
"","high","31.0","18.6","197.6","0.5","0.0","0.7","1.0","0.0","0.1","0.9"
"","low","1.4","1.0","10.2","0.1","0.8","0.2","0.4","0.0","0.2","0.9"
"Taysom Hill","NO","0.9","0.3","3.6","0.0","0.0","2.2","15.8","0.2","0.0","2.7"
"","high","1.3","1.0","7.8","0.1","0.0","2.7","51.2","0.5","0.0","3.2"
"","low","0.0","0.0","0.0","0.0","0.1","1.0","4.3","0.0","0.0","2.3"
"Robert Griffin","BAL","5.6","3.2","32.3","0.1","0.3","0.9","3.4","0.0","0.1","1.3"
"","high","10.2","5.6","56.6","0.1","0.0","1.5","4.8","0.0","0.0","0.9"
"","low","1.0","0.7","8.0","0.0","0.5","0.4","2.0","0.0","0.1","0.9"
"Kyle Allen","CAR","6.0","4.2","43.7","0.1","0.3","0.1","0.2","0.0","0.1","1.1"
"","high","8.4","6.1","63.1","0.1","0.1","0.1","0.4","0.0","0.0","1.2"
"","low","3.6","2.4","24.4","0.0","0.6","0.0","0.0","0.0","0.2","1.2"
"Mason Rudolph","PIT","6.1","3.5","33.6","0.1","0.3","0.4","0.5","0.0","0.1","1.0"
"","high","9.2","5.3","47.9","0.1","0.1","0.7","0.6","0.0","0.0","1.0"
"","low","2.9","1.8","19.2","0.0","0.4","0.2","0.5","0.0","0.1","1.0"
"Josh McCown","PHI","4.7","2.7","24.5","0.1","0.2","0.6","1.4","0.0","0.1","0.9"
"","high","8.0","4.4","39.1","0.1","0.0","0.9","1.7","0.0","0.0","0.9"
"","low","1.5","1.0","9.9","0.0","0.4","0.3","1.1","0.0","0.1","0.9"
"Teddy Bridgewater","NO","4.7","2.7","25.2","0.1","0.2","0.5","1.0","0.0","0.1","0.9"
"","high","8.1","4.4","39.9","0.1","0.0","0.9","1.8","0.0","0.0","0.9"
"","low","1.4","1.0","10.6","0.0","0.4","0.1","0.3","0.0","0.1","0.9"
"Blake Bortles","LAR","4.6","2.6","23.8","0.1","0.2","0.6","1.4","0.0","0.1","0.9"
"","high","7.8","4.2","38.1","0.1","0.0","0.9","1.7","0.0","0.0","0.9"
"","low","1.5","0.9","9.6","0.0","0.4","0.3","1.1","0.0","0.1","0.9"
"Tyrod Taylor","LAC","4.8","2.7","26.9","0.1","0.2","0.6","1.3","0.0","0.1","0.9"
"","high","8.2","4.5","40.4","0.1","0.1","0.9","1.8","0.0","0.0","0.8"
"","low","1.5","1.0","13.4","0.0","0.4","0.2","0.8","0.0","0.1","0.8"
"Brian Hoyer","IND","4.8","2.6","24.2","0.1","0.2","0.6","1.1","0.0","0.1","0.9"
