"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Ezekiel Elliott","DAL","19.5","85.3","0.7","4.0","33.4","0.2","0.2","16.7"
"","high","22.0","96.8","1.0","5.2","43.0","0.4","0.1","18.6"
"","low","16.5","73.0","0.3","3.0","28.4","0.0","0.2","15.6"
"Alvin Kamara","NO","12.6","60.9","0.7","6.0","49.8","0.2","0.1","16.3"
"","high","15.0","68.1","1.0","7.0","54.9","0.3","0.0","17.8"
"","low","10.4","52.0","0.4","5.2","43.3","0.0","0.2","14.9"
"Derrick Henry","TEN","21.3","99.7","0.8","1.6","14.0","0.1","0.1","16.1"
"","high","23.0","111.0","1.0","2.0","19.0","0.1","0.1","18.4"
"","low","18.0","89.9","0.5","1.3","10.2","0.0","0.2","14.2"
"Miles Sanders","PHI","16.4","77.6","0.6","3.4","34.8","0.2","0.2","15.5"
"","high","19.3","83.0","1.0","3.7","41.9","0.3","0.1","16.7"
"","low","11.0","71.5","0.4","3.0","28.0","0.0","0.2","15.0"
"Jonathan Taylor","IND","19.2","78.0","0.7","2.9","25.3","0.1","0.1","14.8"
"","high","23.0","104.0","1.0","4.0","31.7","0.2","0.1","18.5"
"","low","15.7","57.0","0.4","2.3","20.2","0.0","0.3","12.2"
"Dalvin Cook","MIN","17.2","75.8","0.7","3.2","27.3","0.1","0.1","14.7"
"","high","19.1","83.6","1.0","3.8","33.6","0.2","0.1","16.0"
"","low","16.0","67.0","0.4","2.0","17.0","0.0","0.2","12.4"
"Aaron Jones","GB","13.7","64.3","0.7","3.6","30.2","0.2","0.1","14.5"
"","high","18.0","84.0","1.0","4.1","36.9","0.2","0.1","18.0"
"","low","9.1","39.0","0.4","3.1","20.4","0.0","0.2","10.0"
"Josh Jacobs","LV","18.8","83.4","0.6","2.7","21.5","0.0","0.1","14.0"
"","high","22.0","99.7","1.0","3.2","27.0","0.1","0.1","17.5"
"","low","15.4","67.9","0.3","2.2","17.2","0.0","0.2","12.3"
"Austin Ekeler","LAC","13.4","61.7","0.5","3.9","37.1","0.2","0.1","13.9"
"","high","18.0","74.0","1.0","5.2","53.5","0.4","0.0","16.7"
"","low","10.5","51.0","0.2","3.0","26.2","0.0","0.1","12.4"
"Chris Carson","SEA","15.8","67.5","0.6","3.1","23.0","0.2","0.1","13.5"
"","high","18.3","84.8","1.0","4.0","25.1","0.4","0.1","15.1"
"","low","13.3","56.4","0.4","2.4","17.8","0.0","0.2","11.9"
"Kenyan Drake","ARI","15.2","70.0","0.6","2.9","23.2","0.1","0.1","13.5"
"","high","18.0","77.5","1.0","3.9","31.0","0.2","0.1","15.0"
"","low","12.0","56.1","0.5","2.1","13.0","0.0","0.2","12.2"
"Nick Chubb","CLE","16.5","81.8","0.7","1.6","12.0","0.1","0.1","13.4"
"","high","20.0","91.4","1.0","2.4","15.1","0.1","0.1","15.2"
"","low","14.1","66.0","0.5","1.0","8.0","0.0","0.2","11.5"
"James Robinson","JAC","16.9","74.1","0.6","2.2","19.4","0.1","0.1","13.2"
"","high","19.0","95.0","1.0","3.8","27.5","0.1","0.1","16.5"
"","low","14.7","68.3","0.4","1.7","14.0","0.0","0.2","11.7"
"James Conner","PIT","15.8","68.1","0.6","2.6","21.0","0.1","0.1","13.0"
"","high","19.0","74.0","1.0","3.4","26.3","0.2","0.1","14.7"
"","low","12.9","60.8","0.4","2.0","13.0","0.0","0.2","11.7"
"Joe Mixon","CIN","16.4","68.7","0.6","2.5","20.1","0.1","0.1","12.8"
"","high","19.1","78.0","1.0","3.4","26.3","0.2","0.0","15.6"
"","low","12.9","63.1","0.4","1.9","14.8","0.0","0.2","11.6"
"Clyde Edwards-Helaire","KC","13.3","62.6","0.5","3.0","26.1","0.1","0.1","12.3"
"","high","14.9","72.1","1.0","3.8","31.9","0.2","0.1","14.9"
"","low","12.5","53.3","0.1","1.7","19.0","0.0","0.2","8.9"
"Melvin Gordon III","DEN","16.4","59.9","0.5","3.0","22.5","0.1","0.1","11.9"
"","high","18.2","69.3","1.0","3.5","29.2","0.2","0.1","14.2"
"","low","14.5","52.6","0.3","2.0","16.0","0.0","0.3","11.0"
"Devin Singletary","BUF","15.3","67.3","0.3","3.1","23.8","0.1","0.1","11.4"
"","high","16.6","83.0","0.5","3.9","29.0","0.2","0.1","12.7"
"","low","12.1","56.0","0.0","2.6","18.5","0.0","0.2","9.4"
"David Montgomery","CHI","14.3","56.1","0.5","1.9","15.1","0.1","0.1","10.5"
"","high","17.0","67.0","1.0","2.7","20.0","0.2","0.1","14.3"
"","low","10.9","37.0","0.2","1.4","10.9","0.0","0.2","7.9"
"Todd Gurley II","ATL","15.6","60.8","0.4","2.1","16.1","0.1","0.1","10.4"
"","high","16.4","67.4","0.7","3.5","24.5","0.1","0.1","12.6"
"","low","14.6","53.7","0.0","1.5","13.8","0.0","0.2","7.8"
"Jerick McKinnon","SF","11.5","53.1","0.3","3.3","27.9","0.1","0.1","10.3"
"","high","14.8","76.8","0.4","4.2","34.0","0.2","0.0","14.5"
"","low","7.8","31.9","0.0","2.1","20.8","0.0","0.2","7.9"
"David Johnson","HOU","15.1","55.9","0.3","3.0","27.2","0.1","0.1","10.3"
"","high","16.3","65.0","0.4","3.6","34.3","0.2","0.1","12.0"
"","low","12.5","41.4","0.0","2.3","19.4","0.0","0.2","8.4"
"Leonard Fournette","TB","12.6","51.6","0.5","2.7","19.3","0.1","0.1","10.0"
"","high","17.0","66.0","1.0","4.5","33.5","0.1","0.0","14.3"
"","low","9.5","37.0","0.2","1.9","10.5","0.0","0.2","6.2"
"Kareem Hunt","CLE","9.5","43.9","0.3","3.1","26.1","0.2","0.1","9.8"
"","high","12.4","58.5","0.5","3.4","30.3","0.4","0.0","11.4"
"","low","8.2","35.2","0.0","2.7","22.3","0.0","0.1","7.7"
"Antonio Gibson","WAS","10.9","46.1","0.4","2.4","18.5","0.1","0.1","9.4"
"","high","13.1","58.8","1.0","3.0","22.2","0.1","0.1","12.4"
"","low","7.8","21.0","0.3","1.7","14.6","0.0","0.2","6.7"
"Mark Ingram II","BAL","10.2","48.3","0.4","1.8","15.1","0.1","0.1","9.4"
"","high","13.0","55.0","1.0","3.2","21.5","0.2","0.1","13.1"
"","low","8.3","40.0","0.2","1.2","9.8","0.0","0.1","7.3"
"Mike Davis","CAR","12.3","49.6","0.2","3.9","25.6","0.1","0.1","9.2"
"","high","15.6","63.1","0.4","5.7","37.0","0.2","0.1","11.2"
"","low","9.3","36.8","0.0","2.5","15.6","0.0","0.2","7.2"
"Joshua Kelley","LAC","13.0","51.1","0.3","1.3","11.0","0.0","0.1","8.2"
"","high","14.2","61.0","0.6","2.8","18.0","0.1","0.0","10.7"
"","low","12.1","33.6","0.0","0.2","2.4","0.0","0.2","5.9"
"Darrell Henderson","LAR","10.7","41.8","0.3","1.7","14.4","0.0","0.1","7.8"
"","high","14.0","56.0","1.0","2.6","20.0","0.1","0.0","13.6"
"","low","6.0","16.1","0.1","0.7","4.6","0.0","0.1","2.9"
"Malcolm Brown","LAR","9.9","44.4","0.3","1.9","13.9","0.1","0.1","7.7"
"","high","10.1","53.8","0.5","3.3","28.0","0.2","0.0","9.5"
"","low","9.5","38.0","0.0","1.0","7.5","0.0","0.1","5.8"
"Myles Gaskin","MIA","8.2","36.9","0.2","3.4","24.3","0.1","0.1","7.4"
"","high","10.2","49.6","0.3","6.0","33.0","0.1","0.0","8.1"
"","low","7.5","30.0","0.0","2.5","15.5","0.0","0.1","6.8"
"Frank Gore","NYJ","14.0","50.8","0.2","1.5","10.8","0.0","0.1","7.2"
"","high","15.0","57.8","0.3","1.9","16.2","0.1","0.0","9.0"
"","low","12.7","42.3","0.0","1.0","4.0","0.0","0.2","5.9"
"Sony Michel","NE","11.4","45.2","0.3","0.8","5.1","0.0","0.1","6.8"
"","high","15.9","61.3","0.6","1.5","9.2","0.1","0.0","8.6"
"","low","6.7","28.0","0.0","0.0","0.0","0.0","0.1","3.8"
