"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","18.8","83.9","0.7","5.9","49.9","0.3","0.2","21.8"
"","high","22.0","96.0","1.0","6.2","55.1","0.4","0.1","23.0"
"","low","13.9","64.2","0.6","5.5","45.7","0.0","0.2","21.3"
"Dalvin Cook","MIN","20.1","101.1","0.7","4.3","37.9","0.1","0.2","20.6"
"","high","25.0","119.0","1.0","5.5","43.0","0.2","0.2","23.4"
"","low","17.3","88.0","0.5","3.7","33.0","0.0","0.2","19.1"
"Ezekiel Elliott","DAL","21.3","96.1","0.7","3.5","30.0","0.1","0.2","18.8"
"","high","24.0","104.0","1.0","4.1","34.0","0.2","0.1","20.9"
"","low","19.7","84.8","0.5","2.9","27.0","0.0","0.2","17.5"
"Saquon Barkley","NYG","18.1","84.6","0.6","4.9","37.9","0.1","0.1","18.7"
"","high","21.0","94.0","1.0","5.3","41.0","0.3","0.0","21.1"
"","low","15.8","76.5","0.4","4.3","29.6","0.0","0.2","17.0"
"Le'Veon Bell","NYJ","18.2","77.3","0.5","4.7","36.9","0.1","0.2","17.3"
"","high","20.0","87.0","1.0","5.3","43.0","0.2","0.1","20.4"
"","low","15.1","61.3","0.3","4.0","34.0","0.0","0.2","15.7"
"Leonard Fournette","JAC","19.5","78.6","0.6","4.3","33.8","0.1","0.1","17.2"
"","high","21.2","84.4","1.0","5.0","41.0","0.2","0.0","20.3"
"","low","17.0","70.0","0.3","3.3","26.7","0.0","0.2","15.7"
"Nick Chubb","CLE","18.9","95.5","0.7","2.6","17.9","0.1","0.2","16.8"
"","high","21.6","107.0","1.0","3.4","27.4","0.2","0.1","18.3"
"","low","12.6","87.6","0.5","1.6","10.0","0.0","0.3","14.4"
"Aaron Jones","GB","13.3","63.7","0.7","3.8","31.5","0.2","0.1","16.4"
"","high","15.0","71.0","1.0","4.1","38.0","0.2","0.1","17.7"
"","low","11.1","50.1","0.5","3.0","23.9","0.0","0.1","15.5"
"Chris Carson","SEA","18.8","77.5","0.6","3.0","22.0","0.2","0.2","15.5"
"","high","19.5","86.9","1.0","3.6","30.0","0.2","0.2","17.2"
"","low","18.0","67.1","0.4","2.7","15.8","0.0","0.3","14.4"
"Josh Jacobs","OAK","17.6","80.9","0.7","1.9","15.5","0.1","0.1","15.1"
"","high","21.0","92.0","1.0","3.0","22.3","0.2","0.1","16.9"
"","low","14.9","71.7","0.6","1.2","10.0","0.0","0.2","14.6"
"Tevin Coleman","SF","16.1","73.8","0.7","2.3","18.4","0.1","0.1","14.9"
"","high","18.0","81.0","1.0","3.0","24.0","0.4","0.1","16.9"
"","low","11.1","59.2","0.4","1.0","9.6","0.0","0.2","13.5"
"Derrick Henry","TEN","18.3","84.3","0.7","1.5","13.7","0.0","0.1","14.8"
"","high","20.5","91.3","1.0","2.0","17.0","0.1","0.0","16.7"
"","low","15.1","77.0","0.5","1.0","9.5","0.0","0.2","13.6"
