"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Dalvin Cook","MIN","20.5","101.5","0.8","3.8","32.9","0.1","0.2","18.8"
"Christian McCaffrey","CAR","16.7","75.1","0.6","5.7","47.7","0.2","0.2","16.8"
"Saquon Barkley","NYG","17.4","85.2","0.6","4.5","38.7","0.1","0.1","16.6"
"Leonard Fournette","JAC","20.8","85.0","0.7","3.5","28.7","0.1","0.1","15.7"
"Chris Carson","SEA","21.1","92.2","0.6","3.1","22.1","0.2","0.2","15.6"
"Todd Gurley","LAR","17.1","70.5","0.8","2.9","25.3","0.1","0.1","14.8"
"Aaron Jones","GB","14.0","69.4","0.8","3.3","24.6","0.1","0.1","14.5"
"James Conner","PIT","15.2","65.9","0.6","3.6","30.3","0.2","0.2","14.4"
"Derrick Henry","TEN","18.1","77.6","0.8","1.5","13.0","0.1","0.1","13.9"
"Nick Chubb","CLE","15.8","78.7","0.6","2.6","19.7","0.1","0.1","13.4"
"Le'Veon Bell","NYJ","16.9","68.3","0.5","4.5","32.1","0.1","0.1","13.0"
"Marlon Mack","IND","18.1","77.4","0.7","1.8","12.3","0.0","0.1","12.8"
"Sony Michel","NE","17.3","71.1","0.7","1.2","8.1","0.0","0.1","11.6"
"Tevin Coleman","SF","13.8","60.7","0.6","2.2","16.0","0.1","0.1","11.5"
"Devonta Freeman","ATL","13.1","52.3","0.5","3.8","28.0","0.1","0.1","11.3"
"Josh Jacobs","OAK","14.7","63.7","0.5","1.9","15.0","0.1","0.1","11.2"
"LeSean McCoy","KC","13.2","54.7","0.4","2.4","18.4","0.1","0.1","10.1"
"Phillip Lindsay","DEN","12.9","61.7","0.3","2.7","19.0","0.0","0.1","10.0"
"Chase Edmonds","ARI","10.7","46.0","0.5","2.6","19.6","0.1","0.1","9.9"
"Ty Johnson","DET","14.3","60.8","0.3","2.1","16.5","0.1","0.1","9.9"
"Latavius Murray","NO","13.5","56.4","0.5","2.1","16.0","0.0","0.1","9.8"
"Carlos Hyde","HOU","15.1","59.6","0.5","1.1","6.0","0.0","0.1","9.3"
"Royce Freeman","DEN","11.3","49.7","0.3","3.6","23.5","0.0","0.1","9.0"
"David Montgomery","CHI","14.2","56.2","0.3","2.1","14.9","0.0","0.1","9.0"
"Melvin Gordon","LAC","13.9","52.7","0.3","2.6","18.8","0.1","0.1","8.9"
"James White","NE","4.3","17.6","0.1","5.1","42.3","0.4","0.1","8.6"
"Joe Mixon","CIN","13.3","51.2","0.2","2.3","17.3","0.1","0.1","8.3"
"Austin Ekeler","LAC","5.7","24.9","0.1","4.9","43.1","0.2","0.1","8.2"
"Matt Breida","SF","10.6","53.7","0.2","1.9","14.6","0.1","0.1","8.2"
"Alvin Kamara","NO","7.8","36.1","0.2","2.8","21.8","0.1","0.1","7.8"
"Jordan Howard","PHI","13.4","53.8","0.2","1.1","8.2","0.0","0.1","7.6"
"Jamaal Williams","GB","9.3","38.2","0.1","3.0","22.2","0.1","0.1","7.3"
"Frank Gore","BUF","12.8","52.5","0.2","1.3","10.2","0.0","0.1","7.1"
"Miles Sanders","PHI","8.6","36.1","0.1","2.6","22.5","0.1","0.1","6.8"
"Ronald Jones II","TB","11.5","43.7","0.2","1.6","13.1","0.0","0.1","6.8"
"Kenyan Drake","MIA","7.3","30.8","0.1","3.5","30.1","0.1","0.1","6.7"
"Devin Singletary","BUF","8.1","34.9","0.2","2.5","19.7","0.1","0.1","6.7"
