"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.2","74.1","0.6","0.1","10.9"
"","high","6.9","88.4","1.0","0.0","13.6"
"","low","5.7","68.3","0.5","0.1","9.8"
"Mark Andrews","BAL","4.3","57.5","0.6","0.0","9.5"
"","high","6.0","67.8","1.0","0.0","12.6"
"","low","3.3","41.7","0.4","0.0","6.4"
"Darren Waller","LV","6.1","69.6","0.4","0.1","9.2"
"","high","7.7","92.0","1.0","0.0","12.8"
"","low","5.4","60.1","0.1","0.1","7.7"
"Hunter Henry","LAC","4.8","58.3","0.5","0.1","8.6"
"","high","6.0","78.0","1.0","0.0","12.3"
"","low","4.1","47.4","0.2","0.1","6.7"
"Zach Ertz","PHI","5.1","56.5","0.5","0.0","8.4"
"","high","6.5","67.4","1.0","0.0","12.0"
"","low","4.6","49.4","0.3","0.1","7.1"
"Jared Cook","NO","4.0","53.5","0.5","0.0","8.1"
"","high","6.0","61.3","1.0","0.0","11.8"
"","low","2.8","44.5","0.1","0.0","6.7"
"Mike Gesicki","MIA","4.6","55.2","0.4","0.1","8.1"
"","high","5.6","61.8","1.0","0.0","11.4"
"","low","3.9","48.1","0.1","0.1","6.5"
"Tyler Higbee","LAR","4.9","53.2","0.4","0.0","7.8"
"","high","6.3","68.2","1.0","0.0","11.3"
"","low","3.9","41.7","0.2","0.0","5.8"
"Jonnu Smith","TEN","4.1","48.2","0.5","0.0","7.6"
"","high","6.0","60.0","1.0","0.0","12.0"
"","low","3.0","39.0","0.3","0.0","6.4"
"Jordan Reed","SF","4.6","49.2","0.4","0.0","7.4"
"","high","6.4","63.0","1.0","0.0","11.4"
"","low","3.4","35.4","0.0","0.1","5.3"
"Dallas Goedert","PHI","4.8","52.3","0.3","0.0","7.2"
"","high","5.2","55.9","0.5","0.0","8.6"
"","low","4.4","48.8","0.0","0.1","5.4"
"Noah Fant","DEN","3.9","49.3","0.4","0.0","7.2"
"","high","5.0","59.0","1.0","0.0","11.9"
"","low","3.3","38.9","0.2","0.1","5.1"
"T.J. Hockenson","DET","4.3","48.4","0.4","0.0","7.2"
"","high","6.0","58.0","1.0","0.0","11.8"
"","low","3.1","35.3","0.2","0.0","5.1"
"Hayden Hurst","ATL","4.2","49.5","0.2","0.0","6.4"
"","high","5.0","61.0","0.3","0.0","6.8"
"","low","3.6","41.8","0.0","0.0","5.9"
"Evan Engram","NYG","4.6","48.5","0.2","0.0","5.9"
"","high","5.2","57.0","0.3","0.0","7.7"
"","low","3.4","36.0","0.0","0.0","4.4"
"Chris Herndon IV","NYJ","4.0","43.3","0.2","0.1","5.2"
"","high","4.5","52.9","0.3","0.0","6.6"
"","low","3.0","33.3","0.0","0.3","3.6"
"Austin Hooper","CLE","3.5","39.1","0.2","0.0","5.1"
"","high","4.5","50.1","0.3","0.0","6.7"
"","low","2.9","32.5","0.0","0.0","3.6"
"Dalton Schultz","DAL","3.8","40.5","0.2","0.1","5.1"
