"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.8","74.2","0.6","0.1","10.7"
"","high","6.3","80.3","1.0","0.0","13.0"
"","low","5.0","64.0","0.4","0.1","9.1"
"Darren Waller","OAK","6.0","64.7","0.5","0.1","9.4"
"","high","6.7","76.7","1.0","0.0","12.6"
"","low","5.0","52.6","0.2","0.1","7.9"
"Hunter Henry","LAC","5.3","63.8","0.4","0.0","8.8"
"","high","6.0","71.0","0.7","0.0","10.1"
"","low","4.6","57.0","0.0","0.1","7.1"
"Mark Andrews","BAL","4.7","60.1","0.4","0.1","8.2"
"","high","5.5","74.1","0.5","0.0","10.4"
"","low","3.7","50.6","0.0","0.1","6.3"
"Jared Cook","NO","4.0","47.6","0.4","0.0","7.2"
"","high","5.2","66.3","1.0","0.0","10.9"
"","low","3.2","37.0","0.2","0.1","5.2"
"Zach Ertz","PHI","5.1","56.2","0.2","0.1","6.6"
"","high","5.9","63.2","0.4","0.0","8.2"
"","low","4.0","42.0","0.0","0.1","4.2"
"Gerald Everett","LAR","3.9","44.4","0.4","0.0","6.6"
"","high","5.1","57.8","1.0","0.0","10.5"
"","low","3.0","33.2","0.1","0.1","4.6"
"Greg Olsen","CAR","4.3","50.3","0.2","0.0","6.3"
"","high","5.0","60.5","0.4","0.0","7.4"
"","low","3.1","37.9","0.0","0.0","5.4"
"Darren Fells","HOU","3.1","33.3","0.4","0.0","5.8"
"","high","4.0","41.0","1.0","0.0","10.1"
"","low","2.3","25.7","0.1","0.0","3.8"
"Eric Ebron","IND","3.9","45.7","0.2","0.0","5.7"
"","high","5.0","57.3","0.4","0.0","7.3"
"","low","3.1","34.7","0.0","0.0","4.5"
"Jack Doyle","IND","4.4","42.3","0.2","0.0","5.2"
"","high","5.7","52.5","0.3","0.0","6.3"
"","low","4.0","33.7","0.0","0.1","4.1"
"O.J. Howard","TB","3.2","45.8","0.1","0.1","5.2"
"","high","4.0","60.4","0.3","0.0","6.8"
"","low","2.2","31.9","0.0","0.2","4.3"
"Noah Fant","DEN","3.7","42.1","0.1","0.0","4.7"
"","high","5.0","54.0","0.2","0.0","5.4"
"","low","3.0","34.7","0.0","0.1","4.7"
"Jason Witten","DAL","3.9","40.5","0.1","0.1","4.7"
"","high","4.6","50.0","0.2","0.0","6.2"
"","low","3.0","31.9","0.0","0.1","3.7"
"Dallas Goedert","PHI","3.7","38.4","0.2","0.1","4.7"
"","high","5.0","49.0","0.3","0.0","5.0"
"","low","2.6","26.7","0.0","0.1","4.5"
"Vance McDonald","PIT","3.8","37.1","0.1","0.0","4.4"
"","high","5.0","51.0","0.2","0.0","5.2"
"","low","2.8","28.6","0.0","0.0","3.8"
"Mike Gesicki","MIA","3.8","42.5","0.1","0.1","4.4"
"","high","4.7","49.1","0.2","0.0","5.3"
"","low","3.0","36.4","0.0","0.2","4.2"
"Kyle Rudolph","MIN","3.4","31.6","0.2","0.0","4.4"
"","high","4.7","46.0","0.4","0.0","5.2"
"","low","2.4","23.4","0.0","0.0","3.4"
"T.J. Hockenson","DET","3.2","34.9","0.1","0.0","4.1"
"","high","4.3","48.0","0.2","0.0","4.1"
"","low","2.6","28.0","0.0","0.0","3.6"
"George Kittle","SF","2.4","32.7","0.1","0.0","3.9"
"","high","2.8","36.9","0.2","0.0","4.9"
"","low","2.1","28.5","0.0","0.0","4.9"
"Tyler Eifert","CIN","2.8","29.9","0.2","0.0","3.9"
"","high","3.4","38.7","0.3","0.0","4.4"
"","low","2.4","26.3","0.0","0.0","3.1"
"Irv Smith Jr.","MIN","2.7","28.7","0.1","0.0","3.6"
"","high","3.2","35.7","0.2","0.0","4.2"
"","low","2.0","26.0","0.0","0.0","2.6"
"Dawson Knox","BUF","2.5","29.6","0.1","0.0","3.6"
"","high","3.4","37.4","0.2","0.0","4.0"
"","low","2.0","25.0","0.0","0.0","2.5"
"Ryan Griffin","NYJ","2.7","27.8","0.1","0.0","3.6"
"","high","3.7","38.2","0.3","0.0","3.9"
"","low","2.2","20.9","0.0","0.0","3.1"
"Blake Jarwin","DAL","1.9","23.8","0.1","0.0","3.1"
"","high","2.6","29.7","0.2","0.0","3.4"
"","low","1.4","19.1","0.1","0.0","2.9"
"Luke Stocker","ATL","2.6","25.6","0.1","0.0","3.1"
"","high","4.1","41.0","0.2","0.0","5.2"
"","low","2.0","17.8","0.0","0.0","2.4"
"Jordan Akins","HOU","2.2","25.8","0.1","0.0","3.1"
"","high","3.0","33.7","0.2","0.0","4.1"
"","low","1.6","17.9","0.0","0.0","2.5"
"Nick Boyle","BAL","2.5","24.3","0.1","0.0","3.0"
"","high","4.0","36.3","0.2","0.0","3.7"
"","low","1.0","11.0","0.0","0.0","1.1"
"Ross Dwelley","SF","2.6","24.9","0.1","0.0","3.0"
"","high","3.8","35.0","0.2","0.0","4.1"
"","low","1.3","13.3","0.0","0.0","2.0"
"Benjamin Watson","NE","2.1","23.0","0.1","0.0","2.8"
"","high","3.4","35.0","0.2","0.0","3.1"
"","low","1.3","15.3","0.0","0.0","2.1"
"Ricky Seals-Jones","CLE","1.6","20.1","0.1","0.0","2.8"
"","high","2.0","24.7","0.2","0.0","3.5"
"","low","1.1","13.0","0.0","0.0","1.7"
"Foster Moreau","OAK","1.9","19.6","0.1","0.0","2.7"
"","high","2.3","25.0","0.3","0.0","4.3"
"","low","1.4","11.0","0.0","0.0","1.9"
"Jaeden Graham","ATL","2.0","20.7","0.1","0.0","2.6"
"","high","2.0","22.1","0.2","0.0","3.0"
"","low","1.9","19.0","0.0","0.0","2.4"
"Hayden Hurst","BAL","2.0","21.6","0.1","0.0","2.6"
"","high","2.5","27.6","0.2","0.0","2.9"
"","low","1.8","18.8","0.0","0.0","2.1"
"Tyler Higbee","LAR","1.8","18.7","0.1","0.0","2.4"
"","high","2.3","25.8","0.2","0.0","3.3"
"","low","1.0","11.0","0.0","0.0","1.1"
"Demetrius Harris","CLE","1.9","18.8","0.1","0.0","2.3"
"","high","3.3","34.4","0.2","0.0","2.9"
"","low","0.6","6.8","0.0","0.0","1.0"
"Tyler Kroft","BUF","1.7","18.5","0.1","0.0","2.3"
"","high","3.0","33.0","0.2","0.0","3.6"
"","low","0.1","1.2","0.0","0.0","0.2"
"Jeremy Sprinkle","WAS","1.7","17.1","0.1","0.0","2.2"
"","high","2.4","26.3","0.1","0.0","2.2"
"","low","1.4","13.0","0.0","0.0","1.9"
"Josh Oliver","JAC","1.9","18.3","0.1","0.0","2.2"
"","high","2.1","23.3","0.1","0.0","2.6"
"","low","1.5","12.9","0.0","0.1","1.9"
"C.J. Uzomah","CIN","1.5","17.0","0.1","0.0","2.2"
"","high","2.0","21.9","0.1","0.0","2.7"
"","low","1.1","10.6","0.0","0.0","1.5"
"Charles Clay","ARI","1.7","17.4","0.1","0.0","2.1"
"","high","2.1","23.0","0.1","0.0","2.4"
"","low","1.3","14.0","0.0","0.0","1.7"
"Ben Braunecker","CHI","1.3","14.6","0.1","0.0","2.1"
"","high","1.9","21.5","0.3","0.0","3.8"
"","low","0.5","5.0","0.0","0.0","0.6"
"Cameron Brate","TB","1.5","16.4","0.1","0.0","2.0"
"","high","2.7","30.4","0.2","0.0","3.7"
"","low","0.6","7.0","0.0","0.0","0.7"
"Josh Hill","NO","1.5","14.6","0.1","0.0","1.8"
"","high","2.1","22.2","0.1","0.0","2.6"
"","low","0.5","5.0","0.0","0.0","0.8"
"Maxx Williams","ARI","1.3","14.1","0.1","0.0","1.8"
"","high","2.1","23.2","0.1","0.0","1.9"
"","low","1.0","9.0","0.0","0.0","1.3"
"Seth DeValve","JAC","1.4","13.9","0.1","0.0","1.7"
"","high","2.1","23.2","0.1","0.0","1.6"
"","low","0.7","6.4","0.0","0.0","0.9"
"Logan Thomas","DET","1.3","12.2","0.1","0.0","1.5"
"","high","1.9","20.7","0.1","0.0","1.7"
"","low","0.9","8.0","0.0","0.0","0.9"
"Jesse James","DET","1.3","12.3","0.1","0.0","1.5"
"","high","1.7","18.6","0.1","0.0","1.8"
"","low","0.9","8.2","0.0","0.0","1.2"
"Jeff Heuerman","DEN","1.0","10.7","0.0","0.0","1.3"
"","high","1.5","15.0","0.1","0.0","2.1"
"","low","0.7","7.2","0.0","0.0","1.3"
"Mo Alie-Cox","IND","0.9","10.4","0.0","0.0","1.3"
"","high","1.8","19.4","0.1","0.0","1.2"
"","low","0.5","6.0","0.0","0.0","0.6"
"Levine Toilolo","SF","0.8","8.8","0.1","0.0","1.2"
"","high","2.0","21.6","0.1","0.0","1.3"
"","low","0.0","0.5","0.0","0.0","0.1"
"Nick Vannett","PIT","0.9","10.1","0.0","0.0","1.1"
"","high","1.9","20.7","0.0","0.0","0.9"
"","low","0.5","6.0","0.0","0.0","0.7"
"Matt LaCosse","NE","0.7","9.1","0.0","0.0","1.1"
"","high","1.5","21.1","0.1","0.0","2.7"
"","low","0.3","3.6","0.0","0.0","0.5"
"Garrett Celek","SF","0.6","7.1","0.1","0.0","1.0"
"","high","1.1","12.0","0.2","0.0","2.3"
"","low","0.2","2.9","0.0","0.0","0.4"
"Derek Carrier","OAK","0.8","8.4","0.0","0.0","1.0"
"","high","1.4","15.4","0.1","0.0","1.5"
"","low","0.4","3.5","0.0","0.0","0.5"
"Ryan Izzo","NE","0.7","8.2","0.0","0.0","1.0"
"","high","1.6","19.5","0.1","0.0","2.6"
"","low","0.3","3.2","0.0","0.0","0.5"
"Troy Fumagalli","DEN","0.9","8.7","0.0","0.0","0.9"
"","high","1.6","17.5","0.0","0.0","0.8"
"","low","0.6","5.6","0.0","0.0","0.6"
"Clive Walford","MIA","0.7","8.0","0.0","0.0","0.9"
"","high","0.8","9.5","0.1","0.0","1.2"
"","low","0.6","7.0","0.0","0.0","0.8"
"Lee Smith","BUF","0.7","6.9","0.0","0.0","0.9"
"","high","1.7","18.6","0.1","0.0","0.9"
"","low","0.1","0.4","0.0","0.0","0.1"
"Hale Hentges","WAS","0.8","8.2","0.0","0.0","0.9"
"","high","1.7","19.1","0.0","0.0","0.7"
"","low","0.1","0.7","0.0","0.0","0.1"
"Deon Yelder","KC","0.6","6.4","0.0","0.0","0.9"
"","high","1.0","11.1","0.1","0.0","1.7"
"","low","0.1","1.0","0.0","0.0","0.1"
"Lance Kendricks","LAC","0.6","7.2","0.0","0.0","0.8"
"","high","1.0","11.3","0.1","0.0","1.0"
"","low","0.1","1.0","0.0","0.0","0.1"
"Geoff Swaim","JAC","0.7","5.5","0.0","0.0","0.8"
"","high","0.7","5.5","0.0","0.0","0.8"
"","low","0.7","5.5","0.0","0.0","0.8"
"Trevon Wesco","NYJ","0.7","7.1","0.0","0.0","0.8"
"","high","1.2","13.8","0.1","0.0","1.3"
"","low","0.1","1.0","0.0","0.0","0.2"
"Pharaoh Brown","CLE","0.7","6.9","0.0","0.0","0.7"
"","high","1.6","18.2","0.0","0.0","0.7"
"","low","0.1","0.7","0.0","0.0","0.1"
"Zach Gentry","PIT","0.7","6.8","0.0","0.0","0.7"
"","high","0.7","6.8","0.0","0.0","0.7"
"","low","0.7","6.8","0.0","0.0","0.7"
"Ben Koyack","JAC","0.7","6.4","0.0","0.0","0.7"
"","high","1.0","11.0","0.0","0.0","0.8"
"","low","0.4","3.1","0.0","0.0","0.5"
"Virgil Green","LAC","0.6","6.5","0.0","0.0","0.7"
"","high","1.5","16.2","0.0","0.0","0.8"
"","low","0.1","1.0","0.0","0.0","0.1"
"Ian Thomas","CAR","0.5","4.9","0.0","0.0","0.7"
"","high","1.0","11.5","0.1","0.0","1.4"
"","low","0.0","0.0","0.0","0.0","0.0"
"Tanner Hudson","TB","0.5","6.1","0.0","0.0","0.6"
"","high","1.2","13.6","0.0","0.0","0.8"
"","low","0.1","1.0","0.0","0.0","0.1"
"J.P. Holtz","CHI","0.6","6.3","0.0","0.0","0.6"
"","high","1.3","14.9","0.0","0.0","0.6"
"","low","0.1","0.5","0.0","0.0","0.1"
"Blake Bell","KC","0.5","5.7","0.0","0.0","0.6"
"","high","1.2","12.9","0.0","0.0","0.6"
"","low","0.1","1.2","0.0","0.0","0.2"
"Durham Smythe","MIA","0.5","5.8","0.0","0.0","0.6"
"","high","1.0","10.7","0.0","0.0","0.8"
"","low","0.1","0.5","0.0","0.0","0.1"
"Stephen Carlson","CLE","0.4","4.5","0.0","0.0","0.5"
"","high","0.6","6.6","0.0","0.0","0.7"
"","low","0.3","3.0","0.0","0.0","0.4"
"Tommy Sweeney","BUF","0.4","4.9","0.0","0.0","0.5"
"","high","0.6","7.3","0.0","0.0","0.7"
"","low","0.1","0.9","0.0","0.0","0.1"
"Dan Arnold","NO","0.5","5.2","0.0","0.0","0.5"
"","high","0.9","9.8","0.0","0.0","0.1"
"","low","0.1","0.6","0.0","0.0","0.1"
"Tyler Conklin","MIN","0.4","4.6","0.0","0.0","0.5"
"","high","0.5","6.3","0.0","0.0","0.6"
"","low","0.2","2.5","0.0","0.0","0.4"
"Andrew Beck","DEN","0.4","4.4","0.0","0.0","0.4"
"","high","0.7","7.9","0.0","0.0","0.6"
"","low","0.0","0.5","0.0","0.0","0.1"
"Dalton Schultz","DAL","0.4","4.1","0.0","0.0","0.4"
"","high","0.7","8.2","0.0","0.0","0.8"
"","low","0.1","0.5","0.0","0.0","0.1"
"Jordan Leggett","TB","0.3","3.0","0.0","0.0","0.3"
"","high","0.5","4.8","0.0","0.0","0.5"
"","low","0.1","1.2","0.0","0.0","0.2"
"Daniel Brown","NYJ","0.3","2.9","0.0","0.0","0.3"
"","high","0.5","5.5","0.0","0.0","0.6"
"","low","0.0","0.2","0.0","0.0","0.0"
"Chris Manhertz","CAR","0.2","2.6","0.0","0.0","0.3"
"","high","0.6","7.1","0.0","0.0","0.1"
"","low","0.0","0.0","0.0","0.0","0.0"
"Johnny Mundt","LAR","0.2","2.5","0.0","0.0","0.3"
"","high","0.5","5.2","0.0","0.0","0.2"
"","low","0.1","1.0","0.0","0.0","0.2"
"Cethan Carter","CIN","0.1","0.7","0.0","0.0","0.1"
"","high","0.1","1.0","0.0","0.0","0.1"
"","low","0.0","0.5","0.0","0.0","0.1"
"Darrell Daniels","ARI","0.1","0.6","0.0","0.0","0.1"
"","high","0.1","1.0","0.0","0.0","0.1"
"","low","0.0","0.3","0.0","0.0","0.0"
"Jerome Cunningham","WAS","0.0","0.4","0.0","0.0","0.0"
"","high","0.0","0.4","0.0","0.0","0.1"
"","low","0.0","0.4","0.0","0.0","0.1"
""
""
