"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.9","87.1","0.7","0.1","12.6"
"Evan Engram","NYG","6.9","67.9","0.7","0.1","10.6"
"Zach Ertz","PHI","6.2","65.4","0.5","0.1","9.1"
"Mark Andrews","BAL","4.9","56.2","0.6","0.0","9.0"
"Darren Waller","OAK","6.7","55.2","0.6","0.1","8.7"
"Greg Olsen","CAR","4.6","52.4","0.5","0.0","7.9"
"Delanie Walker","TEN","5.3","53.5","0.4","0.0","7.9"
"Austin Hooper","ATL","4.6","46.9","0.4","0.0","7.1"
"Will Dissly","SEA","3.6","46.6","0.3","0.0","6.3"
"Eric Ebron","IND","3.3","40.4","0.2","0.0","5.2"
"T.J. Hockenson","DET","3.3","42.6","0.2","0.0","5.1"
"O.J. Howard","TB","2.7","44.1","0.1","0.1","5.0"
"Vernon Davis","WAS","2.6","37.5","0.1","0.0","4.4"
"Jared Cook","NO","2.7","35.3","0.1","0.0","4.3"
"Jason Witten","DAL","3.2","34.0","0.1","0.0","4.1"
"Jack Doyle","IND","3.3","34.2","0.1","0.1","4.1"
"Tyler Eifert","CIN","3.0","31.4","0.1","0.0","3.9"
"Noah Fant","DEN","2.7","31.1","0.1","0.0","3.6"
"Jimmy Graham","GB","2.2","27.9","0.1","0.0","3.6"
"Vance McDonald","PIT","2.9","27.4","0.1","0.0","3.5"
"Jordan Akins","HOU","1.9","26.2","0.1","0.0","3.4"
"Dawson Knox","BUF","2.2","28.3","0.1","0.0","3.4"
"Trey Burton","CHI","2.6","26.5","0.1","0.0","3.2"
"Gerald Everett","LAR","1.9","24.6","0.1","0.0","3.1"
"Demetrius Harris","CLE","2.1","24.0","0.1","0.0","3.1"
"Dallas Goedert","PHI","1.6","21.3","0.1","0.0","2.8"
"Hayden Hurst","BAL","1.8","22.2","0.1","0.0","2.8"
"Cameron Brate","TB","1.7","21.3","0.1","0.0","2.8"
"James O'Shaughnessy","JAC","2.7","23.3","0.1","0.0","2.7"
"Kyle Rudolph","MIN","2.0","21.8","0.1","0.0","2.7"
"Tyler Higbee","LAR","1.8","19.1","0.1","0.0","2.6"
"Darren Fells","HOU","1.6","17.1","0.1","0.0","2.6"
"Nick Vannett","PIT","1.9","19.8","0.1","0.0","2.5"
"Blake Jarwin","DAL","1.7","20.2","0.1","0.0","2.5"
"Mike Gesicki","MIA","1.9","22.0","0.1","0.1","2.4"
"C.J. Uzomah","CIN","1.7","19.4","0.1","0.0","2.3"
"Jesse James","DET","1.5","17.7","0.1","0.0","2.2"
"Irv Smith Jr.","MIN","1.6","18.8","0.1","0.0","2.2"
"Jeff Heuerman","DEN","1.6","16.3","0.1","0.0","2.1"
"Nick Boyle","BAL","1.5","16.1","0.1","0.0","2.1"
"Marcedes Lewis","GB","1.3","14.5","0.1","0.0","2.1"
"Geoff Swaim","JAC","1.8","16.6","0.1","0.0","2.0"
"Jonnu Smith","TEN","1.2","14.3","0.1","0.0","2.0"
"Jeremy Sprinkle","WAS","1.3","13.8","0.1","0.0","1.9"
"Tommy Sweeney","BUF","1.1","14.5","0.1","0.0","1.8"
"Mo Alie-Cox","IND","1.0","13.3","0.1","0.0","1.6"
"Ryan Izzo","NE","1.0","12.1","0.1","0.0","1.6"
"Ricky Seals-Jones","CLE","1.1","13.1","0.0","0.0","1.6"
"Lance Kendricks","LAC","1.1","10.8","0.1","0.0","1.6"
"Robert Tonyan","GB","0.8","11.9","0.0","0.0","1.5"
"Adam Shaheen","CHI","1.0","11.5","0.0","0.0","1.4"
"Matt LaCosse","NE","0.9","12.0","0.0","0.0","1.4"
"Sean Culkin","LAC","0.8","9.6","0.1","0.0","1.3"
"Tyler Kroft","BUF","1.0","10.3","0.0","0.0","1.3"
"Luke Willson","SEA","1.1","9.7","0.1","0.0","1.3"
"Rhett Ellison","NYG","1.0","10.3","0.0","0.0","1.3"
"Blake Bell","KC","0.8","9.4","0.1","0.0","1.3"
"Foster Moreau","OAK","1.1","10.4","0.0","0.0","1.3"
"Derek Carrier","OAK","1.1","10.2","0.0","0.0","1.2"
"Luke Stocker","ATL","0.9","9.2","0.1","0.0","1.2"
"Josh Hill","NO","0.9","8.7","0.1","0.0","1.2"
"Charles Clay","ARI","0.9","10.6","0.0","0.0","1.2"
"Maxx Williams","ARI","0.8","9.2","0.0","0.0","1.1"
"Nick O'Leary","MIA","0.7","8.7","0.0","0.0","1.1"
"Tanner Hudson","TB","0.7","7.5","0.1","0.0","1.0"
"Chris Manhertz","CAR","0.4","6.9","0.0","0.0","0.9"
"Ian Thomas","CAR","0.5","7.3","0.0","0.0","0.9"
"Drew Sample","CIN","0.6","6.9","0.0","0.0","0.9"
"Logan Thomas","DET","0.6","7.4","0.0","0.0","0.8"
"Xavier Grimble","PIT","0.8","8.8","0.0","0.0","0.8"
"Zach Gentry","PIT","0.6","6.3","0.0","0.0","0.8"
"Logan Paulsen","HOU","0.5","5.8","0.0","0.0","0.8"
"Deon Yelder","KC","0.4","5.7","0.0","0.0","0.8"
"MyCole Pruitt","TEN","0.5","5.5","0.0","0.0","0.7"
"Ben Braunecker","CHI","0.5","6.5","0.0","0.0","0.7"
"Durham Smythe","MIA","0.5","6.2","0.0","0.0","0.6"
"Josh Oliver","JAC","0.6","6.1","0.0","0.0","0.6"
"Lee Smith","BUF","0.4","4.8","0.0","0.0","0.5"
"Tyler Conklin","NE","0.4","4.9","0.0","0.0","0.5"
"Anthony Firkser","TEN","0.4","4.8","0.0","0.0","0.5"
"Pharaoh Brown","CLE","0.3","4.9","0.0","0.0","0.5"
"Dalton Schultz","DAL","0.3","4.1","0.0","0.0","0.4"
"Troy Fumagalli","DEN","0.3","3.9","0.0","0.0","0.4"
"Antony Auclair","TB","0.3","3.6","0.0","0.0","0.4"
"Jerell Adams","HOU","0.3","2.5","0.0","0.0","0.4"
"Johnny Mundt","LAR","0.1","3.2","0.0","0.0","0.3"
"Jaeden Graham","ATL","0.1","2.8","0.0","0.0","0.3"
"Seth DeValve","JAC","0.1","2.6","0.0","0.0","0.3"
"Cethan Carter","CIN","0.1","1.2","0.0","0.0","0.1"
"Darrell Daniels","ARI","0.1","1.2","0.0","0.0","0.1"
"Andrew Beck","DEN","0.2","1.3","0.0","0.0","0.1"
"Alex Ellis","PHI","0.1","0.7","0.0","0.0","0.1"
"J.P. Holtz","CHI","0.1","1.0","0.0","0.0","0.1"
"David Morgan","MIN","0.1","0.7","0.0","0.0","0.1"
"Jerome Cunningham","WAS","0.1","0.7","0.0","0.0","0.1"
"Evan Baylis","GB","0.1","0.0","0.0","0.0","0.0"
""
""
