"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"DeAndre Hopkins","ARI","7.6","96.1","0.7","0.1","0.5","0.0","0.1","14.0"
"","high","8.5","109.0","1.0","0.3","1.5","0.0","0.0","16.9"
"","low","6.8","82.8","0.6","0.0","0.0","0.0","0.1","11.7"
"Calvin Ridley","ATL","6.4","84.3","0.7","0.3","1.3","0.0","0.1","12.7"
"","high","8.0","97.0","1.0","0.5","2.2","0.0","0.0","15.7"
"","low","5.6","74.8","0.5","0.1","0.6","0.0","0.1","10.3"
"Tyreek Hill","KC","5.4","77.0","0.6","0.7","4.4","0.0","0.0","11.6"
"","high","6.0","91.0","1.0","1.4","10.1","0.1","0.0","15.1"
"","low","4.7","63.0","0.4","0.3","2.0","0.0","0.1","9.7"
"Amari Cooper","DAL","5.9","82.7","0.6","0.1","0.4","0.0","0.1","11.6"
"","high","7.0","97.0","1.0","0.1","0.8","0.0","0.0","15.7"
"","low","5.4","72.7","0.4","0.0","0.0","0.0","0.1","9.7"
"Tyler Lockett","SEA","5.5","76.2","0.6","0.2","1.1","0.0","0.0","11.2"
"","high","6.5","93.0","1.0","0.7","4.7","0.0","0.0","15.3"
"","low","4.7","65.0","0.4","0.0","0.0","0.0","0.1","9.9"
"D.K. Metcalf","SEA","5.1","74.4","0.6","0.1","0.5","0.0","0.1","11.2"
"","high","7.0","88.0","1.0","0.3","1.8","0.0","0.0","14.8"
"","low","3.5","57.0","0.4","0.0","0.0","0.0","0.2","8.3"
"Adam Thielen","MIN","5.4","74.2","0.6","0.2","1.1","0.0","0.0","10.9"
"","high","6.0","80.4","1.0","0.3","1.8","0.0","0.0","13.7"
"","low","4.4","64.0","0.4","0.0","0.0","0.0","0.1","9.5"
"Terry McLaurin","WAS","5.0","76.1","0.5","0.1","0.2","0.0","0.0","10.6"
"","high","6.0","84.0","1.0","0.2","1.0","0.0","0.0","14.4"
"","low","4.3","68.0","0.3","0.0","0.0","0.0","0.1","8.9"
"DeVante Parker","MIA","4.8","72.7","0.5","0.0","0.0","0.0","0.0","10.5"
"","high","5.3","79.4","1.0","0.0","0.1","0.0","0.0","13.5"
"","low","4.5","64.4","0.3","0.0","0.0","0.0","0.0","8.5"
"Julian Edelman","NE","5.7","74.5","0.4","0.5","4.0","0.0","0.1","10.5"
"","high","6.4","80.1","1.0","0.7","5.8","0.0","0.0","13.3"
"","low","5.2","69.8","0.1","0.4","2.0","0.0","0.1","9.4"
"Stefon Diggs","BUF","5.5","74.2","0.5","0.2","1.6","0.0","0.0","10.5"
"","high","7.0","80.0","1.0","0.5","4.7","0.0","0.0","14.0"
"","low","5.0","65.0","0.3","0.0","0.0","0.0","0.1","8.8"
"Chris Godwin","TB","5.3","74.0","0.5","0.0","0.3","0.0","0.0","10.5"
"","high","6.0","81.6","1.0","0.1","0.5","0.0","0.0","14.0"
"","low","4.4","62.0","0.4","0.0","0.0","0.0","0.1","8.3"
"Allen Robinson II","CHI","5.9","73.7","0.5","0.2","0.8","0.0","0.1","10.4"
"","high","7.0","88.0","1.0","0.4","1.5","0.0","0.0","14.8"
"","low","5.1","61.7","0.3","0.1","0.1","0.0","0.1","8.6"
"Mike Evans","TB","4.9","70.1","0.5","0.0","0.0","0.0","0.0","10.3"
"","high","5.2","80.4","1.0","0.0","0.2","0.0","0.0","12.1"
"","low","4.5","61.0","0.4","0.0","0.0","0.0","0.0","8.8"
"D.J. Moore","CAR","5.7","75.0","0.4","0.3","2.5","0.0","0.1","10.2"
"","high","6.6","84.1","1.0","0.5","3.5","0.0","0.0","13.4"
"","low","5.0","65.0","0.2","0.1","0.6","0.0","0.1","8.5"
"JuJu Smith-Schuster","PIT","5.3","67.8","0.5","0.1","0.4","0.0","0.0","9.9"
"","high","6.0","86.0","1.0","0.3","1.7","0.0","0.0","14.6"
"","low","4.8","49.8","0.3","0.0","0.0","0.0","0.1","7.1"
"Keenan Allen","LAC","5.8","69.8","0.4","0.3","1.8","0.0","0.1","9.7"
"","high","7.0","78.0","1.0","0.3","2.1","0.0","0.0","13.8"
"","low","5.2","59.6","0.3","0.2","1.3","0.0","0.1","8.0"
"Diontae Johnson","PIT","5.4","64.0","0.6","0.2","1.5","0.0","0.1","9.7"
"","high","6.4","75.0","1.0","0.3","3.3","0.0","0.0","13.5"
"","low","4.8","54.4","0.4","0.0","0.2","0.0","0.3","8.6"
"Marquise Brown","BAL","4.7","64.0","0.5","0.4","2.7","0.0","0.0","9.7"
"","high","6.0","83.0","1.0","1.2","11.8","0.0","0.0","14.3"
"","low","3.7","53.0","0.3","0.0","0.0","0.0","0.1","7.8"
"Cooper Kupp","LAR","5.1","66.1","0.5","0.4","2.3","0.0","0.0","9.7"
"","high","5.8","79.0","1.0","0.5","3.2","0.0","0.0","14.5"
"","low","4.7","56.5","0.3","0.3","1.6","0.0","0.1","8.2"
"Odell Beckham Jr.","CLE","4.8","65.7","0.5","0.1","0.6","0.0","0.0","9.7"
"","high","6.0","77.5","1.0","0.3","1.6","0.0","0.0","13.5"
"","low","3.8","56.0","0.3","0.0","0.0","0.0","0.1","7.4"
"Kenny Golladay","DET","4.5","67.2","0.5","0.0","0.2","0.0","0.0","9.6"
"","high","6.0","75.0","1.0","0.1","0.4","0.0","0.0","12.7"
"","low","4.0","60.0","0.3","0.0","0.0","0.0","0.1","8.5"
"T.Y. Hilton","IND","4.8","66.9","0.5","0.0","0.0","0.0","0.0","9.5"
"","high","6.0","77.0","1.0","0.0","0.1","0.0","0.0","13.7"
"","low","4.0","59.9","0.3","0.0","0.0","0.0","0.0","8.1"
"Michael Gallup","DAL","4.2","67.1","0.4","0.0","0.1","0.0","0.0","9.3"
"","high","5.0","79.9","1.0","0.1","0.4","0.0","0.0","13.1"
"","low","2.6","43.0","0.2","0.0","0.0","0.0","0.0","6.0"
"Robert Woods","LAR","5.5","68.4","0.2","1.0","6.5","0.1","0.1","9.1"
"","high","6.2","81.4","0.4","1.2","7.7","0.1","0.0","10.8"
"","low","4.8","60.0","0.0","0.7","5.3","0.0","0.1","7.7"
"Marvin Jones Jr.","DET","4.4","59.0","0.5","0.1","0.2","0.0","0.0","9.0"
"","high","5.0","64.0","1.0","0.1","0.7","0.0","0.0","12.4"
"","low","3.9","52.4","0.3","0.0","-0.2","0.0","0.0","7.9"
"Darius Slayton","NYG","4.0","57.0","0.5","0.0","0.2","0.0","0.0","8.7"
"","high","5.0","76.0","1.0","0.2","1.3","0.0","0.0","13.6"
"","low","3.5","50.0","0.3","0.0","0.0","0.0","0.0","7.3"
"Keelan Cole","JAC","4.2","58.5","0.5","0.1","0.4","0.0","0.1","8.6"
"","high","5.0","65.0","1.0","0.1","0.9","0.0","0.0","12.5"
"","low","3.2","41.8","0.2","0.0","0.0","0.0","0.1","6.1"
"A.J. Green","CIN","4.4","60.6","0.4","0.0","0.0","0.0","0.0","8.5"
"","high","5.0","71.6","1.0","0.0","0.1","0.0","0.0","12.4"
"","low","3.4","40.0","0.2","0.0","0.0","0.0","0.1","5.3"
"Corey Davis","TEN","4.3","59.3","0.4","0.1","0.5","0.0","0.0","8.4"
"","high","5.0","67.8","1.0","0.2","1.5","0.0","0.0","12.3"
"","low","3.4","46.0","0.2","0.0","0.0","0.0","0.0","5.9"
"John Brown","BUF","4.0","56.3","0.4","0.1","0.4","0.0","0.0","8.3"
"","high","6.0","65.0","1.0","0.1","0.7","0.0","0.0","12.5"
"","low","3.0","45.0","0.3","0.0","0.0","0.0","0.0","6.0"
"Jarvis Landry","CLE","4.6","59.1","0.4","0.1","0.5","0.0","0.0","8.3"
"","high","5.9","70.7","1.0","0.1","1.1","0.0","0.0","12.6"
"","low","2.9","36.0","0.2","0.0","0.0","0.0","0.1","4.9"
"Tyler Boyd","CIN","4.8","57.2","0.4","0.1","0.8","0.0","0.0","8.2"
"","high","5.7","68.3","1.0","0.2","1.7","0.0","0.0","11.9"
"","low","2.8","26.0","0.2","0.0","0.0","0.0","0.1","3.6"
"DeSean Jackson","PHI","4.0","63.4","0.3","0.2","1.1","0.0","0.0","8.2"
"","high","4.9","71.3","0.4","0.3","1.5","0.1","0.0","9.9"
"","low","3.4","55.1","0.0","0.1","0.3","0.0","0.0","6.5"
"Marquez Valdes-Scantling","GB","3.9","59.1","0.4","0.1","0.7","0.0","0.0","8.1"
"","high","6.0","69.0","1.0","0.2","1.7","0.0","0.0","12.9"
"","low","3.0","49.0","0.1","0.0","0.0","0.0","0.0","6.0"
"Laviska Shenault Jr.","JAC","3.3","46.5","0.2","3.0","16.0","0.1","0.1","8.0"
"","high","4.5","62.2","0.4","4.8","30.3","0.1","0.0","10.7"
"","low","2.3","26.0","0.0","0.2","1.0","0.0","0.2","5.7"
"Robby Anderson","CAR","4.6","63.1","0.3","0.2","0.9","0.0","0.1","7.8"
"","high","5.7","71.7","0.4","0.4","2.0","0.0","0.0","9.6"
"","low","4.0","55.0","0.0","0.1","0.1","0.0","0.2","5.5"
"Brandin Cooks","HOU","4.1","54.3","0.3","0.4","2.3","0.0","0.0","7.6"
"","high","6.0","67.0","1.0","0.6","3.1","0.0","0.0","12.7"
"","low","3.1","41.8","0.1","0.2","1.1","0.0","0.0","5.1"
"Will Fuller V","HOU","4.4","61.3","0.2","0.1","0.7","0.0","0.0","7.5"
"","high","4.9","66.4","0.3","0.2","1.3","0.0","0.0","8.5"
"","low","4.0","52.0","0.0","0.0","0.0","0.0","0.0","6.5"
"Allen Lazard","GB","4.0","55.6","0.3","0.2","2.0","0.0","0.0","7.5"
"","high","4.5","61.1","0.4","0.3","3.2","0.0","0.0","8.8"
"","low","3.3","42.0","0.0","0.2","1.0","0.0","0.0","5.5"
"CeeDee Lamb","DAL","4.3","58.8","0.2","0.3","1.6","0.0","0.0","7.4"
"","high","5.9","69.6","0.4","0.4","2.2","0.0","0.0","8.4"
"","low","2.1","33.0","0.0","0.1","0.6","0.0","0.1","3.7"
"Russell Gage","ATL","5.4","58.0","0.2","0.1","0.8","0.0","0.1","7.1"
"","high","6.4","65.0","0.4","0.2","1.4","0.0","0.0","8.3"
"","low","4.7","45.8","0.0","0.0","0.0","0.0","0.1","6.1"
"N'Keal Harry","NE","4.3","53.8","0.3","0.2","1.7","0.0","0.1","7.1"
"","high","5.0","63.5","0.5","0.5","3.7","0.0","0.0","9.7"
"","low","3.0","47.0","0.0","0.0","0.0","0.0","0.2","4.7"
"Tre'Quan Smith","NO","3.5","48.6","0.3","0.0","0.1","0.0","0.0","6.9"
"","high","5.0","63.0","0.6","0.1","0.3","0.0","0.0","8.1"
"","low","2.4","34.7","0.0","0.0","0.0","0.0","0.0","4.8"
"Mike Williams","LAC","3.3","54.3","0.2","0.1","0.4","0.0","0.0","6.9"
"","high","3.7","66.0","0.4","0.2","0.8","0.0","0.0","8.0"
"","low","3.0","42.0","0.0","0.0","0.0","0.0","0.0","4.2"
"Curtis Samuel","CAR","3.5","39.1","0.1","2.0","13.9","0.1","0.0","6.7"
"","high","4.6","60.4","0.3","2.8","19.9","0.2","0.0","7.7"
"","low","2.7","30.0","0.0","0.1","0.4","0.0","0.1","5.0"
"Preston Williams","MIA","3.6","54.1","0.2","0.0","0.2","0.0","0.0","6.7"
"","high","4.4","60.2","0.3","0.2","0.9","0.0","0.0","7.8"
"","low","3.0","44.0","0.0","0.0","0.0","0.0","0.1","4.4"
"Emmanuel Sanders","NO","4.0","50.5","0.2","0.1","0.4","0.0","0.0","6.5"
"","high","6.0","66.0","0.4","0.2","1.1","0.0","0.0","7.4"
"","low","3.0","40.5","0.0","0.0","0.0","0.0","0.0","5.6"
"Larry Fitzgerald","ARI","4.6","51.1","0.2","0.0","0.0","0.0","0.0","6.5"
"","high","6.0","61.0","0.4","0.0","0.1","0.0","0.0","8.1"
"","low","3.0","43.1","0.0","0.0","0.0","0.0","0.1","4.6"
"Adam Humphries","TEN","4.4","50.2","0.2","0.1","0.3","0.0","0.0","6.4"
"","high","5.4","57.6","0.4","0.2","0.6","0.0","0.0","7.9"
"","low","3.0","44.1","0.0","0.0","0.0","0.0","0.1","4.6"
"Kendrick Bourne","SF","3.6","51.2","0.2","0.0","0.1","0.0","0.0","6.4"
"","high","4.6","69.0","0.4","0.1","0.3","0.0","0.0","8.7"
"","low","2.2","30.2","0.0","0.0","0.0","0.0","0.0","4.2"
"Golden Tate","NYG","4.6","50.9","0.2","0.2","0.9","0.0","0.0","6.3"
"","high","5.6","64.1","0.3","0.3","1.4","0.0","0.0","7.8"
"","low","3.3","34.0","0.0","0.1","0.4","0.0","0.1","4.6"
"Braxton Berrios","NYJ","4.0","51.0","0.2","0.1","0.5","0.0","0.0","6.2"
"","high","5.0","58.0","0.4","0.4","1.0","0.0","0.0","7.4"
"","low","2.9","39.9","0.0","0.0","0.0","0.0","0.2","5.3"
"Jerry Jeudy","DEN","4.0","52.6","0.2","0.1","0.5","0.0","0.0","6.2"
"","high","6.0","73.0","0.3","0.3","1.8","0.0","0.0","7.3"
"","low","1.4","14.0","0.0","0.0","0.0","0.0","0.1","1.7"
"Anthony Miller","CHI","3.7","47.1","0.2","0.1","0.5","0.0","0.0","6.0"
"","high","5.0","60.4","0.3","0.2","1.4","0.0","0.0","6.7"
"","low","2.7","35.8","0.0","0.0","0.0","0.0","0.1","5.2"
"Chris Conley","JAC","3.3","47.0","0.2","0.0","0.0","0.0","0.0","6.0"
"","high","4.0","53.3","0.4","0.0","0.1","0.0","0.0","7.1"
"","low","2.5","35.4","0.0","0.0","0.0","0.0","0.1","4.9"
"Hunter Renfrow","LV","3.9","48.1","0.2","0.2","0.7","0.0","0.0","6.0"
"","high","4.9","57.5","0.4","0.7","3.0","0.0","0.0","7.9"
"","low","3.0","36.9","0.0","0.0","0.0","0.0","0.1","4.1"
"Sammy Watkins","KC","3.4","46.4","0.2","0.2","1.2","0.0","0.0","5.9"
"","high","3.9","58.8","0.4","0.3","2.1","0.0","0.0","8.0"
"","low","2.7","33.7","0.0","0.0","0.0","0.0","0.0","3.7"
"Chris Hogan","NYJ","3.8","46.5","0.2","0.0","0.2","0.0","0.0","5.6"
"","high","4.8","59.0","0.3","0.1","0.8","0.0","0.0","7.3"
"","low","2.9","31.0","0.0","0.0","0.0","0.0","0.0","3.1"
"Brandon Aiyuk","SF","3.1","43.4","0.2","0.3","1.5","0.0","0.0","5.5"
"","high","5.0","59.2","0.3","0.8","3.0","0.0","0.0","7.3"
"","low","2.0","33.0","0.0","0.1","0.8","0.0","0.1","3.3"
"Andy Isabella","ARI","2.6","41.4","0.2","0.3","1.6","0.0","0.0","5.5"
"","high","3.8","77.0","0.5","0.8","4.6","0.0","0.0","10.6"
"","low","0.8","13.2","0.0","0.1","0.4","0.0","0.0","2.0"
"Danny Amendola","DET","4.0","45.7","0.2","0.0","0.1","0.0","0.0","5.4"
"","high","4.7","51.5","0.3","0.1","0.3","0.0","0.0","6.5"
"","low","2.0","35.0","0.0","0.0","0.0","0.0","0.1","3.5"
"Cole Beasley","BUF","3.8","44.3","0.2","0.0","0.0","0.0","0.0","5.4"
"","high","5.3","58.8","0.3","0.0","0.1","0.0","0.0","7.8"
"","low","3.0","35.0","0.0","0.0","0.0","0.0","0.0","3.5"
"Michael Pittman Jr.","IND","3.4","42.6","0.2","0.1","0.5","0.0","0.0","5.3"
"","high","5.1","65.0","0.3","0.2","1.5","0.0","0.0","6.5"
"","low","2.1","23.0","0.0","0.0","0.0","0.0","0.1","3.5"
