"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Michael Thomas","NO","8.9","100.3","0.8","0.2","0.7","0.0","0.1","14.5"
"","high","10.0","126.0","1.1","0.5","3.4","0.0","0.1","17.1"
"","low","6.4","76.0","0.3","0.0","-0.6","0.0","0.1","14.4"
"Mike Evans","TB","6.2","98.7","0.7","0.1","0.3","0.0","0.1","13.8"
"","high","7.3","130.0","1.0","0.2","1.0","0.0","0.0","18.1"
"","low","4.8","75.2","0.3","0.0","0.0","0.0","0.1","12.3"
"Tyreek Hill","KC","5.6","88.5","0.6","0.9","5.5","0.0","0.1","13.3"
"","high","6.1","96.0","1.0","1.4","11.3","0.1","0.0","16.2"
"","low","5.0","82.7","0.4","0.4","2.0","0.0","0.1","11.8"
"Chris Godwin","TB","6.0","84.1","0.6","0.1","0.9","0.0","0.1","12.2"
"","high","7.0","107.0","1.0","0.2","1.7","0.0","0.0","15.2"
"","low","4.7","68.1","0.4","0.0","0.3","0.0","0.1","10.7"
"Julio Jones","ATL","6.4","91.4","0.5","0.1","0.5","0.0","0.1","11.8"
"","high","7.0","107.0","1.0","0.2","1.0","0.0","0.0","16.7"
"","low","5.2","77.8","0.2","0.0","0.2","0.0","0.1","10.7"
"Cooper Kupp","LAR","6.4","80.8","0.6","0.2","1.3","0.0","0.1","11.6"
"","high","8.0","94.0","1.0","0.4","3.0","0.0","0.0","15.4"
"","low","4.7","64.2","0.4","0.1","0.5","0.0","0.1","10.7"
"Davante Adams","GB","6.4","78.9","0.6","0.0","0.0","0.0","0.1","11.3"
"","high","7.4","91.0","1.0","0.0","0.0","0.0","0.0","14.5"
"","low","4.9","60.2","0.4","0.0","0.0","0.0","0.1","10.8"
"Amari Cooper","DAL","5.5","78.0","0.6","0.1","0.7","0.0","0.1","11.2"
"","high","6.0","90.0","1.0","0.3","2.0","0.0","0.0","14.5"
"","low","4.8","67.9","0.3","0.0","0.0","0.0","0.1","9.8"
"Stefon Diggs","MIN","5.7","80.4","0.5","0.4","2.4","0.0","0.1","11.2"
"","high","7.0","96.0","1.0","0.4","3.0","0.0","0.0","16.3"
"","low","5.0","63.7","0.2","0.3","1.8","0.0","0.2","10.4"
"Keenan Allen","LAC","6.2","79.0","0.5","0.2","1.4","0.0","0.1","11.1"
"","high","8.0","93.0","1.0","0.4","3.0","0.0","0.0","15.3"
"","low","5.5","68.9","0.2","0.0","0.1","0.0","0.1","10.6"
"Kenny Golladay","DET","5.0","81.1","0.5","0.0","0.4","0.0","0.0","10.9"
"","high","7.0","106.0","1.0","0.1","1.0","0.0","0.0","16.6"
"","low","4.3","64.3","0.2","0.0","0.0","0.0","0.1","8.5"
"Tyler Lockett","SEA","5.3","70.2","0.5","0.4","2.2","0.0","0.0","10.4"
"","high","6.3","82.6","1.0","0.6","4.1","0.0","0.0","14.6"
"","low","4.2","57.0","0.4","0.1","0.7","0.0","0.1","8.7"
"Allen Robinson","CHI","5.1","67.9","0.5","0.0","0.1","0.0","0.1","9.7"
"","high","6.1","76.6","1.0","0.0","0.2","0.0","0.0","13.4"
"","low","4.3","55.9","0.3","0.0","0.0","0.0","0.1","7.8"
"Odell Beckham Jr.","CLE","4.9","66.4","0.5","0.4","2.3","0.0","0.0","9.5"
"","high","5.1","68.3","1.0","0.7","4.3","0.0","0.0","12.8"
"","low","4.8","62.0","0.2","0.1","0.6","0.0","0.1","8.7"
"D.J. Moore","CAR","5.0","68.2","0.4","0.4","4.7","0.0","0.1","9.5"
"","high","6.0","74.0","1.0","0.6","8.3","0.0","0.1","13.4"
"","low","4.3","58.3","0.0","0.1","0.8","0.0","0.2","8.1"
"Golden Tate","NYG","5.8","67.1","0.4","0.4","3.1","0.0","0.1","9.4"
"","high","7.0","84.0","1.0","1.1","8.0","0.0","0.0","14.4"
"","low","5.1","53.8","0.1","0.0","0.0","0.0","0.1","9.0"
"John Brown","BUF","4.3","64.6","0.5","0.2","0.6","0.0","0.0","9.4"
"","high","5.0","74.0","1.0","0.3","1.0","0.0","0.0","13.4"
"","low","3.7","54.9","0.3","0.0","0.1","0.0","0.0","7.3"
"Christian Kirk","ARI","5.3","63.3","0.4","0.6","4.7","0.0","0.1","9.3"
"","high","6.6","72.0","1.0","0.8","5.6","0.0","0.0","12.8"
"","low","4.8","54.2","0.0","0.4","3.4","0.0","0.1","7.2"
"JuJu Smith-Schuster","PIT","4.8","63.8","0.5","0.1","0.9","0.0","0.0","9.1"
"","high","6.0","77.0","1.0","0.5","3.0","0.0","0.0","13.7"
"","low","4.1","55.8","0.3","0.0","0.0","0.0","0.1","7.9"
"Emmanuel Sanders","SF","4.8","59.9","0.5","0.1","1.0","0.0","0.0","9.0"
"","high","6.0","76.0","1.0","0.3","2.0","0.0","0.0","13.6"
"","low","4.2","48.0","0.1","0.0","0.0","0.0","0.0","7.4"
"Michael Gallup","DAL","4.3","61.8","0.5","0.0","0.0","0.0","0.0","9.0"
"","high","5.0","71.0","1.0","0.0","0.0","0.0","0.0","12.9"
"","low","3.3","50.3","0.3","0.0","0.0","0.0","0.0","6.9"
"Tyrell Williams","OAK","4.4","60.5","0.5","0.0","0.1","0.0","0.0","9.0"
"","high","7.0","86.0","1.0","0.0","0.3","0.0","0.0","14.6"
"","low","3.3","47.0","0.2","0.0","0.0","0.0","0.0","7.1"
"Marvin Jones","DET","4.5","60.4","0.5","0.1","0.2","0.0","0.0","8.8"
"","high","5.0","73.0","1.0","0.1","0.6","0.0","0.0","12.6"
"","low","3.9","49.3","0.2","0.0","0.0","0.0","0.0","6.8"
