"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"DeAndre Hopkins","HOU","7.6","95.1","0.7","0.0","-0.1","0.0","0.1","13.7"
"Davante Adams","GB","7.2","87.5","0.8","0.0","0.0","0.0","0.1","13.3"
"Odell Beckham Jr.","CLE","6.5","88.6","0.7","0.3","1.6","0.0","0.1","13.0"
"Julio Jones","ATL","7.1","97.5","0.5","0.1","0.7","0.0","0.1","12.6"
"Michael Thomas","NO","7.6","85.5","0.7","0.0","0.0","0.0","0.1","12.4"
"JuJu Smith-Schuster","PIT","6.5","90.4","0.6","0.1","0.6","0.0","0.1","12.3"
"Mike Evans","TB","6.0","89.1","0.6","0.0","0.0","0.0","0.1","12.3"
"Tyler Lockett","SEA","5.3","75.8","0.7","0.8","4.9","0.0","0.1","12.3"
"Amari Cooper","DAL","5.2","77.4","0.7","0.2","1.0","0.0","0.1","11.7"
"Adam Thielen","MIN","6.4","78.8","0.6","0.3","2.2","0.0","0.1","11.4"
"Keenan Allen","LAC","6.6","78.6","0.5","0.3","2.5","0.0","0.1","11.0"
"Julian Edelman","NE","6.1","73.2","0.5","0.6","5.0","0.0","0.1","10.8"
"Brandin Cooks","LAR","5.0","76.2","0.5","0.5","3.2","0.0","0.1","10.7"
"Tyler Boyd","CIN","6.0","74.2","0.5","0.1","0.9","0.0","0.1","10.4"
"Cooper Kupp","LAR","4.4","62.9","0.6","0.3","2.0","0.0","0.1","10.1"
"Kenny Golladay","DET","5.0","71.9","0.5","0.1","0.6","0.0","0.1","10.0"
"D.J. Moore","CAR","5.0","67.8","0.4","1.0","11.4","0.0","0.2","10.0"
"Stefon Diggs","MIN","5.6","61.4","0.6","0.5","3.1","0.0","0.1","9.9"
"Mike Williams","LAC","3.6","48.9","0.7","0.4","2.1","0.0","0.0","9.5"
"Dede Westbrook","JAC","5.2","60.1","0.5","0.5","4.9","0.0","0.1","9.4"
"Robert Woods","LAR","5.0","72.4","0.3","0.7","5.5","0.0","0.1","9.2"
"Josh Gordon","NE","4.0","64.1","0.5","0.0","0.0","0.0","0.0","9.2"
"Chris Godwin","TB","5.3","68.6","0.4","0.0","0.0","0.0","0.1","9.0"
"Allen Robinson","CHI","4.4","62.5","0.5","0.0","0.2","0.0","0.1","9.0"
"Alshon Jeffery","PHI","4.4","55.7","0.5","0.0","0.0","0.0","0.0","8.6"
"Curtis Samuel","CAR","4.0","47.6","0.4","0.7","7.2","0.1","0.1","8.4"
"Robby Anderson","NYJ","3.8","54.2","0.5","0.2","0.9","0.0","0.1","8.4"
"Courtland Sutton","DEN","3.5","56.5","0.4","0.1","0.0","0.0","0.0","8.1"
