QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," ",1. Locate the player you want to select in the list below," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ","2. Copy the ID of your player (you can use the ""ID + Name"" column or the ""ID"" column)"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ",3. Paste the ID into the roster position desired," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ",4. You can create up to 15 lineups," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.6405$nfl.g.2239219,Jason,Witten,nfl.p.6405$nfl.g.2239219 - Jason Witten,TE,LV,NE,LV@NE,1:00PM EDT,10,0.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26416$nfl.g.2239219,Derek,Carrier,nfl.p.26416$nfl.g.2239219 - Derek Carrier,TE,LV,NE,LV@NE,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27564$nfl.g.2239219,Derek,Carr,nfl.p.27564$nfl.g.2239219 - Derek Carr,QB,LV,NE,LV@NE,1:00PM EDT,20,17.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28408$nfl.g.2239219,Nelson,Agholor,nfl.p.28408$nfl.g.2239219 - Nelson Agholor,WR,LV,NE,LV@NE,1:00PM EDT,10,5.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28592$nfl.g.2239219,Darren,Waller,nfl.p.28592$nfl.g.2239219 - Darren Waller,TE,LV,NE,LV@NE,1:00PM EDT,18,15.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29370$nfl.g.2239219,Devontae,Booker,nfl.p.29370$nfl.g.2239219 - Devontae Booker,RB,LV,NE,LV@NE,1:00PM EDT,10,3.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30000$nfl.g.2239219,Jalen,Richard,nfl.p.30000$nfl.g.2239219 - Jalen Richard,RB,LV,NE,LV@NE,1:00PM EDT,10,5.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30150$nfl.g.2239219,Zay,Jones,nfl.p.30150$nfl.g.2239219 - Zay Jones,WR,LV,NE,LV@NE,1:00PM EDT,10,8.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30284$nfl.g.2239219,Nathan,Peterman,nfl.p.30284$nfl.g.2239219 - Nathan Peterman,QB,LV,NE,LV@NE,1:00PM EDT,20,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31607$nfl.g.2239219,Rico,Gafford,nfl.p.31607$nfl.g.2239219 - Rico Gafford,WR,LV,NE,LV@NE,1:00PM EDT,10,4.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31856$nfl.g.2239219,Josh,Jacobs,nfl.p.31856$nfl.g.2239219 - Josh Jacobs,RB,LV,NE,LV@NE,1:00PM EDT,30,23.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31969$nfl.g.2239219,Foster,Moreau,nfl.p.31969$nfl.g.2239219 - Foster Moreau,TE,LV,NE,LV@NE,1:00PM EDT,10,3.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31981$nfl.g.2239219,Hunter,Renfrow,nfl.p.31981$nfl.g.2239219 - Hunter Renfrow,WR,LV,NE,LV@NE,1:00PM EDT,13,4.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32344$nfl.g.2239219,Alec,Ingold,nfl.p.32344$nfl.g.2239219 - Alec Ingold,RB,LV,NE,LV@NE,1:00PM EDT,10,3.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32682$nfl.g.2239219,Henry,Ruggs III,nfl.p.32682$nfl.g.2239219 - Henry Ruggs III,WR,LV,NE,LV@NE,1:00PM EDT,15,4.5,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32751$nfl.g.2239219,Bryan,Edwards,nfl.p.32751$nfl.g.2239219 - Bryan Edwards,WR,LV,NE,LV@NE,1:00PM EDT,10,3.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.6791$nfl.g.2239219,Ben,Watson,nfl.p.6791$nfl.g.2239219 - Ben Watson,TE,NE,LV,LV@NE,1:00PM EDT,10,3.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.8930$nfl.g.2239219,Matthew,Slater,nfl.p.8930$nfl.g.2239219 - Matthew Slater,WR,NE,LV,LV@NE,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.9496$nfl.g.2239219,Julian,Edelman,nfl.p.9496$nfl.g.2239219 - Julian Edelman,WR,NE,LV,LV@NE,1:00PM EDT,19,16.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.9547$nfl.g.2239219,Brian,Hoyer,nfl.p.9547$nfl.g.2239219 - Brian Hoyer,QB,NE,LV,LV@NE,1:00PM EDT,20,6.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24760$nfl.g.2239219,James,Develin,nfl.p.24760$nfl.g.2239219 - James Develin,RB,NE,LV,LV@NE,1:00PM EDT,10,0.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26813$nfl.g.2239219,Rex,Burkhead,nfl.p.26813$nfl.g.2239219 - Rex Burkhead,RB,NE,LV,LV@NE,1:00PM EDT,13,5.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27658$nfl.g.2239219,James,White,nfl.p.27658$nfl.g.2239219 - James White,RB,NE,LV,LV@NE,1:00PM EDT,16,6.7,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28730$nfl.g.2239219,Damiere,Byrd,nfl.p.28730$nfl.g.2239219 - Damiere Byrd,WR,NE,LV,LV@NE,1:00PM EDT,12,5.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29327$nfl.g.2239219,Cody,Kessler,nfl.p.29327$nfl.g.2239219 - Cody Kessler,QB,NE,LV,LV@NE,1:00PM EDT,20,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31001$nfl.g.2239219,Sony,Michel,nfl.p.31001$nfl.g.2239219 - Sony Michel,RB,NE,LV,LV@NE,1:00PM EDT,15,5.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31220$nfl.g.2239219,Ryan,Izzo,nfl.p.31220$nfl.g.2239219 - Ryan Izzo,TE,NE,LV,LV@NE,1:00PM EDT,10,3.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31826$nfl.g.2239219,Jakob,Johnson,nfl.p.31826$nfl.g.2239219 - Jakob Johnson,RB,NE,LV,LV@NE,1:00PM EDT,10,6.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31864$nfl.g.2239219,N'Keal,Harry,nfl.p.31864$nfl.g.2239219 - N'Keal Harry,WR,NE,LV,LV@NE,1:00PM EDT,16,7.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31965$nfl.g.2239219,Jarrett,Stidham,nfl.p.31965$nfl.g.2239219 - Jarrett Stidham,QB,NE,LV,LV@NE,1:00PM EDT,20,-0.2,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32231$nfl.g.2239219,Jakobi,Meyers,nfl.p.32231$nfl.g.2239219 - Jakobi Meyers,WR,NE,LV,LV@NE,1:00PM EDT,10,1.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32761$nfl.g.2239219,Devin,Asiasi,nfl.p.32761$nfl.g.2239219 - Devin Asiasi,TE,NE,LV,LV@NE,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32771$nfl.g.2239219,Dalton,Keene,nfl.p.32771$nfl.g.2239219 - Dalton Keene,TE,NE,LV,LV@NE,1:00PM EDT,10,0.0,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.13$nfl.g.2239219,Las Vegas,Raiders,nfl.t.13$nfl.g.2239219 - Las Vegas Raiders,DEF,LV,NE,LV@NE,1:00PM EDT,10,1.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.17$nfl.g.2239219,New England,Patriots,nfl.t.17$nfl.g.2239219 - New England Patriots,DEF,NE,LV,LV@NE,1:00PM EDT,16,8.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24788$nfl.g.2239219,Cam,Newton,nfl.p.24788$nfl.g.2239219 - Cam Newton,QB,NE,LV,LV@NE,1:00PM EDT,32,30.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.33028$nfl.g.2239219,J.J.,Taylor,nfl.p.33028$nfl.g.2239219 - J.J. Taylor,RB,NE,LV,LV@NE,1:00PM EDT,10,1.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28691$nfl.g.2239219,Tyrell,Williams,nfl.p.28691$nfl.g.2239219 - Tyrell Williams,WR,LV,NE,LV@NE,1:00PM EDT,10,9.4,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31919$nfl.g.2239219,Damien,Harris,nfl.p.31919$nfl.g.2239219 - Damien Harris,RB,NE,LV,LV@NE,1:00PM EDT,10,1.2,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30512$nfl.g.2239219,Quincy,Adeboyejo,nfl.p.30512$nfl.g.2239219 - Quincy Adeboyejo,WR,NE,LV,LV@NE,1:00PM EDT,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.8263$nfl.g.2239266,Ted,Ginn Jr.,nfl.p.8263$nfl.g.2239266 - Ted Ginn Jr.,WR,CHI,ATL,CHI@ATL,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24070$nfl.g.2239266,Jimmy,Graham,nfl.p.24070$nfl.g.2239266 - Jimmy Graham,TE,CHI,ATL,CHI@ATL,1:00PM EDT,13,6.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25370$nfl.g.2239266,Patrick,Scales,nfl.p.25370$nfl.g.2239266 - Patrick Scales,TE,CHI,ATL,CHI@ATL,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25798$nfl.g.2239266,Nick,Foles,nfl.p.25798$nfl.g.2239266 - Nick Foles,QB,CHI,ATL,CHI@ATL,1:00PM EDT,20,9.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26652$nfl.g.2239266,Cordarrelle,Patterson,nfl.p.26652$nfl.g.2239266 - Cordarrelle Patterson,RB,CHI,ATL,CHI@ATL,1:00PM EDT,11,4.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27174$nfl.g.2239266,Demetrius,Harris,nfl.p.27174$nfl.g.2239266 - Demetrius Harris,TE,CHI,ATL,CHI@ATL,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27589$nfl.g.2239266,Allen,Robinson II,nfl.p.27589$nfl.g.2239266 - Allen Robinson II,WR,CHI,ATL,CHI@ATL,1:00PM EDT,24,7.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28234$nfl.g.2239266,Taylor,Gabriel,nfl.p.28234$nfl.g.2239266 - Taylor Gabriel,WR,CHI,ATL,CHI@ATL,1:00PM EDT,10,8.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29666$nfl.g.2239266,J.P.,Holtz,nfl.p.29666$nfl.g.2239266 - J.P. Holtz,TE,CHI,ATL,CHI@ATL,1:00PM EDT,10,1.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30115$nfl.g.2239266,Mitchell,Trubisky,nfl.p.30115$nfl.g.2239266 - Mitchell Trubisky,QB,CHI,ATL,CHI@ATL,1:00PM EDT,26,19.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30232$nfl.g.2239266,Tarik,Cohen,nfl.p.30232$nfl.g.2239266 - Tarik Cohen,RB,CHI,ATL,CHI@ATL,1:00PM EDT,13,4.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31021$nfl.g.2239266,Anthony,Miller,nfl.p.31021$nfl.g.2239266 - Anthony Miller,WR,CHI,ATL,CHI@ATL,1:00PM EDT,19,7.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31194$nfl.g.2239266,Javon,Wims,nfl.p.31194$nfl.g.2239266 - Javon Wims,WR,CHI,ATL,CHI@ATL,1:00PM EDT,10,4.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31662$nfl.g.2239266,Ryan,Nall,nfl.p.31662$nfl.g.2239266 - Ryan Nall,RB,CHI,ATL,CHI@ATL,1:00PM EDT,10,0.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31905$nfl.g.2239266,David,Montgomery,nfl.p.31905$nfl.g.2239266 - David Montgomery,RB,CHI,ATL,CHI@ATL,1:00PM EDT,18,14.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31958$nfl.g.2239266,Riley,Ridley,nfl.p.31958$nfl.g.2239266 - Riley Ridley,WR,CHI,ATL,CHI@ATL,1:00PM EDT,10,3.3,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32713$nfl.g.2239266,Cole,Kmet,nfl.p.32713$nfl.g.2239266 - Cole Kmet,TE,CHI,ATL,CHI@ATL,1:00PM EDT,10,0.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32843$nfl.g.2239266,Darnell,Mooney,nfl.p.32843$nfl.g.2239266 - Darnell Mooney,WR,CHI,ATL,CHI@ATL,1:00PM EDT,12,8.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.6849$nfl.g.2239266,Matt,Schaub,nfl.p.6849$nfl.g.2239266 - Matt Schaub,QB,ATL,CHI,CHI@ATL,1:00PM EDT,20,6.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.8780$nfl.g.2239266,Matt,Ryan,nfl.p.8780$nfl.g.2239266 - Matt Ryan,QB,ATL,CHI,CHI@ATL,1:00PM EDT,32,26.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24793$nfl.g.2239266,Julio,Jones,nfl.p.24793$nfl.g.2239266 - Julio Jones,WR,ATL,CHI,CHI@ATL,1:00PM EDT,30,11.8,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24891$nfl.g.2239266,Luke,Stocker,nfl.p.24891$nfl.g.2239266 - Luke Stocker,TE,ATL,CHI,CHI@ATL,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28141$nfl.g.2239266,Keith,Smith,nfl.p.28141$nfl.g.2239266 - Keith Smith,RB,ATL,CHI,CHI@ATL,1:00PM EDT,10,0.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28398$nfl.g.2239266,Todd,Gurley II,nfl.p.28398$nfl.g.2239266 - Todd Gurley II,RB,ATL,CHI,CHI@ATL,1:00PM EDT,21,9.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30269$nfl.g.2239266,Brian,Hill,nfl.p.30269$nfl.g.2239266 - Brian Hill,RB,ATL,CHI,CHI@ATL,1:00PM EDT,10,3.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30995$nfl.g.2239266,Hayden,Hurst,nfl.p.30995$nfl.g.2239266 - Hayden Hurst,TE,ATL,CHI,CHI@ATL,1:00PM EDT,18,10.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30996$nfl.g.2239266,Calvin,Ridley,nfl.p.30996$nfl.g.2239266 - Calvin Ridley,WR,ATL,CHI,CHI@ATL,1:00PM EDT,29,27.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31096$nfl.g.2239266,Ito,Smith,nfl.p.31096$nfl.g.2239266 - Ito Smith,RB,ATL,CHI,CHI@ATL,1:00PM EDT,10,2.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31164$nfl.g.2239266,Russell,Gage,nfl.p.31164$nfl.g.2239266 - Russell Gage,WR,ATL,CHI,CHI@ATL,1:00PM EDT,16,14.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31347$nfl.g.2239266,Christian,Blake,nfl.p.31347$nfl.g.2239266 - Christian Blake,WR,ATL,CHI,CHI@ATL,1:00PM EDT,10,2.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31641$nfl.g.2239266,Brandon,Powell,nfl.p.31641$nfl.g.2239266 - Brandon Powell,WR,ATL,CHI,CHI@ATL,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31749$nfl.g.2239266,Jaeden,Graham,nfl.p.31749$nfl.g.2239266 - Jaeden Graham,TE,ATL,CHI,CHI@ATL,1:00PM EDT,10,2.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31984$nfl.g.2239266,Qadree,Ollison,nfl.p.31984$nfl.g.2239266 - Qadree Ollison,RB,ATL,CHI,CHI@ATL,1:00PM EDT,10,5.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32123$nfl.g.2239266,Olamide,Zaccheaus,nfl.p.32123$nfl.g.2239266 - Olamide Zaccheaus,WR,ATL,CHI,CHI@ATL,1:00PM EDT,10,0.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.3$nfl.g.2239266,Chicago,Bears,nfl.t.3$nfl.g.2239266 - Chicago Bears,DEF,CHI,ATL,CHI@ATL,1:00PM EDT,11,7.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.1$nfl.g.2239266,Atlanta,Falcons,nfl.t.1$nfl.g.2239266 - Atlanta Falcons,DEF,ATL,CHI,CHI@ATL,1:00PM EDT,10,1.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.8497$nfl.g.2239279,Clark,Harris,nfl.p.8497$nfl.g.2239279 - Clark Harris,TE,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24791$nfl.g.2239279,A.J.,Green,nfl.p.24791$nfl.g.2239279 - A.J. Green,WR,CIN,PHI,CIN@PHI,1:00PM EDT,16,6.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26660$nfl.g.2239279,Giovani,Bernard,nfl.p.26660$nfl.g.2239279 - Giovani Bernard,RB,CIN,PHI,CIN@PHI,1:00PM EDT,11,4.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28545$nfl.g.2239279,C.J.,Uzomah,nfl.p.28545$nfl.g.2239279 - C.J. Uzomah,TE,CIN,PHI,CIN@PHI,1:00PM EDT,10,9.4,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29288$nfl.g.2239279,Tyler,Boyd,nfl.p.29288$nfl.g.2239279 - Tyler Boyd,WR,CIN,PHI,CIN@PHI,1:00PM EDT,17,11.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29440$nfl.g.2239279,Mike,Thomas,nfl.p.29440$nfl.g.2239279 - Mike Thomas,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,6.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29703$nfl.g.2239279,Alex,Erickson,nfl.p.29703$nfl.g.2239279 - Alex Erickson,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30122$nfl.g.2239279,John,Ross III,nfl.p.30122$nfl.g.2239279 - John Ross III,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,1.4,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30161$nfl.g.2239279,Joe,Mixon,nfl.p.30161$nfl.g.2239279 - Joe Mixon,RB,CIN,PHI,CIN@PHI,1:00PM EDT,22,8.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30227$nfl.g.2239279,Samaje,Perine,nfl.p.30227$nfl.g.2239279 - Samaje Perine,RB,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30577$nfl.g.2239279,Cethan,Carter,nfl.p.30577$nfl.g.2239279 - Cethan Carter,TE,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31223$nfl.g.2239279,Auden,Tate,nfl.p.31223$nfl.g.2239279 - Auden Tate,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,6.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31557$nfl.g.2239279,Devonte,Boyd,nfl.p.31557$nfl.g.2239279 - Devonte Boyd,WR,CIN,PHI,CIN@PHI,1:00PM EDT,10,0.0," "," "
