QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF, ,Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.31002$nfl.g.2142114,nfl.p.30121$nfl.g.2142094,nfl.p.30154$nfl.g.2142120,nfl.p.28402$nfl.g.2142105,nfl.p.31017$nfl.g.2142140,nfl.p.31868$nfl.g.2142140,nfl.p.28592$nfl.g.2142145,nfl.p.31019$nfl.g.2142163,nfl.t.28$nfl.g.2142127, ,1. Locate the player you want to select in the list below, , , , , , , , , , , , , 
nfl.p.29235$nfl.g.2142174,nfl.p.30154$nfl.g.2142120,nfl.p.26671$nfl.g.2142127,nfl.p.28534$nfl.g.2142120,nfl.p.31908$nfl.g.2142127,nfl.p.28691$nfl.g.2142145,nfl.p.9353$nfl.g.2142131,nfl.p.28592$nfl.g.2142145,nfl.t.2$nfl.g.2142105, ,"2. Copy the ID of your player (you can use the ""ID + Name"" column or the ""ID"" column)", , , , , , , , , , , , , 
nfl.p.28389$nfl.g.2142131,nfl.p.30154$nfl.g.2142120,nfl.p.31856$nfl.g.2142145,nfl.p.28392$nfl.g.2142062,nfl.p.30502$nfl.g.2142098,nfl.p.30182$nfl.g.2142174,nfl.p.24891$nfl.g.2142094,nfl.p.28473$nfl.g.2142105,nfl.t.6$nfl.g.2142062, ,3. Paste the ID into the roster position desired, , , , , , , , , , , , , 
nfl.p.29235$nfl.g.2142174,nfl.p.30269$nfl.g.2142094,nfl.p.30154$nfl.g.2142120,nfl.p.31010$nfl.g.2142120,nfl.p.29281$nfl.g.2142131,nfl.p.31868$nfl.g.2142140,nfl.p.26612$nfl.g.2142114,nfl.p.28592$nfl.g.2142145,nfl.t.6$nfl.g.2142062, ,4. You can create up to 10 lineups, , , , , , , , , , , , , 
nfl.p.30125$nfl.g.2142114,nfl.p.30154$nfl.g.2142120,nfl.p.8261$nfl.g.2142127,nfl.p.24793$nfl.g.2142094,nfl.p.31017$nfl.g.2142140,nfl.p.28417$nfl.g.2142163,nfl.p.26612$nfl.g.2142114,nfl.p.31056$nfl.g.2142114,nfl.t.18$nfl.g.2142131, , , , , , , , , , , , , , , 
nfl.p.31002$nfl.g.2142114,nfl.p.30269$nfl.g.2142094,nfl.p.30117$nfl.g.2142098,nfl.p.30994$nfl.g.2142094,nfl.p.26650$nfl.g.2142114,nfl.p.26664$nfl.g.2142174,nfl.p.31056$nfl.g.2142114,nfl.p.9353$nfl.g.2142131,nfl.t.16$nfl.g.2142120, ,,nfl.p.6405$nfl.g.2142062,Jason,Witten,nfl.p.6405$nfl.g.2142062 - Jason Witten,TE,DAL,DET,DAL@DET,1:00PM EST,13,6.9,, 
nfl.p.30977$nfl.g.2142105,nfl.p.30256$nfl.g.2142098,nfl.p.31856$nfl.g.2142145,nfl.p.24793$nfl.g.2142094,nfl.p.26650$nfl.g.2142114,nfl.p.24057$nfl.g.2142140,nfl.p.31068$nfl.g.2142114,nfl.p.26253$nfl.g.2142140,nfl.t.2$nfl.g.2142105, ,,nfl.p.24851$nfl.g.2142062,Randall,Cobb,nfl.p.24851$nfl.g.2142062 - Randall Cobb,WR,DAL,DET,DAL@DET,1:00PM EST,14,8.1, , 
nfl.p.30977$nfl.g.2142105,nfl.p.30154$nfl.g.2142120,nfl.p.30552$nfl.g.2142140,nfl.p.26650$nfl.g.2142114,nfl.p.29785$nfl.g.2142127,nfl.p.27535$nfl.g.2142131,nfl.p.8285$nfl.g.2142094,nfl.p.31012$nfl.g.2142105,nfl.t.14$nfl.g.2142174, ,,nfl.p.26535$nfl.g.2142062,Jamize,Olawale,nfl.p.26535$nfl.g.2142062 - Jamize Olawale,RB,DAL,DET,DAL@DET,1:00PM EST,10,0, , 
nfl.p.27564$nfl.g.2142145,nfl.p.30117$nfl.g.2142098,nfl.p.30256$nfl.g.2142098,nfl.p.26650$nfl.g.2142114,nfl.p.29785$nfl.g.2142127,nfl.p.29281$nfl.g.2142131,nfl.p.31068$nfl.g.2142114,nfl.p.28592$nfl.g.2142145,nfl.t.16$nfl.g.2142120, ,,nfl.p.26631$nfl.g.2142062,Tavon,Austin,nfl.p.26631$nfl.g.2142062 - Tavon Austin,WR,DAL,DET,DAL@DET,1:00PM EST,10,3.3, , 
nfl.p.5479$nfl.g.2142131,nfl.p.29238$nfl.g.2142062,nfl.p.30269$nfl.g.2142094,nfl.p.31031$nfl.g.2142098,nfl.p.26650$nfl.g.2142114,nfl.p.29785$nfl.g.2142127,nfl.p.9353$nfl.g.2142131,nfl.p.28592$nfl.g.2142145,nfl.t.14$nfl.g.2142174, ,,nfl.p.28392$nfl.g.2142062,Amari,Cooper,nfl.p.28392$nfl.g.2142062 - Amari Cooper,WR,DAL,DET,DAL@DET,1:00PM EST,29,17, , 
