QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," ",1. Locate the player you want to select in the list below," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ","2. Copy the ID of your player (you can use the ""ID + Name"" column or the ""ID"" column)"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ",3. Paste the ID into the roster position desired," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ",4. You can create up to 10 lineups," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28279$nfl.g.2142200,Diontae,Spencer,nfl.p.28279$nfl.g.2142200 - Diontae Spencer,WR,DEN,BUF,DEN@BUF,1:00PM EST,10,0.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28480$nfl.g.2142200,Jeff,Heuerman,nfl.p.28480$nfl.g.2142200 - Jeff Heuerman,TE,DEN,BUF,DEN@BUF,1:00PM EST,10,3.0,Q," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29370$nfl.g.2142200,Devontae,Booker,nfl.p.29370$nfl.g.2142200 - Devontae Booker,RB,DEN,BUF,DEN@BUF,1:00PM EST,10,0.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29410$nfl.g.2142200,Andy,Janovich,nfl.p.29410$nfl.g.2142200 - Andy Janovich,RB,DEN,BUF,DEN@BUF,1:00PM EST,10,2.6,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29435$nfl.g.2142200,Brandon,Allen,nfl.p.29435$nfl.g.2142200 - Brandon Allen,QB,DEN,BUF,DEN@BUF,1:00PM EST,22,15.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30901$nfl.g.2142200,Fred,Brown,nfl.p.30901$nfl.g.2142200 - Fred Brown,WR,DEN,BUF,DEN@BUF,1:00PM EST,10,0.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31010$nfl.g.2142200,Courtland,Sutton,nfl.p.31010$nfl.g.2142200 - Courtland Sutton,WR,DEN,BUF,DEN@BUF,1:00PM EST,20,13.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31041$nfl.g.2142200,Royce,Freeman,nfl.p.31041$nfl.g.2142200 - Royce Freeman,RB,DEN,BUF,DEN@BUF,1:00PM EST,15,8.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31083$nfl.g.2142200,DaeSean,Hamilton,nfl.p.31083$nfl.g.2142200 - DaeSean Hamilton,WR,DEN,BUF,DEN@BUF,1:00PM EST,10,2.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31126$nfl.g.2142200,Troy,Fumagalli,nfl.p.31126$nfl.g.2142200 - Troy Fumagalli,TE,DEN,BUF,DEN@BUF,1:00PM EST,10,3.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31379$nfl.g.2142200,Phillip,Lindsay,nfl.p.31379$nfl.g.2142200 - Phillip Lindsay,RB,DEN,BUF,DEN@BUF,1:00PM EST,19,12.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31852$nfl.g.2142200,Noah,Fant,nfl.p.31852$nfl.g.2142200 - Noah Fant,TE,DEN,BUF,DEN@BUF,1:00PM EST,11,5.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32019$nfl.g.2142200,Juwann,Winfree,nfl.p.32019$nfl.g.2142200 - Juwann Winfree,WR,DEN,BUF,DEN@BUF,1:00PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32221$nfl.g.2142200,Brett,Rypien,nfl.p.32221$nfl.g.2142200 - Brett Rypien,QB,DEN,BUF,DEN@BUF,1:00PM EST,20,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32225$nfl.g.2142200,Andrew,Beck,nfl.p.32225$nfl.g.2142200 - Andrew Beck,TE,DEN,BUF,DEN@BUF,1:00PM EST,10,0.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.7241$nfl.g.2142200,Frank,Gore,nfl.p.7241$nfl.g.2142200 - Frank Gore,RB,BUF,DEN,DEN@BUF,1:00PM EST,12,7.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24063$nfl.g.2142200,Andre,Roberts,nfl.p.24063$nfl.g.2142200 - Andre Roberts,WR,BUF,DEN,DEN@BUF,1:00PM EST,10,0.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24946$nfl.g.2142200,Lee,Smith,nfl.p.24946$nfl.g.2142200 - Lee Smith,TE,BUF,DEN,DEN@BUF,1:00PM EST,10,1.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25158$nfl.g.2142200,Patrick,DiMarco,nfl.p.25158$nfl.g.2142200 - Patrick DiMarco,RB,BUF,DEN,DEN@BUF,1:00PM EST,10,1.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26060$nfl.g.2142200,Cole,Beasley,nfl.p.26060$nfl.g.2142200 - Cole Beasley,WR,BUF,DEN,DEN@BUF,1:00PM EST,13,8.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26721$nfl.g.2142200,Matt,Barkley,nfl.p.26721$nfl.g.2142200 - Matt Barkley,QB,BUF,DEN,DEN@BUF,1:00PM EST,20,4.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27619$nfl.g.2142200,John,Brown,nfl.p.27619$nfl.g.2142200 - John Brown,WR,BUF,DEN,DEN@BUF,1:00PM EST,19,13.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28223$nfl.g.2142200,Senorise,Perry,nfl.p.28223$nfl.g.2142200 - Senorise Perry,RB,BUF,DEN,DEN@BUF,1:00PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28424$nfl.g.2142200,T.J.,Yeldon,nfl.p.28424$nfl.g.2142200 - T.J. Yeldon,RB,BUF,DEN,DEN@BUF,1:00PM EST,10,5.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28473$nfl.g.2142200,Tyler,Kroft,nfl.p.28473$nfl.g.2142200 - Tyler Kroft,TE,BUF,DEN,DEN@BUF,1:00PM EST,10,1.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29973$nfl.g.2142200,Duke,Williams,nfl.p.29973$nfl.g.2142200 - Duke Williams,WR,BUF,DEN,DEN@BUF,1:00PM EST,10,4.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30285$nfl.g.2142200,Isaiah,McKenzie,nfl.p.30285$nfl.g.2142200 - Isaiah McKenzie,WR,BUF,DEN,DEN@BUF,1:00PM EST,10,4.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30977$nfl.g.2142200,Josh,Allen,nfl.p.30977$nfl.g.2142200 - Josh Allen,QB,BUF,DEN,DEN@BUF,1:00PM EST,24,20.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31601$nfl.g.2142200,Robert,Foster,nfl.p.31601$nfl.g.2142200 - Robert Foster,WR,BUF,DEN,DEN@BUF,1:00PM EST,10,0.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31906$nfl.g.2142200,Devin,Singletary,nfl.p.31906$nfl.g.2142200 - Devin Singletary,RB,BUF,DEN,DEN@BUF,1:00PM EST,20,10.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31928$nfl.g.2142200,Dawson,Knox,nfl.p.31928$nfl.g.2142200 - Dawson Knox,TE,BUF,DEN,DEN@BUF,1:00PM EST,11,5.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32060$nfl.g.2142200,Tommy,Sweeney,nfl.p.32060$nfl.g.2142200 - Tommy Sweeney,TE,BUF,DEN,DEN@BUF,1:00PM EST,10,1.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.7$nfl.g.2142200,Denver,Broncos,nfl.t.7$nfl.g.2142200 - Denver Broncos,DEF,DEN,BUF,DEN@BUF,1:00PM EST,12,6.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.2$nfl.g.2142200,Buffalo,Bills,nfl.t.2$nfl.g.2142200 - Buffalo Bills,DEF,BUF,DEN,DEN@BUF,1:00PM EST,16,7.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26822$nfl.g.2142200,Theo,Riddick,nfl.p.26822$nfl.g.2142200 - Theo Riddick,RB,DEN,BUF,DEN@BUF,1:00PM EST,10,6.1,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30258$nfl.g.2142200,Jake,Butt,nfl.p.30258$nfl.g.2142200 - Jake Butt,TE,DEN,BUF,DEN@BUF,1:00PM EST,10,4.2,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31874$nfl.g.2142200,Drew,Lock,nfl.p.31874$nfl.g.2142200 - Drew Lock,QB,DEN,BUF,DEN@BUF,1:00PM EST,20,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32191$nfl.g.2142200,Austin,Fort,nfl.p.32191$nfl.g.2142200 - Austin Fort,TE,DEN,BUF,DEN@BUF,1:00PM EST,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30594$nfl.g.2142200,Jason,Croom,nfl.p.30594$nfl.g.2142200 - Jason Croom,TE,BUF,DEN,DEN@BUF,1:00PM EST,10,3.5,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.8795$nfl.g.2142200,Joe,Flacco,nfl.p.8795$nfl.g.2142200 - Joe Flacco,QB,DEN,BUF,DEN@BUF,1:00PM EST,20,11.2,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30511$nfl.g.2142200,Tim,Patrick,nfl.p.30511$nfl.g.2142200 - Tim Patrick,WR,DEN,BUF,DEN@BUF,1:00PM EST,11,4.8,Q," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25826$nfl.g.2142200,Orson,Charles,nfl.p.25826$nfl.g.2142200 - Orson Charles,TE,DEN,BUF,DEN@BUF,1:00PM EST,10,0.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.6760$nfl.g.2142204,Eli,Manning,nfl.p.6760$nfl.g.2142204 - Eli Manning,QB,NYG,CHI,NYG@CHI,1:00PM EST,20,13.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24035$nfl.g.2142204,Golden,Tate,nfl.p.24035$nfl.g.2142204 - Golden Tate,WR,NYG,CHI,NYG@CHI,1:00PM EST,18,12.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25838$nfl.g.2142204,Rhett,Ellison,nfl.p.25838$nfl.g.2142204 - Rhett Ellison,TE,NYG,CHI,NYG@CHI,1:00PM EST,10,3.2,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26547$nfl.g.2142204,Alex,Tanney,nfl.p.26547$nfl.g.2142204 - Alex Tanney,QB,NYG,CHI,NYG@CHI,1:00PM EST,20,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27584$nfl.g.2142204,Cody,Latimer,nfl.p.27584$nfl.g.2142204 - Cody Latimer,WR,NYG,CHI,NYG@CHI,1:00PM EST,10,3.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27826$nfl.g.2142204,Bennie,Fowler III,nfl.p.27826$nfl.g.2142204 - Bennie Fowler III,WR,NYG,CHI,NYG@CHI,1:00PM EST,10,4.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28513$nfl.g.2142204,Javorius,Allen,nfl.p.28513$nfl.g.2142204 - Javorius Allen,RB,NYG,CHI,NYG@CHI,1:00PM EST,10,5.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29274$nfl.g.2142204,Sterling,Shepard,nfl.p.29274$nfl.g.2142204 - Sterling Shepard,WR,NYG,CHI,NYG@CHI,1:00PM EST,16,12.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29433$nfl.g.2142204,Cody,Core,nfl.p.29433$nfl.g.2142204 - Cody Core,WR,NYG,CHI,NYG@CHI,1:00PM EST,10,1.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29906$nfl.g.2142204,Elijhaa,Penny,nfl.p.29906$nfl.g.2142204 - Elijhaa Penny,RB,NYG,CHI,NYG@CHI,1:00PM EST,10,1.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30136$nfl.g.2142204,Evan,Engram,nfl.p.30136$nfl.g.2142204 - Evan Engram,TE,NYG,CHI,NYG@CHI,1:00PM EST,22,10.9,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30253$nfl.g.2142204,Wayne,Gallman Jr.,nfl.p.30253$nfl.g.2142204 - Wayne Gallman Jr.,RB,NYG,CHI,NYG@CHI,1:00PM EST,13,5.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30972$nfl.g.2142204,Saquon,Barkley,nfl.p.30972$nfl.g.2142204 - Saquon Barkley,RB,NYG,CHI,NYG@CHI,1:00PM EST,32,14.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31838$nfl.g.2142204,Daniel,Jones,nfl.p.31838$nfl.g.2142204 - Daniel Jones,QB,NYG,CHI,NYG@CHI,1:00PM EST,26,16.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32003$nfl.g.2142204,Darius,Slayton,nfl.p.32003$nfl.g.2142204 - Darius Slayton,WR,NYG,CHI,NYG@CHI,1:00PM EST,16,10.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32008$nfl.g.2142204,Kaden,Smith,nfl.p.32008$nfl.g.2142204 - Kaden Smith,TE,NYG,CHI,NYG@CHI,1:00PM EST,10,0.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.9678$nfl.g.2142204,Chase,Daniel,nfl.p.9678$nfl.g.2142204 - Chase Daniel,QB,CHI,NYG,NYG@CHI,1:00PM EST,24,9.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25370$nfl.g.2142204,Patrick,Scales,nfl.p.25370$nfl.g.2142204 - Patrick Scales,TE,CHI,NYG,NYG@CHI,1:00PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26652$nfl.g.2142204,Cordarrelle,Patterson,nfl.p.26652$nfl.g.2142204 - Cordarrelle Patterson,WR,CHI,NYG,NYG@CHI,1:00PM EST,10,2.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27589$nfl.g.2142204,Allen,Robinson II,nfl.p.27589$nfl.g.2142204 - Allen Robinson II,WR,CHI,NYG,NYG@CHI,1:00PM EST,22,11.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27789$nfl.g.2142204,Trey,Burton,nfl.p.27789$nfl.g.2142204 - Trey Burton,TE,CHI,NYG,NYG@CHI,1:00PM EST,10,1.9,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28234$nfl.g.2142204,Taylor,Gabriel,nfl.p.28234$nfl.g.2142204 - Taylor Gabriel,WR,CHI,NYG,NYG@CHI,1:00PM EST,15,9.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29666$nfl.g.2142204,J.P.,Holtz,nfl.p.29666$nfl.g.2142204 - J.P. Holtz,TE,CHI,NYG,NYG@CHI,1:00PM EST,10,0.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29913$nfl.g.2142204,Ben,Braunecker,nfl.p.29913$nfl.g.2142204 - Ben Braunecker,TE,CHI,NYG,NYG@CHI,1:00PM EST,10,3.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30115$nfl.g.2142204,Mitchell,Trubisky,nfl.p.30115$nfl.g.2142204 - Mitchell Trubisky,QB,CHI,NYG,NYG@CHI,1:00PM EST,22,11.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30158$nfl.g.2142204,Adam,Shaheen,nfl.p.30158$nfl.g.2142204 - Adam Shaheen,TE,CHI,NYG,NYG@CHI,1:00PM EST,10,1.7,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30232$nfl.g.2142204,Tarik,Cohen,nfl.p.30232$nfl.g.2142204 - Tarik Cohen,RB,CHI,NYG,NYG@CHI,1:00PM EST,14,7.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31021$nfl.g.2142204,Anthony,Miller,nfl.p.31021$nfl.g.2142204 - Anthony Miller,WR,CHI,NYG,NYG@CHI,1:00PM EST,10,3.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31194$nfl.g.2142204,Javon,Wims,nfl.p.31194$nfl.g.2142204 - Javon Wims,WR,CHI,NYG,NYG@CHI,1:00PM EST,10,2.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31905$nfl.g.2142204,David,Montgomery,nfl.p.31905$nfl.g.2142204 - David Montgomery,RB,CHI,NYG,NYG@CHI,1:00PM EST,18,10.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31958$nfl.g.2142204,Riley,Ridley,nfl.p.31958$nfl.g.2142204 - Riley Ridley,WR,CHI,NYG,NYG@CHI,1:00PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.19$nfl.g.2142204,New York,Giants,nfl.t.19$nfl.g.2142204 - New York Giants,DEF,NYG,CHI,NYG@CHI,1:00PM EST,13,6.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.3$nfl.g.2142204,Chicago,Bears,nfl.t.3$nfl.g.2142204 - Chicago Bears,DEF,CHI,NYG,NYG@CHI,1:00PM EST,19,8.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30394$nfl.g.2142204,Amba,Etta-Tawo,nfl.p.30394$nfl.g.2142204 - Amba Etta-Tawo,WR,NYG,CHI,NYG@CHI,1:00PM EST,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31662$nfl.g.2142204,Ryan,Nall,nfl.p.31662$nfl.g.2142204 - Ryan Nall,RB,CHI,NYG,NYG@CHI,1:00PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28215$nfl.g.2142204,Scott,Simonson,nfl.p.28215$nfl.g.2142204 - Scott Simonson,TE,NYG,CHI,NYG@CHI,1:00PM EST,10,1.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26050$nfl.g.2142204,Bradley,Sowell,nfl.p.26050$nfl.g.2142204 - Bradley Sowell,TE,CHI,NYG,NYG@CHI,1:00PM EST,10,3.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27055$nfl.g.2142204,Russell,Shepard,nfl.p.27055$nfl.g.2142204 - Russell Shepard,WR,NYG,CHI,NYG@CHI,1:00PM EST,10,2.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32486$nfl.g.2142204,Isaiah,Searight,nfl.p.32486$nfl.g.2142204 - Isaiah Searight,TE,NYG,CHI,NYG@CHI,1:00PM EST,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29249$nfl.g.2142204,Corey,Coleman,nfl.p.29249$nfl.g.2142204 - Corey Coleman,WR,NYG,CHI,NYG@CHI,1:00PM EST,10,1.3,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26678$nfl.g.2142209,Vance,McDonald,nfl.p.26678$nfl.g.2142209 - Vance McDonald,TE,PIT,CIN,PIT@CIN,1:00PM EST,12,6.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29260$nfl.g.2142209,Paxton,Lynch,nfl.p.29260$nfl.g.2142209 - Paxton Lynch,QB,PIT,CIN,PIT@CIN,1:00PM EST,20,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29328$nfl.g.2142209,Nick,Vannett,nfl.p.29328$nfl.g.2142209 - Nick Vannett,TE,PIT,CIN,PIT@CIN,1:00PM EST,10,1.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29958$nfl.g.2142209,Johnny,Holton,nfl.p.29958$nfl.g.2142209 - Johnny Holton,WR,PIT,CIN,PIT@CIN,1:00PM EST,10,0.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30175$nfl.g.2142209,JuJu,Smith-Schuster,nfl.p.30175$nfl.g.2142209 - JuJu Smith-Schuster,WR,PIT,CIN,PIT@CIN,1:00PM EST,19,8.7,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30218$nfl.g.2142209,James,Conner,nfl.p.30218$nfl.g.2142209 - James Conner,RB,PIT,CIN,PIT@CIN,1:00PM EST,24,14.0,O," "
