QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," ",1. Locate the player you want to select in the list below," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ","2. Copy the ID of your player (you can use the ""ID + Name"" column or the ""ID"" column)"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ",3. Paste the ID into the roster position desired," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ",4. You can create up to 10 lineups," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.9678$nfl.g.2142262,Chase,Daniel,nfl.p.9678$nfl.g.2142262 - Chase Daniel,QB,CHI,DET,CHI@DET,12:30PM EST,24,9.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25370$nfl.g.2142262,Patrick,Scales,nfl.p.25370$nfl.g.2142262 - Patrick Scales,TE,CHI,DET,CHI@DET,12:30PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26050$nfl.g.2142262,Bradley,Sowell,nfl.p.26050$nfl.g.2142262 - Bradley Sowell,TE,CHI,DET,CHI@DET,12:30PM EST,10,3.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26652$nfl.g.2142262,Cordarrelle,Patterson,nfl.p.26652$nfl.g.2142262 - Cordarrelle Patterson,WR,CHI,DET,CHI@DET,12:30PM EST,10,2.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27589$nfl.g.2142262,Allen,Robinson II,nfl.p.27589$nfl.g.2142262 - Allen Robinson II,WR,CHI,DET,CHI@DET,12:30PM EST,19,12.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27789$nfl.g.2142262,Trey,Burton,nfl.p.27789$nfl.g.2142262 - Trey Burton,TE,CHI,DET,CHI@DET,12:30PM EST,10,1.9,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28234$nfl.g.2142262,Taylor,Gabriel,nfl.p.28234$nfl.g.2142262 - Taylor Gabriel,WR,CHI,DET,CHI@DET,12:30PM EST,10,8.4,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29666$nfl.g.2142262,J.P.,Holtz,nfl.p.29666$nfl.g.2142262 - J.P. Holtz,TE,CHI,DET,CHI@DET,12:30PM EST,10,0.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29913$nfl.g.2142262,Ben,Braunecker,nfl.p.29913$nfl.g.2142262 - Ben Braunecker,TE,CHI,DET,CHI@DET,12:30PM EST,10,3.0,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30115$nfl.g.2142262,Mitchell,Trubisky,nfl.p.30115$nfl.g.2142262 - Mitchell Trubisky,QB,CHI,DET,CHI@DET,12:30PM EST,23,12.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30158$nfl.g.2142262,Adam,Shaheen,nfl.p.30158$nfl.g.2142262 - Adam Shaheen,TE,CHI,DET,CHI@DET,12:30PM EST,10,1.7,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30232$nfl.g.2142262,Tarik,Cohen,nfl.p.30232$nfl.g.2142262 - Tarik Cohen,RB,CHI,DET,CHI@DET,12:30PM EST,16,7.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31021$nfl.g.2142262,Anthony,Miller,nfl.p.31021$nfl.g.2142262 - Anthony Miller,WR,CHI,DET,CHI@DET,12:30PM EST,13,4.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31194$nfl.g.2142262,Javon,Wims,nfl.p.31194$nfl.g.2142262 - Javon Wims,WR,CHI,DET,CHI@DET,12:30PM EST,10,2.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31662$nfl.g.2142262,Ryan,Nall,nfl.p.31662$nfl.g.2142262 - Ryan Nall,RB,CHI,DET,CHI@DET,12:30PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31905$nfl.g.2142262,David,Montgomery,nfl.p.31905$nfl.g.2142262 - David Montgomery,RB,CHI,DET,CHI@DET,12:30PM EST,18,9.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31958$nfl.g.2142262,Riley,Ridley,nfl.p.31958$nfl.g.2142262 - Riley Ridley,WR,CHI,DET,CHI@DET,12:30PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.9037$nfl.g.2142262,Danny,Amendola,nfl.p.9037$nfl.g.2142262 - Danny Amendola,WR,DET,CHI,CHI@DET,12:30PM EST,10,7.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.9265$nfl.g.2142262,Matthew,Stafford,nfl.p.9265$nfl.g.2142262 - Matthew Stafford,QB,DET,CHI,CHI@DET,12:30PM EST,31,21.4,D," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25876$nfl.g.2142262,Marvin,Jones Jr.,nfl.p.25876$nfl.g.2142262 - Marvin Jones Jr.,WR,DET,CHI,CHI@DET,12:30PM EST,18,13.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27648$nfl.g.2142262,Logan,Thomas,nfl.p.27648$nfl.g.2142262 - Logan Thomas,TE,DET,CHI,CHI@DET,12:30PM EST,10,2.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28548$nfl.g.2142262,Jesse,James,nfl.p.28548$nfl.g.2142262 - Jesse James,TE,DET,CHI,CHI@DET,12:30PM EST,10,1.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29441$nfl.g.2142262,Jeff,Driskel,nfl.p.29441$nfl.g.2142262 - Jeff Driskel,QB,DET,CHI,CHI@DET,12:30PM EST,24,20.5,Q," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29650$nfl.g.2142262,J.D.,McKissic,nfl.p.29650$nfl.g.2142262 - J.D. McKissic,RB,DET,CHI,CHI@DET,12:30PM EST,11,5.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30023$nfl.g.2142262,Marvin,Hall,nfl.p.30023$nfl.g.2142262 - Marvin Hall,WR,DET,CHI,CHI@DET,12:30PM EST,10,5.2,Q," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30209$nfl.g.2142262,Kenny,Golladay,nfl.p.30209$nfl.g.2142262 - Kenny Golladay,WR,DET,CHI,CHI@DET,12:30PM EST,21,13.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31840$nfl.g.2142262,T.J.,Hockenson,nfl.p.31840$nfl.g.2142262 - T.J. Hockenson,TE,DET,CHI,CHI@DET,12:30PM EST,10,5.4,Q," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32018$nfl.g.2142262,Ty,Johnson,nfl.p.32018$nfl.g.2142262 - Ty Johnson,RB,DET,CHI,CHI@DET,12:30PM EST,10,2.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32272$nfl.g.2142262,David,Blough,nfl.p.32272$nfl.g.2142262 - David Blough,QB,DET,CHI,CHI@DET,12:30PM EST,20,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.3$nfl.g.2142262,Chicago,Bears,nfl.t.3$nfl.g.2142262 - Chicago Bears,DEF,CHI,DET,CHI@DET,12:30PM EST,16,7.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.8$nfl.g.2142262,Detroit,Lions,nfl.t.8$nfl.g.2142262 - Detroit Lions,DEF,DET,CHI,CHI@DET,12:30PM EST,11,5.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31013$nfl.g.2142262,Kerryon,Johnson,nfl.p.31013$nfl.g.2142262 - Kerryon Johnson,RB,DET,CHI,CHI@DET,12:30PM EST,10,10.6,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25991$nfl.g.2142262,Jermaine,Kearse,nfl.p.25991$nfl.g.2142262 - Jermaine Kearse,WR,DET,CHI,CHI@DET,12:30PM EST,10,4.7,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31206$nfl.g.2142262,Bo,Scarbrough,nfl.p.31206$nfl.g.2142262 - Bo Scarbrough,RB,DET,CHI,CHI@DET,12:30PM EST,16,9.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32576$nfl.g.2142262,Jesper,Horsted,nfl.p.32576$nfl.g.2142262 - Jesper Horsted,TE,CHI,DET,CHI@DET,12:30PM EST,10,0.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31207$nfl.g.2142262,Nick,Bawden,nfl.p.31207$nfl.g.2142262 - Nick Bawden,RB,DET,CHI,CHI@DET,12:30PM EST,10,0.6,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32056$nfl.g.2142262,Isaac,Nauta,nfl.p.32056$nfl.g.2142262 - Isaac Nauta,TE,DET,CHI,CHI@DET,12:30PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.7241$nfl.g.2142266,Frank,Gore,nfl.p.7241$nfl.g.2142266 - Frank Gore,RB,BUF,DAL,BUF@DAL,4:30PM EST,14,7.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24063$nfl.g.2142266,Andre,Roberts,nfl.p.24063$nfl.g.2142266 - Andre Roberts,WR,BUF,DAL,BUF@DAL,4:30PM EST,10,0.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24946$nfl.g.2142266,Lee,Smith,nfl.p.24946$nfl.g.2142266 - Lee Smith,TE,BUF,DAL,BUF@DAL,4:30PM EST,10,1.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25158$nfl.g.2142266,Patrick,DiMarco,nfl.p.25158$nfl.g.2142266 - Patrick DiMarco,RB,BUF,DAL,BUF@DAL,4:30PM EST,10,1.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26060$nfl.g.2142266,Cole,Beasley,nfl.p.26060$nfl.g.2142266 - Cole Beasley,WR,BUF,DAL,BUF@DAL,4:30PM EST,13,9.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26721$nfl.g.2142266,Matt,Barkley,nfl.p.26721$nfl.g.2142266 - Matt Barkley,QB,BUF,DAL,BUF@DAL,4:30PM EST,20,4.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27619$nfl.g.2142266,John,Brown,nfl.p.27619$nfl.g.2142266 - John Brown,WR,BUF,DAL,BUF@DAL,4:30PM EST,21,13.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28223$nfl.g.2142266,Senorise,Perry,nfl.p.28223$nfl.g.2142266 - Senorise Perry,RB,BUF,DAL,BUF@DAL,4:30PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28424$nfl.g.2142266,T.J.,Yeldon,nfl.p.28424$nfl.g.2142266 - T.J. Yeldon,RB,BUF,DAL,BUF@DAL,4:30PM EST,10,5.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28473$nfl.g.2142266,Tyler,Kroft,nfl.p.28473$nfl.g.2142266 - Tyler Kroft,TE,BUF,DAL,BUF@DAL,4:30PM EST,10,1.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29973$nfl.g.2142266,Duke,Williams,nfl.p.29973$nfl.g.2142266 - Duke Williams,WR,BUF,DAL,BUF@DAL,4:30PM EST,10,4.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30285$nfl.g.2142266,Isaiah,McKenzie,nfl.p.30285$nfl.g.2142266 - Isaiah McKenzie,WR,BUF,DAL,BUF@DAL,4:30PM EST,10,4.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30977$nfl.g.2142266,Josh,Allen,nfl.p.30977$nfl.g.2142266 - Josh Allen,QB,BUF,DAL,BUF@DAL,4:30PM EST,28,20.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31601$nfl.g.2142266,Robert,Foster,nfl.p.31601$nfl.g.2142266 - Robert Foster,WR,BUF,DAL,BUF@DAL,4:30PM EST,10,1.3,Q," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31906$nfl.g.2142266,Devin,Singletary,nfl.p.31906$nfl.g.2142266 - Devin Singletary,RB,BUF,DAL,BUF@DAL,4:30PM EST,21,11.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31928$nfl.g.2142266,Dawson,Knox,nfl.p.31928$nfl.g.2142266 - Dawson Knox,TE,BUF,DAL,BUF@DAL,4:30PM EST,12,4.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32060$nfl.g.2142266,Tommy,Sweeney,nfl.p.32060$nfl.g.2142266 - Tommy Sweeney,TE,BUF,DAL,BUF@DAL,4:30PM EST,10,1.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30594$nfl.g.2142266,Jason,Croom,nfl.p.30594$nfl.g.2142266 - Jason Croom,TE,BUF,DAL,BUF@DAL,4:30PM EST,10,3.5,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.6405$nfl.g.2142266,Jason,Witten,nfl.p.6405$nfl.g.2142266 - Jason Witten,TE,DAL,BUF,BUF@DAL,4:30PM EST,11,6.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24851$nfl.g.2142266,Randall,Cobb,nfl.p.24851$nfl.g.2142266 - Randall Cobb,WR,DAL,BUF,BUF@DAL,4:30PM EST,14,9.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26535$nfl.g.2142266,Jamize,Olawale,nfl.p.26535$nfl.g.2142266 - Jamize Olawale,RB,DAL,BUF,BUF@DAL,4:30PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26631$nfl.g.2142266,Tavon,Austin,nfl.p.26631$nfl.g.2142266 - Tavon Austin,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,2.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28392$nfl.g.2142266,Amari,Cooper,nfl.p.28392$nfl.g.2142266 - Amari Cooper,WR,DAL,BUF,BUF@DAL,4:30PM EST,30,14.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28425$nfl.g.2142266,Devin,Smith,nfl.p.28425$nfl.g.2142266 - Devin Smith,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,6.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29238$nfl.g.2142266,Ezekiel,Elliott,nfl.p.29238$nfl.g.2142266 - Ezekiel Elliott,RB,DAL,BUF,BUF@DAL,4:30PM EST,30,16.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29369$nfl.g.2142266,Dak,Prescott,nfl.p.29369$nfl.g.2142266 - Dak Prescott,QB,DAL,BUF,BUF@DAL,4:30PM EST,35,22.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30784$nfl.g.2142266,Blake,Jarwin,nfl.p.30784$nfl.g.2142266 - Blake Jarwin,TE,DAL,BUF,BUF@DAL,4:30PM EST,10,5.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30788$nfl.g.2142266,Cooper,Rush,nfl.p.30788$nfl.g.2142266 - Cooper Rush,QB,DAL,BUF,BUF@DAL,4:30PM EST,20,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31051$nfl.g.2142266,Michael,Gallup,nfl.p.31051$nfl.g.2142266 - Michael Gallup,WR,DAL,BUF,BUF@DAL,4:30PM EST,22,12.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31107$nfl.g.2142266,Dalton,Schultz,nfl.p.31107$nfl.g.2142266 - Dalton Schultz,TE,DAL,BUF,BUF@DAL,4:30PM EST,10,0.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31178$nfl.g.2142266,Cedrick,Wilson,nfl.p.31178$nfl.g.2142266 - Cedrick Wilson,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,2.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31960$nfl.g.2142266,Tony,Pollard,nfl.p.31960$nfl.g.2142266 - Tony Pollard,RB,DAL,BUF,BUF@DAL,4:30PM EST,13,5.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32556$nfl.g.2142266,Ventell,Bryant,nfl.p.32556$nfl.g.2142266 - Ventell Bryant,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32200$nfl.g.2142266,Jon'Vea,Johnson,nfl.p.32200$nfl.g.2142266 - Jon'Vea Johnson,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30899$nfl.g.2142266,Lance,Lenoir Jr.,nfl.p.30899$nfl.g.2142266 - Lance Lenoir Jr.,WR,DAL,BUF,BUF@DAL,4:30PM EST,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.2$nfl.g.2142266,Buffalo,Bills,nfl.t.2$nfl.g.2142266 - Buffalo Bills,DEF,BUF,DAL,BUF@DAL,4:30PM EST,13,8.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.6$nfl.g.2142266,Dallas,Cowboys,nfl.t.6$nfl.g.2142266 - Dallas Cowboys,DEF,DAL,BUF,BUF@DAL,4:30PM EST,14,7.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.5479$nfl.g.2142270,Drew,Brees,nfl.p.5479$nfl.g.2142270 - Drew Brees,QB,NO,ATL,NO@ATL,8:20PM EST,31,17.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.8263$nfl.g.2142270,Ted,Ginn Jr.,nfl.p.8263$nfl.g.2142270 - Ted Ginn Jr.,WR,NO,ATL,NO@ATL,8:20PM EST,14,6.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.9353$nfl.g.2142270,Jared,Cook,nfl.p.9353$nfl.g.2142270 - Jared Cook,TE,NO,ATL,NO@ATL,8:20PM EST,18,8.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26804$nfl.g.2142270,Latavius,Murray,nfl.p.26804$nfl.g.2142270 - Latavius Murray,RB,NO,ATL,NO@ATL,8:20PM EST,16,10.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26950$nfl.g.2142270,Josh,Hill,nfl.p.26950$nfl.g.2142270 - Josh Hill,TE,NO,ATL,NO@ATL,8:20PM EST,10,3.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27135$nfl.g.2142270,Zach,Line,nfl.p.27135$nfl.g.2142270 - Zach Line,RB,NO,ATL,NO@ATL,8:20PM EST,10,1.2,Q," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27560$nfl.g.2142270,Teddy,Bridgewater,nfl.p.27560$nfl.g.2142270 - Teddy Bridgewater,QB,NO,ATL,NO@ATL,8:20PM EST,20,13.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29281$nfl.g.2142270,Michael,Thomas,nfl.p.29281$nfl.g.2142270 - Michael Thomas,WR,NO,ATL,NO@ATL,8:20PM EST,38,19.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29470$nfl.g.2142270,Dwayne,Washington,nfl.p.29470$nfl.g.2142270 - Dwayne Washington,RB,NO,ATL,NO@ATL,8:20PM EST,10,1.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30180$nfl.g.2142270,Alvin,Kamara,nfl.p.30180$nfl.g.2142270 - Alvin Kamara,RB,NO,ATL,NO@ATL,8:20PM EST,29,15.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30487$nfl.g.2142270,Krishawn,Hogan,nfl.p.30487$nfl.g.2142270 - Krishawn Hogan,WR,NO,ATL,NO@ATL,8:20PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30614$nfl.g.2142270,Taysom,Hill,nfl.p.30614$nfl.g.2142270 - Taysom Hill,QB,NO,ATL,NO@ATL,8:20PM EST,20,4.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30656$nfl.g.2142270,Austin,Carr,nfl.p.30656$nfl.g.2142270 - Austin Carr,WR,NO,ATL,NO@ATL,8:20PM EST,10,0.7,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30891$nfl.g.2142270,Dan,Arnold,nfl.p.30891$nfl.g.2142270 - Dan Arnold,TE,NO,ATL,NO@ATL,8:20PM EST,10,1.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31061$nfl.g.2142270,Tre'Quan,Smith,nfl.p.31061$nfl.g.2142270 - Tre'Quan Smith,WR,NO,ATL,NO@ATL,8:20PM EST,11,5.1," "," "
