QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," ",1. Locate the player you want to select in the list below," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ","2. Copy the ID of your player (you can use the ""ID + Name"" column or the ""ID"" column)"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ",3. Paste the ID into the roster position desired," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," ",4. You can create up to 10 lineups," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.9037$nfl.g.2142095,Danny,Amendola,nfl.p.9037$nfl.g.2142095 - Danny Amendola,WR,DET,DEN,DET@DEN,4:05PM EST,16,7.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.9265$nfl.g.2142095,Matthew,Stafford,nfl.p.9265$nfl.g.2142095 - Matthew Stafford,QB,DET,DEN,DET@DEN,4:05PM EST,31,21.4,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25876$nfl.g.2142095,Marvin,Jones Jr.,nfl.p.25876$nfl.g.2142095 - Marvin Jones Jr.,WR,DET,DEN,DET@DEN,4:05PM EST,10,12.5,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27648$nfl.g.2142095,Logan,Thomas,nfl.p.27648$nfl.g.2142095 - Logan Thomas,TE,DET,DEN,DET@DEN,4:05PM EST,10,2.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28548$nfl.g.2142095,Jesse,James,nfl.p.28548$nfl.g.2142095 - Jesse James,TE,DET,DEN,DET@DEN,4:05PM EST,10,1.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29650$nfl.g.2142095,J.D.,McKissic,nfl.p.29650$nfl.g.2142095 - J.D. McKissic,RB,DET,DEN,DET@DEN,4:05PM EST,11,4.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30209$nfl.g.2142095,Kenny,Golladay,nfl.p.30209$nfl.g.2142095 - Kenny Golladay,WR,DET,DEN,DET@DEN,4:05PM EST,25,13.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30822$nfl.g.2142095,Kyle,Sloter,nfl.p.30822$nfl.g.2142095 - Kyle Sloter,QB,DET,DEN,DET@DEN,4:05PM EST,20,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31206$nfl.g.2142095,Bo,Scarbrough,nfl.p.31206$nfl.g.2142095 - Bo Scarbrough,RB,DET,DEN,DET@DEN,4:05PM EST,15,8.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31651$nfl.g.2142095,Chris,Lacy,nfl.p.31651$nfl.g.2142095 - Chris Lacy,WR,DET,DEN,DET@DEN,4:05PM EST,10,2.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32018$nfl.g.2142095,Ty,Johnson,nfl.p.32018$nfl.g.2142095 - Ty Johnson,RB,DET,DEN,DET@DEN,4:05PM EST,11,2.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32056$nfl.g.2142095,Isaac,Nauta,nfl.p.32056$nfl.g.2142095 - Isaac Nauta,TE,DET,DEN,DET@DEN,4:05PM EST,10,1.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32272$nfl.g.2142095,David,Blough,nfl.p.32272$nfl.g.2142095 - David Blough,QB,DET,DEN,DET@DEN,4:05PM EST,21,12.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31013$nfl.g.2142095,Kerryon,Johnson,nfl.p.31013$nfl.g.2142095 - Kerryon Johnson,RB,DET,DEN,DET@DEN,4:05PM EST,15,10.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28279$nfl.g.2142095,Diontae,Spencer,nfl.p.28279$nfl.g.2142095 - Diontae Spencer,WR,DEN,DET,DET@DEN,4:05PM EST,10,0.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28480$nfl.g.2142095,Jeff,Heuerman,nfl.p.28480$nfl.g.2142095 - Jeff Heuerman,TE,DEN,DET,DET@DEN,4:05PM EST,10,3.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29370$nfl.g.2142095,Devontae,Booker,nfl.p.29370$nfl.g.2142095 - Devontae Booker,RB,DEN,DET,DET@DEN,4:05PM EST,10,1.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29435$nfl.g.2142095,Brandon,Allen,nfl.p.29435$nfl.g.2142095 - Brandon Allen,QB,DEN,DET,DET@DEN,4:05PM EST,20,11.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30511$nfl.g.2142095,Tim,Patrick,nfl.p.30511$nfl.g.2142095 - Tim Patrick,WR,DEN,DET,DET@DEN,4:05PM EST,12,3.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30901$nfl.g.2142095,Fred,Brown,nfl.p.30901$nfl.g.2142095 - Fred Brown,WR,DEN,DET,DET@DEN,4:05PM EST,10,0.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31010$nfl.g.2142095,Courtland,Sutton,nfl.p.31010$nfl.g.2142095 - Courtland Sutton,WR,DEN,DET,DET@DEN,4:05PM EST,24,12.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31041$nfl.g.2142095,Royce,Freeman,nfl.p.31041$nfl.g.2142095 - Royce Freeman,RB,DEN,DET,DET@DEN,4:05PM EST,16,7.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31083$nfl.g.2142095,DaeSean,Hamilton,nfl.p.31083$nfl.g.2142095 - DaeSean Hamilton,WR,DEN,DET,DET@DEN,4:05PM EST,10,2.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31126$nfl.g.2142095,Troy,Fumagalli,nfl.p.31126$nfl.g.2142095 - Troy Fumagalli,TE,DEN,DET,DET@DEN,4:05PM EST,10,2.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31379$nfl.g.2142095,Phillip,Lindsay,nfl.p.31379$nfl.g.2142095 - Phillip Lindsay,RB,DEN,DET,DET@DEN,4:05PM EST,22,11.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31852$nfl.g.2142095,Noah,Fant,nfl.p.31852$nfl.g.2142095 - Noah Fant,TE,DEN,DET,DET@DEN,4:05PM EST,15,6.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31874$nfl.g.2142095,Drew,Lock,nfl.p.31874$nfl.g.2142095 - Drew Lock,QB,DEN,DET,DET@DEN,4:05PM EST,30,15.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32019$nfl.g.2142095,Juwann,Winfree,nfl.p.32019$nfl.g.2142095 - Juwann Winfree,WR,DEN,DET,DET@DEN,4:05PM EST,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32225$nfl.g.2142095,Andrew,Beck,nfl.p.32225$nfl.g.2142095 - Andrew Beck,TE,DEN,DET,DET@DEN,4:05PM EST,10,1.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.8$nfl.g.2142095,Detroit,Lions,nfl.t.8$nfl.g.2142095 - Detroit Lions,DEF,DET,DEN,DET@DEN,4:05PM EST,11,4.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.7$nfl.g.2142095,Denver,Broncos,nfl.t.7$nfl.g.2142095 - Denver Broncos,DEF,DEN,DET,DET@DEN,4:05PM EST,13,6.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32016$nfl.g.2142095,Travis,Fulgham,nfl.p.32016$nfl.g.2142095 - Travis Fulgham,WR,DET,DEN,DET@DEN,4:05PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29441$nfl.g.2142095,Jeff,Driskel,nfl.p.29441$nfl.g.2142095 - Jeff Driskel,QB,DET,DEN,DET@DEN,4:05PM EST,20,20.5,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25991$nfl.g.2142095,Jermaine,Kearse,nfl.p.25991$nfl.g.2142095 - Jermaine Kearse,WR,DET,DEN,DET@DEN,4:05PM EST,10,4.7,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29410$nfl.g.2142095,Andy,Janovich,nfl.p.29410$nfl.g.2142095 - Andy Janovich,RB,DEN,DET,DET@DEN,4:05PM EST,10,2.6,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.8795$nfl.g.2142095,Joe,Flacco,nfl.p.8795$nfl.g.2142095 - Joe Flacco,QB,DEN,DET,DET@DEN,4:05PM EST,20,11.2,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26822$nfl.g.2142095,Theo,Riddick,nfl.p.26822$nfl.g.2142095 - Theo Riddick,RB,DEN,DET,DET@DEN,4:05PM EST,10,6.1,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30258$nfl.g.2142095,Jake,Butt,nfl.p.30258$nfl.g.2142095 - Jake Butt,TE,DEN,DET,DET@DEN,4:05PM EST,10,4.2,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32191$nfl.g.2142095,Austin,Fort,nfl.p.32191$nfl.g.2142095 - Austin Fort,TE,DEN,DET,DET@DEN,4:05PM EST,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31840$nfl.g.2142095,T.J.,Hockenson,nfl.p.31840$nfl.g.2142095 - T.J. Hockenson,TE,DET,DEN,DET@DEN,4:05PM EST,10,5.4,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30023$nfl.g.2142095,Marvin,Hall,nfl.p.30023$nfl.g.2142095 - Marvin Hall,WR,DET,DEN,DET@DEN,4:05PM EST,10,5.2,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31207$nfl.g.2142095,Nick,Bawden,nfl.p.31207$nfl.g.2142095 - Nick Bawden,RB,DET,DEN,DET@DEN,4:05PM EST,10,0.6,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32473$nfl.g.2142095,Wes,Hills,nfl.p.32473$nfl.g.2142095 - Wes Hills,RB,DET,DEN,DET@DEN,4:05PM EST,14,15.2,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26416$nfl.g.2142097,Derek,Carrier,nfl.p.26416$nfl.g.2142097 - Derek Carrier,TE,OAK,LAC,OAK@LAC,4:05PM EST,10,2.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26696$nfl.g.2142097,Mike,Glennon,nfl.p.26696$nfl.g.2142097 - Mike Glennon,QB,OAK,LAC,OAK@LAC,4:05PM EST,20,2.1,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.27564$nfl.g.2142097,Derek,Carr,nfl.p.27564$nfl.g.2142097 - Derek Carr,QB,OAK,LAC,OAK@LAC,4:05PM EST,22,15.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28592$nfl.g.2142097,Darren,Waller,nfl.p.28592$nfl.g.2142097 - Darren Waller,TE,OAK,LAC,OAK@LAC,4:05PM EST,18,11.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28691$nfl.g.2142097,Tyrell,Williams,nfl.p.28691$nfl.g.2142097 - Tyrell Williams,WR,OAK,LAC,OAK@LAC,4:05PM EST,14,9.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29377$nfl.g.2142097,DeAndre,Washington,nfl.p.29377$nfl.g.2142097 - DeAndre Washington,RB,OAK,LAC,OAK@LAC,4:05PM EST,16,4.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30000$nfl.g.2142097,Jalen,Richard,nfl.p.30000$nfl.g.2142097 - Jalen Richard,RB,OAK,LAC,OAK@LAC,4:05PM EST,10,3.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30150$nfl.g.2142097,Zay,Jones,nfl.p.30150$nfl.g.2142097 - Zay Jones,WR,OAK,LAC,OAK@LAC,4:05PM EST,10,2.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30165$nfl.g.2142097,DeShone,Kizer,nfl.p.30165$nfl.g.2142097 - DeShone Kizer,QB,OAK,LAC,OAK@LAC,4:05PM EST,20,2.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31198$nfl.g.2142097,Marcell,Ateman,nfl.p.31198$nfl.g.2142097 - Marcell Ateman,WR,OAK,LAC,OAK@LAC,4:05PM EST,10,2.7," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31607$nfl.g.2142097,Rico,Gafford,nfl.p.31607$nfl.g.2142097 - Rico Gafford,WR,OAK,LAC,OAK@LAC,4:05PM EST,10,11.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31856$nfl.g.2142097,Josh,Jacobs,nfl.p.31856$nfl.g.2142097 - Josh Jacobs,RB,OAK,LAC,OAK@LAC,4:05PM EST,29,14.0,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31981$nfl.g.2142097,Hunter,Renfrow,nfl.p.31981$nfl.g.2142097 - Hunter Renfrow,WR,OAK,LAC,OAK@LAC,4:05PM EST,11,6.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32342$nfl.g.2142097,Keelan,Doss,nfl.p.32342$nfl.g.2142097 - Keelan Doss,WR,OAK,LAC,OAK@LAC,4:05PM EST,10,3.1,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32344$nfl.g.2142097,Alec,Ingold,nfl.p.32344$nfl.g.2142097 - Alec Ingold,RB,OAK,LAC,OAK@LAC,4:05PM EST,10,1.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.6763$nfl.g.2142097,Philip,Rivers,nfl.p.6763$nfl.g.2142097 - Philip Rivers,QB,LAC,OAK,OAK@LAC,4:05PM EST,28,16.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24834$nfl.g.2142097,Lance,Kendricks,nfl.p.24834$nfl.g.2142097 - Lance Kendricks,TE,LAC,OAK,OAK@LAC,4:05PM EST,10,1.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24967$nfl.g.2142097,Tyrod,Taylor,nfl.p.24967$nfl.g.2142097 - Tyrod Taylor,QB,LAC,OAK,OAK@LAC,4:05PM EST,25,2.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24991$nfl.g.2142097,Virgil,Green,nfl.p.24991$nfl.g.2142097 - Virgil Green,TE,LAC,OAK,OAK@LAC,4:05PM EST,10,1.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26699$nfl.g.2142097,Keenan,Allen,nfl.p.26699$nfl.g.2142097 - Keenan Allen,WR,LAC,OAK,OAK@LAC,4:05PM EST,27,13.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28403$nfl.g.2142097,Melvin,Gordon III,nfl.p.28403$nfl.g.2142097 - Melvin Gordon III,RB,LAC,OAK,OAK@LAC,4:05PM EST,21,11.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29269$nfl.g.2142097,Hunter,Henry,nfl.p.29269$nfl.g.2142097 - Hunter Henry,TE,LAC,OAK,OAK@LAC,4:05PM EST,19,10.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29432$nfl.g.2142097,Derek,Watt,nfl.p.29432$nfl.g.2142097 - Derek Watt,RB,LAC,OAK,OAK@LAC,4:05PM EST,10,1.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30061$nfl.g.2142097,Troymaine,Pope,nfl.p.30061$nfl.g.2142097 - Troymaine Pope,RB,LAC,OAK,OAK@LAC,4:05PM EST,10,1.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30120$nfl.g.2142097,Mike,Williams,nfl.p.30120$nfl.g.2142097 - Mike Williams,WR,LAC,OAK,OAK@LAC,4:05PM EST,18,9.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30423$nfl.g.2142097,Austin,Ekeler,nfl.p.30423$nfl.g.2142097 - Austin Ekeler,RB,LAC,OAK,OAK@LAC,4:05PM EST,25,17.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30430$nfl.g.2142097,Andre,Patton,nfl.p.30430$nfl.g.2142097 - Andre Patton,WR,LAC,OAK,OAK@LAC,4:05PM EST,10,1.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31221$nfl.g.2142097,Justin,Jackson,nfl.p.31221$nfl.g.2142097 - Justin Jackson,RB,LAC,OAK,OAK@LAC,4:05PM EST,10,4.3,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31998$nfl.g.2142097,Easton,Stick,nfl.p.31998$nfl.g.2142097 - Easton Stick,QB,LAC,OAK,OAK@LAC,4:05PM EST,20,0.0,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32201$nfl.g.2142097,Jalen,Guyton,nfl.p.32201$nfl.g.2142097 - Jalen Guyton,WR,LAC,OAK,OAK@LAC,4:05PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32547$nfl.g.2142097,Jason,Moore,nfl.p.32547$nfl.g.2142097 - Jason Moore,WR,LAC,OAK,OAK@LAC,4:05PM EST,10,1.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.13$nfl.g.2142097,Oakland,Raiders,nfl.t.13$nfl.g.2142097 - Oakland Raiders,DEF,OAK,LAC,OAK@LAC,4:05PM EST,13,4.5," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.t.24$nfl.g.2142097,Los Angeles,Chargers,nfl.t.24$nfl.g.2142097 - Los Angeles Chargers,DEF,LAC,OAK,OAK@LAC,4:05PM EST,11,5.6," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28718$nfl.g.2142097,Rod,Smith,nfl.p.28718$nfl.g.2142097 - Rod Smith,RB,OAK,LAC,OAK@LAC,4:05PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28658$nfl.g.2142097,Eric,Tomlinson,nfl.p.28658$nfl.g.2142097 - Eric Tomlinson,TE,OAK,LAC,OAK@LAC,4:05PM EST,10,0.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28014$nfl.g.2142097,Isaiah,Crowell,nfl.p.28014$nfl.g.2142097 - Isaiah Crowell,RB,OAK,LAC,OAK@LAC,4:05PM EST,10,10.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31969$nfl.g.2142097,Foster,Moreau,nfl.p.31969$nfl.g.2142097 - Foster Moreau,TE,OAK,LAC,OAK@LAC,4:05PM EST,10,5.3,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24963$nfl.g.2142097,Dwayne,Harris,nfl.p.24963$nfl.g.2142097 - Dwayne Harris,WR,OAK,LAC,OAK@LAC,4:05PM EST,10,0.4,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30284$nfl.g.2142097,Nathan,Peterman,nfl.p.30284$nfl.g.2142097 - Nathan Peterman,QB,OAK,LAC,OAK@LAC,4:05PM EST,20,4.9,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30420$nfl.g.2142097,Sean,Culkin,nfl.p.30420$nfl.g.2142097 - Sean Culkin,TE,LAC,OAK,OAK@LAC,4:05PM EST,10,0.6,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31161$nfl.g.2142097,Dylan,Cantrell,nfl.p.31161$nfl.g.2142097 - Dylan Cantrell,WR,LAC,OAK,OAK@LAC,4:05PM EST,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28574$nfl.g.2142097,Geremy,Davis,nfl.p.28574$nfl.g.2142097 - Geremy Davis,WR,LAC,OAK,OAK@LAC,4:05PM EST,10,1.1,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.25810$nfl.g.2142097,Travis,Benjamin,nfl.p.25810$nfl.g.2142097 - Travis Benjamin,WR,LAC,OAK,OAK@LAC,4:05PM EST,10,1.2,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31325$nfl.g.2142097,Andrew,Vollert,nfl.p.31325$nfl.g.2142097 - Andrew Vollert,TE,LAC,OAK,OAK@LAC,4:05PM EST,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.6405$nfl.g.2142133,Jason,Witten,nfl.p.6405$nfl.g.2142133 - Jason Witten,TE,DAL,PHI,DAL@PHI,4:25PM EST,13,7.3," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24851$nfl.g.2142133,Randall,Cobb,nfl.p.24851$nfl.g.2142133 - Randall Cobb,WR,DAL,PHI,DAL@PHI,4:25PM EST,15,8.2," "," "
