ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.6405,Jason,Witten,TE,LV,NE,LV@NE,1:00PM EDT,10,0.8," "," "
nfl.p.26416,Derek,Carrier,TE,LV,NE,LV@NE,1:00PM EDT,10,0.0," "," "
nfl.p.27564,Derek,Carr,QB,LV,NE,LV@NE,1:00PM EDT,20,17.6," "," "
nfl.p.28408,Nelson,Agholor,WR,LV,NE,LV@NE,1:00PM EDT,10,5.6," "," "
nfl.p.28592,Darren,Waller,TE,LV,NE,LV@NE,1:00PM EDT,18,15.0," "," "
nfl.p.29370,Devontae,Booker,RB,LV,NE,LV@NE,1:00PM EDT,10,3.8," "," "
nfl.p.30000,Jalen,Richard,RB,LV,NE,LV@NE,1:00PM EDT,10,5.3," "," "
nfl.p.30150,Zay,Jones,WR,LV,NE,LV@NE,1:00PM EDT,10,8.0," "," "
nfl.p.30284,Nathan,Peterman,QB,LV,NE,LV@NE,1:00PM EDT,20,0.0," "," "
nfl.p.31607,Rico,Gafford,WR,LV,NE,LV@NE,1:00PM EDT,10,4.5," "," "
nfl.p.31856,Josh,Jacobs,RB,LV,NE,LV@NE,1:00PM EDT,30,23.0," "," "
nfl.p.31969,Foster,Moreau,TE,LV,NE,LV@NE,1:00PM EDT,10,3.6," "," "
nfl.p.31981,Hunter,Renfrow,WR,LV,NE,LV@NE,1:00PM EDT,13,4.2," "," "
nfl.p.32344,Alec,Ingold,RB,LV,NE,LV@NE,1:00PM EDT,10,3.8," "," "
nfl.p.32682,Henry,Ruggs III,WR,LV,NE,LV@NE,1:00PM EDT,15,4.5,O," "
nfl.p.32751,Bryan,Edwards,WR,LV,NE,LV@NE,1:00PM EDT,10,3.3," "," "
nfl.p.6791,Ben,Watson,TE,NE,LV,LV@NE,1:00PM EDT,10,3.1," "," "
nfl.p.8930,Matthew,Slater,WR,NE,LV,LV@NE,1:00PM EDT,10,0.0," "," "
nfl.p.9496,Julian,Edelman,WR,NE,LV,LV@NE,1:00PM EDT,19,16.2," "," "
nfl.p.9547,Brian,Hoyer,QB,NE,LV,LV@NE,1:00PM EDT,20,6.3," "," "
nfl.p.24760,James,Develin,RB,NE,LV,LV@NE,1:00PM EDT,10,0.3," "," "
nfl.p.26813,Rex,Burkhead,RB,NE,LV,LV@NE,1:00PM EDT,13,5.1," "," "
nfl.p.27658,James,White,RB,NE,LV,LV@NE,1:00PM EDT,16,6.7,O," "
nfl.p.28730,Damiere,Byrd,WR,NE,LV,LV@NE,1:00PM EDT,12,5.1," "," "
nfl.p.29327,Cody,Kessler,QB,NE,LV,LV@NE,1:00PM EDT,20,0.0," "," "
nfl.p.31001,Sony,Michel,RB,NE,LV,LV@NE,1:00PM EDT,15,5.8," "," "
nfl.p.31220,Ryan,Izzo,TE,NE,LV,LV@NE,1:00PM EDT,10,3.0," "," "
nfl.p.31826,Jakob,Johnson,RB,NE,LV,LV@NE,1:00PM EDT,10,6.6," "," "
nfl.p.31864,N'Keal,Harry,WR,NE,LV,LV@NE,1:00PM EDT,16,7.8," "," "
nfl.p.31965,Jarrett,Stidham,QB,NE,LV,LV@NE,1:00PM EDT,20,-0.2,O," "
nfl.p.32231,Jakobi,Meyers,WR,NE,LV,LV@NE,1:00PM EDT,10,1.2," "," "
nfl.p.32761,Devin,Asiasi,TE,NE,LV,LV@NE,1:00PM EDT,10,0.0," "," "
nfl.p.32771,Dalton,Keene,TE,NE,LV,LV@NE,1:00PM EDT,10,0.0,O," "
nfl.t.13,Las Vegas,Raiders,DEF,LV,NE,LV@NE,1:00PM EDT,10,1.0," "," "
nfl.t.17,New England,Patriots,DEF,NE,LV,LV@NE,1:00PM EDT,16,8.5," "," "
nfl.p.24788,Cam,Newton,QB,NE,LV,LV@NE,1:00PM EDT,32,30.6," "," "
nfl.p.33028,J.J.,Taylor,RB,NE,LV,LV@NE,1:00PM EDT,10,1.8," "," "
nfl.p.28691,Tyrell,Williams,WR,LV,NE,LV@NE,1:00PM EDT,10,9.4,IR," "
nfl.p.31919,Damien,Harris,RB,NE,LV,LV@NE,1:00PM EDT,10,1.2,IR," "
nfl.p.30512,Quincy,Adeboyejo,WR,NE,LV,LV@NE,1:00PM EDT,10,0.0,IR," "
nfl.p.8263,Ted,Ginn Jr.,WR,CHI,ATL,CHI@ATL,1:00PM EDT,10,0.0," "," "
nfl.p.24070,Jimmy,Graham,TE,CHI,ATL,CHI@ATL,1:00PM EDT,13,6.2," "," "
nfl.p.25370,Patrick,Scales,TE,CHI,ATL,CHI@ATL,1:00PM EDT,10,0.0," "," "
nfl.p.25798,Nick,Foles,QB,CHI,ATL,CHI@ATL,1:00PM EDT,20,9.9," "," "
nfl.p.26652,Cordarrelle,Patterson,RB,CHI,ATL,CHI@ATL,1:00PM EDT,11,4.0," "," "
nfl.p.27174,Demetrius,Harris,TE,CHI,ATL,CHI@ATL,1:00PM EDT,10,0.0," "," "
nfl.p.27589,Allen,Robinson II,WR,CHI,ATL,CHI@ATL,1:00PM EDT,24,7.3," "," "
nfl.p.28234,Taylor,Gabriel,WR,CHI,ATL,CHI@ATL,1:00PM EDT,10,8.4," "," "
nfl.p.29666,J.P.,Holtz,TE,CHI,ATL,CHI@ATL,1:00PM EDT,10,1.8," "," "
nfl.p.30115,Mitchell,Trubisky,QB,CHI,ATL,CHI@ATL,1:00PM EDT,26,19.7," "," "
nfl.p.30232,Tarik,Cohen,RB,CHI,ATL,CHI@ATL,1:00PM EDT,13,4.4," "," "
