ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.9678,Chase,Daniel,QB,CHI,DET,CHI@DET,12:30PM EST,24,9.3," "," "
nfl.p.25370,Patrick,Scales,TE,CHI,DET,CHI@DET,12:30PM EST,10,0.0," "," "
nfl.p.26050,Bradley,Sowell,TE,CHI,DET,CHI@DET,12:30PM EST,10,3.4," "," "
nfl.p.26652,Cordarrelle,Patterson,WR,CHI,DET,CHI@DET,12:30PM EST,10,2.0," "," "
nfl.p.27589,Allen,Robinson II,WR,CHI,DET,CHI@DET,12:30PM EST,19,12.0," "," "
nfl.p.27789,Trey,Burton,TE,CHI,DET,CHI@DET,12:30PM EST,10,1.9,IR," "
nfl.p.28234,Taylor,Gabriel,WR,CHI,DET,CHI@DET,12:30PM EST,10,8.4,O," "
nfl.p.29666,J.P.,Holtz,TE,CHI,DET,CHI@DET,12:30PM EST,10,0.8," "," "
nfl.p.29913,Ben,Braunecker,TE,CHI,DET,CHI@DET,12:30PM EST,10,3.0,O," "
nfl.p.30115,Mitchell,Trubisky,QB,CHI,DET,CHI@DET,12:30PM EST,23,12.2," "," "
nfl.p.30158,Adam,Shaheen,TE,CHI,DET,CHI@DET,12:30PM EST,10,1.7,O," "
nfl.p.30232,Tarik,Cohen,RB,CHI,DET,CHI@DET,12:30PM EST,16,7.7," "," "
nfl.p.31021,Anthony,Miller,WR,CHI,DET,CHI@DET,12:30PM EST,13,4.3," "," "
nfl.p.31194,Javon,Wims,WR,CHI,DET,CHI@DET,12:30PM EST,10,2.5," "," "
nfl.p.31662,Ryan,Nall,RB,CHI,DET,CHI@DET,12:30PM EST,10,0.0," "," "
nfl.p.31905,David,Montgomery,RB,CHI,DET,CHI@DET,12:30PM EST,18,9.7," "," "
nfl.p.31958,Riley,Ridley,WR,CHI,DET,CHI@DET,12:30PM EST,10,0.0," "," "
nfl.p.9037,Danny,Amendola,WR,DET,CHI,CHI@DET,12:30PM EST,10,7.4," "," "
nfl.p.9265,Matthew,Stafford,QB,DET,CHI,CHI@DET,12:30PM EST,31,21.4,D," "
nfl.p.25876,Marvin,Jones Jr.,WR,DET,CHI,CHI@DET,12:30PM EST,18,13.3," "," "
nfl.p.27648,Logan,Thomas,TE,DET,CHI,CHI@DET,12:30PM EST,10,2.6," "," "
nfl.p.28548,Jesse,James,TE,DET,CHI,CHI@DET,12:30PM EST,10,1.3," "," "
nfl.p.29441,Jeff,Driskel,QB,DET,CHI,CHI@DET,12:30PM EST,24,20.5,Q," "
nfl.p.29650,J.D.,McKissic,RB,DET,CHI,CHI@DET,12:30PM EST,11,5.1," "," "
nfl.p.30023,Marvin,Hall,WR,DET,CHI,CHI@DET,12:30PM EST,10,5.2,Q," "
nfl.p.30209,Kenny,Golladay,WR,DET,CHI,CHI@DET,12:30PM EST,21,13.3," "," "
nfl.p.31840,T.J.,Hockenson,TE,DET,CHI,CHI@DET,12:30PM EST,10,5.4,Q," "
nfl.p.32018,Ty,Johnson,RB,DET,CHI,CHI@DET,12:30PM EST,10,2.9," "," "
nfl.p.32272,David,Blough,QB,DET,CHI,CHI@DET,12:30PM EST,20,0.0," "," "
nfl.t.3,Chicago,Bears,DEF,CHI,DET,CHI@DET,12:30PM EST,16,7.9," "," "
nfl.t.8,Detroit,Lions,DEF,DET,CHI,CHI@DET,12:30PM EST,11,5.5," "," "
nfl.p.31013,Kerryon,Johnson,RB,DET,CHI,CHI@DET,12:30PM EST,10,10.6,IR," "
nfl.p.25991,Jermaine,Kearse,WR,DET,CHI,CHI@DET,12:30PM EST,10,4.7,IR," "
nfl.p.31206,Bo,Scarbrough,RB,DET,CHI,CHI@DET,12:30PM EST,16,9.6," "," "
nfl.p.32576,Jesper,Horsted,TE,CHI,DET,CHI@DET,12:30PM EST,10,0.9," "," "
nfl.p.31207,Nick,Bawden,RB,DET,CHI,CHI@DET,12:30PM EST,10,0.6,IR," "
nfl.p.32056,Isaac,Nauta,TE,DET,CHI,CHI@DET,12:30PM EST,10,0.0," "," "
nfl.p.7241,Frank,Gore,RB,BUF,DAL,BUF@DAL,4:30PM EST,14,7.1," "," "
nfl.p.24063,Andre,Roberts,WR,BUF,DAL,BUF@DAL,4:30PM EST,10,0.3," "," "
nfl.p.24946,Lee,Smith,TE,BUF,DAL,BUF@DAL,4:30PM EST,10,1.6," "," "
nfl.p.25158,Patrick,DiMarco,RB,BUF,DAL,BUF@DAL,4:30PM EST,10,1.2," "," "
nfl.p.26060,Cole,Beasley,WR,BUF,DAL,BUF@DAL,4:30PM EST,13,9.4," "," "
nfl.p.26721,Matt,Barkley,QB,BUF,DAL,BUF@DAL,4:30PM EST,20,4.1," "," "
nfl.p.27619,John,Brown,WR,BUF,DAL,BUF@DAL,4:30PM EST,21,13.2," "," "
nfl.p.28223,Senorise,Perry,RB,BUF,DAL,BUF@DAL,4:30PM EST,10,0.0," "," "
nfl.p.28424,T.J.,Yeldon,RB,BUF,DAL,BUF@DAL,4:30PM EST,10,5.8," "," "
nfl.p.28473,Tyler,Kroft,TE,BUF,DAL,BUF@DAL,4:30PM EST,10,1.8," "," "
nfl.p.29973,Duke,Williams,WR,BUF,DAL,BUF@DAL,4:30PM EST,10,4.9," "," "
