ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.8285,Greg,Olsen,TE,CAR,ATL,CAR@ATL,1:00PM EST,16,7.6,O," "
nfl.p.25828,Jarius,Wright,WR,CAR,ATL,CAR@ATL,1:00PM EST,10,2.7," "," "
nfl.p.27618,Donte,Moncrief,WR,CAR,ATL,CAR@ATL,1:00PM EST,10,1.0," "," "
nfl.p.28365,Chris,Manhertz,TE,CAR,ATL,CAR@ATL,1:00PM EST,10,4.1," "," "
nfl.p.28514,Mike,Davis,RB,CAR,ATL,CAR@ATL,1:00PM EST,10,1.6," "," "
nfl.p.28800,DeAndrew,White,WR,CAR,ATL,CAR@ATL,1:00PM EST,10,0.3," "," "
nfl.p.30121,Christian,McCaffrey,RB,CAR,ATL,CAR@ATL,1:00PM EST,44,26.4," "," "
nfl.p.30153,Curtis,Samuel,WR,CAR,ATL,CAR@ATL,1:00PM EST,19,10.0," "," "
nfl.p.30305,Alex,Armah,RB,CAR,ATL,CAR@ATL,1:00PM EST,10,1.4," "," "
nfl.p.30959,Brandon,Zylstra,WR,CAR,ATL,CAR@ATL,1:00PM EST,10,0.0," "," "
nfl.p.30994,DJ,Moore,WR,CAR,ATL,CAR@ATL,1:00PM EST,29,13.3," "," "
nfl.p.31071,Ian,Thomas,TE,CAR,ATL,CAR@ATL,1:00PM EST,10,1.1," "," "
nfl.p.31301,Kyle,Allen,QB,CAR,ATL,CAR@ATL,1:00PM EST,26,14.7," "," "
nfl.p.31302,Reggie,Bonnafon,RB,CAR,ATL,CAR@ATL,1:00PM EST,10,2.8," "," "
nfl.p.31932,Will,Grier,QB,CAR,ATL,CAR@ATL,1:00PM EST,20,0.0," "," "
nfl.p.31986,Jordan,Scarlett,RB,CAR,ATL,CAR@ATL,1:00PM EST,10,0.3,IR," "
nfl.p.6849,Matt,Schaub,QB,ATL,CAR,CAR@ATL,1:00PM EST,20,8.5," "," "
nfl.p.8780,Matt,Ryan,QB,ATL,CAR,CAR@ATL,1:00PM EST,32,18.9," "," "
nfl.p.24793,Julio,Jones,WR,ATL,CAR,CAR@ATL,1:00PM EST,34,13.7," "," "
nfl.p.24891,Luke,Stocker,TE,ATL,CAR,CAR@ATL,1:00PM EST,10,0.8," "," "
nfl.p.26805,Kenjon,Barner,RB,ATL,CAR,CAR@ATL,1:00PM EST,10,1.3," "," "
nfl.p.27631,Devonta,Freeman,RB,ATL,CAR,CAR@ATL,1:00PM EST,20,10.7," "," "
nfl.p.28141,Keith,Smith,RB,ATL,CAR,CAR@ATL,1:00PM EST,10,0.2," "," "
nfl.p.28495,Justin,Hardy,WR,ATL,CAR,CAR@ATL,1:00PM EST,10,2.6," "," "
nfl.p.29315,Austin,Hooper,TE,ATL,CAR,CAR@ATL,1:00PM EST,24,14.1," "," "
nfl.p.30269,Brian,Hill,RB,ATL,CAR,CAR@ATL,1:00PM EST,14,6.6," "," "
nfl.p.30996,Calvin,Ridley,WR,ATL,CAR,CAR@ATL,1:00PM EST,25,12.5," "," "
nfl.p.31164,Russell,Gage,WR,ATL,CAR,CAR@ATL,1:00PM EST,15,4.7," "," "
nfl.p.31347,Christian,Blake,WR,ATL,CAR,CAR@ATL,1:00PM EST,10,3.6," "," "
nfl.p.31641,Brandon,Powell,WR,ATL,CAR,CAR@ATL,1:00PM EST,10,3.1," "," "
nfl.p.31749,Jaeden,Graham,TE,ATL,CAR,CAR@ATL,1:00PM EST,10,2.8," "," "
nfl.p.31984,Qadree,Ollison,RB,ATL,CAR,CAR@ATL,1:00PM EST,14,8.1," "," "
nfl.p.32123,Olamide,Zaccheaus,WR,ATL,CAR,CAR@ATL,1:00PM EST,10,0.0," "," "
nfl.p.31336,Kurt,Benkert,QB,ATL,CAR,CAR@ATL,1:00PM EST,20,0.0,IR," "
nfl.t.29,Carolina,Panthers,DEF,CAR,ATL,CAR@ATL,1:00PM EST,17,8.2," "," "
nfl.t.1,Atlanta,Falcons,DEF,ATL,CAR,CAR@ATL,1:00PM EST,11,4.2," "," "
nfl.p.31478,Marcus,Baugh,TE,CAR,ATL,CAR@ATL,1:00PM EST,10,0.0,IR," "
nfl.p.31096,Ito,Smith,RB,ATL,CAR,CAR@ATL,1:00PM EST,10,4.4,IR," "
nfl.p.30888,Alex,Gray,TE,ATL,CAR,CAR@ATL,1:00PM EST,10,0.0,IR," "
nfl.p.24788,Cam,Newton,QB,CAR,ATL,CAR@ATL,1:00PM EST,20,8.8,IR," "
nfl.p.25178,Chris,Hogan,WR,CAR,ATL,CAR@ATL,1:00PM EST,10,1.0,IR," "
nfl.p.32094,Carson,Meier,TE,ATL,CAR,CAR@ATL,1:00PM EST,10,0.0," "," "
nfl.p.24815,Mark,Ingram II,RB,BAL,BUF,BAL@BUF,1:00PM EST,27,15.1," "," "
nfl.p.25712,Robert,Griffin III,QB,BAL,BUF,BAL@BUF,1:00PM EST,20,2.2," "," "
nfl.p.27652,De'Anthony,Thomas,WR,BAL,BUF,BAL@BUF,1:00PM EST,10,0.2," "," "
nfl.p.28026,Willie,Snead IV,WR,BAL,BUF,BAL@BUF,1:00PM EST,10,5.4," "," "
nfl.p.28214,Seth,Roberts,WR,BAL,BUF,BAL@BUF,1:00PM EST,10,3.1,Q," "
nfl.p.28559,Nick,Boyle,TE,BAL,BUF,BAL@BUF,1:00PM EST,10,3.9," "," "
nfl.p.29341,Chris,Moore,WR,BAL,BUF,BAL@BUF,1:00PM EST,10,0.9," "," "
