ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nfl.p.9037,Danny,Amendola,WR,DET,DEN,DET@DEN,4:05PM EST,16,7.6," "," "
nfl.p.9265,Matthew,Stafford,QB,DET,DEN,DET@DEN,4:05PM EST,31,21.4,IR," "
nfl.p.25876,Marvin,Jones Jr.,WR,DET,DEN,DET@DEN,4:05PM EST,10,12.5,IR," "
nfl.p.27648,Logan,Thomas,TE,DET,DEN,DET@DEN,4:05PM EST,10,2.2," "," "
nfl.p.28548,Jesse,James,TE,DET,DEN,DET@DEN,4:05PM EST,10,1.7," "," "
nfl.p.29650,J.D.,McKissic,RB,DET,DEN,DET@DEN,4:05PM EST,11,4.7," "," "
nfl.p.30209,Kenny,Golladay,WR,DET,DEN,DET@DEN,4:05PM EST,25,13.7," "," "
nfl.p.30822,Kyle,Sloter,QB,DET,DEN,DET@DEN,4:05PM EST,20,0.0," "," "
nfl.p.31206,Bo,Scarbrough,RB,DET,DEN,DET@DEN,4:05PM EST,15,8.8," "," "
nfl.p.31651,Chris,Lacy,WR,DET,DEN,DET@DEN,4:05PM EST,10,2.6," "," "
nfl.p.32018,Ty,Johnson,RB,DET,DEN,DET@DEN,4:05PM EST,11,2.8," "," "
nfl.p.32056,Isaac,Nauta,TE,DET,DEN,DET@DEN,4:05PM EST,10,1.2," "," "
nfl.p.32272,David,Blough,QB,DET,DEN,DET@DEN,4:05PM EST,21,12.9," "," "
nfl.p.31013,Kerryon,Johnson,RB,DET,DEN,DET@DEN,4:05PM EST,15,10.6," "," "
nfl.p.28279,Diontae,Spencer,WR,DEN,DET,DET@DEN,4:05PM EST,10,0.4," "," "
nfl.p.28480,Jeff,Heuerman,TE,DEN,DET,DET@DEN,4:05PM EST,10,3.2," "," "
nfl.p.29370,Devontae,Booker,RB,DEN,DET,DET@DEN,4:05PM EST,10,1.0," "," "
nfl.p.29435,Brandon,Allen,QB,DEN,DET,DET@DEN,4:05PM EST,20,11.5," "," "
nfl.p.30511,Tim,Patrick,WR,DEN,DET,DET@DEN,4:05PM EST,12,3.4," "," "
nfl.p.30901,Fred,Brown,WR,DEN,DET,DET@DEN,4:05PM EST,10,0.6," "," "
nfl.p.31010,Courtland,Sutton,WR,DEN,DET,DET@DEN,4:05PM EST,24,12.3," "," "
nfl.p.31041,Royce,Freeman,RB,DEN,DET,DET@DEN,4:05PM EST,16,7.8," "," "
nfl.p.31083,DaeSean,Hamilton,WR,DEN,DET,DET@DEN,4:05PM EST,10,2.3," "," "
nfl.p.31126,Troy,Fumagalli,TE,DEN,DET,DET@DEN,4:05PM EST,10,2.3," "," "
nfl.p.31379,Phillip,Lindsay,RB,DEN,DET,DET@DEN,4:05PM EST,22,11.2," "," "
nfl.p.31852,Noah,Fant,TE,DEN,DET,DET@DEN,4:05PM EST,15,6.3," "," "
nfl.p.31874,Drew,Lock,QB,DEN,DET,DET@DEN,4:05PM EST,30,15.4," "," "
nfl.p.32019,Juwann,Winfree,WR,DEN,DET,DET@DEN,4:05PM EST,10,0.0,IR," "
nfl.p.32225,Andrew,Beck,TE,DEN,DET,DET@DEN,4:05PM EST,10,1.6," "," "
nfl.t.8,Detroit,Lions,DEF,DET,DEN,DET@DEN,4:05PM EST,11,4.9," "," "
nfl.t.7,Denver,Broncos,DEF,DEN,DET,DET@DEN,4:05PM EST,13,6.6," "," "
nfl.p.32016,Travis,Fulgham,WR,DET,DEN,DET@DEN,4:05PM EST,10,0.0," "," "
nfl.p.29441,Jeff,Driskel,QB,DET,DEN,DET@DEN,4:05PM EST,20,20.5,IR," "
nfl.p.25991,Jermaine,Kearse,WR,DET,DEN,DET@DEN,4:05PM EST,10,4.7,IR," "
nfl.p.29410,Andy,Janovich,RB,DEN,DET,DET@DEN,4:05PM EST,10,2.6,IR," "
nfl.p.8795,Joe,Flacco,QB,DEN,DET,DET@DEN,4:05PM EST,20,11.2,IR," "
nfl.p.26822,Theo,Riddick,RB,DEN,DET,DET@DEN,4:05PM EST,10,6.1,IR," "
nfl.p.30258,Jake,Butt,TE,DEN,DET,DET@DEN,4:05PM EST,10,4.2,IR," "
nfl.p.32191,Austin,Fort,TE,DEN,DET,DET@DEN,4:05PM EST,10,0.0,IR," "
nfl.p.31840,T.J.,Hockenson,TE,DET,DEN,DET@DEN,4:05PM EST,10,5.4,IR," "
nfl.p.30023,Marvin,Hall,WR,DET,DEN,DET@DEN,4:05PM EST,10,5.2,IR," "
nfl.p.31207,Nick,Bawden,RB,DET,DEN,DET@DEN,4:05PM EST,10,0.6,IR," "
nfl.p.32473,Wes,Hills,RB,DET,DEN,DET@DEN,4:05PM EST,14,15.2,O," "
nfl.p.26416,Derek,Carrier,TE,OAK,LAC,OAK@LAC,4:05PM EST,10,2.9," "," "
nfl.p.26696,Mike,Glennon,QB,OAK,LAC,OAK@LAC,4:05PM EST,20,2.1,O," "
nfl.p.27564,Derek,Carr,QB,OAK,LAC,OAK@LAC,4:05PM EST,22,15.1," "," "
nfl.p.28592,Darren,Waller,TE,OAK,LAC,OAK@LAC,4:05PM EST,18,11.2," "," "
nfl.p.28691,Tyrell,Williams,WR,OAK,LAC,OAK@LAC,4:05PM EST,14,9.3," "," "
nfl.p.29377,DeAndre,Washington,RB,OAK,LAC,OAK@LAC,4:05PM EST,16,4.9," "," "
nfl.p.30000,Jalen,Richard,RB,OAK,LAC,OAK@LAC,4:05PM EST,10,3.8," "," "
nfl.p.30150,Zay,Jones,WR,OAK,LAC,OAK@LAC,4:05PM EST,10,2.4," "," "
nfl.p.30165,DeShone,Kizer,QB,OAK,LAC,OAK@LAC,4:05PM EST,20,2.5," "," "
nfl.p.31198,Marcell,Ateman,WR,OAK,LAC,OAK@LAC,4:05PM EST,10,2.7," "," "
nfl.p.31607,Rico,Gafford,WR,OAK,LAC,OAK@LAC,4:05PM EST,10,11.4," "," "
nfl.p.31856,Josh,Jacobs,RB,OAK,LAC,OAK@LAC,4:05PM EST,29,14.0,O," "
nfl.p.31981,Hunter,Renfrow,WR,OAK,LAC,OAK@LAC,4:05PM EST,11,6.3," "," "
nfl.p.32342,Keelan,Doss,WR,OAK,LAC,OAK@LAC,4:05PM EST,10,3.1,O," "
nfl.p.32344,Alec,Ingold,RB,OAK,LAC,OAK@LAC,4:05PM EST,10,1.5," "," "
nfl.p.6763,Philip,Rivers,QB,LAC,OAK,OAK@LAC,4:05PM EST,28,16.2," "," "
nfl.p.24834,Lance,Kendricks,TE,LAC,OAK,OAK@LAC,4:05PM EST,10,1.6," "," "
nfl.p.24967,Tyrod,Taylor,QB,LAC,OAK,OAK@LAC,4:05PM EST,25,2.1," "," "
nfl.p.24991,Virgil,Green,TE,LAC,OAK,OAK@LAC,4:05PM EST,10,1.9," "," "
nfl.p.26699,Keenan,Allen,WR,LAC,OAK,OAK@LAC,4:05PM EST,27,13.0," "," "
nfl.p.28403,Melvin,Gordon III,RB,LAC,OAK,OAK@LAC,4:05PM EST,21,11.9," "," "
nfl.p.29269,Hunter,Henry,TE,LAC,OAK,OAK@LAC,4:05PM EST,19,10.3," "," "
nfl.p.29432,Derek,Watt,RB,LAC,OAK,OAK@LAC,4:05PM EST,10,1.1," "," "
nfl.p.30061,Troymaine,Pope,RB,LAC,OAK,OAK@LAC,4:05PM EST,10,1.3," "," "
nfl.p.30120,Mike,Williams,WR,LAC,OAK,OAK@LAC,4:05PM EST,18,9.6," "," "
nfl.p.30423,Austin,Ekeler,RB,LAC,OAK,OAK@LAC,4:05PM EST,25,17.2," "," "
nfl.p.30430,Andre,Patton,WR,LAC,OAK,OAK@LAC,4:05PM EST,10,1.0," "," "
