,Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,QB,TE,RB,DEF,WR,player,key
0,nfl.t.22,Arizona,Cardinals,DEF,ARI,BAL,ARI@BAL,1:00PM EDT,12,7.0, ,No,0,0,0,1,0,ARI,ARI
1,nfl.t.33,Baltimore,Ravens,DEF,BAL,ARI,ARI@BAL,1:00PM EDT,20,13.0, ,No,0,0,0,1,0,BAL,BAL
2,nfl.p.6762,Larry,Fitzgerald,WR,ARI,BAL,ARI@BAL,1:00PM EDT,17,21.3, ,No,0,0,0,0,1,LarryFitzgerald,LARRYFITZGERALD
3,nfl.p.24961,Charles,Clay,TE,ARI,BAL,ARI@BAL,1:00PM EDT,10,1.0, ,No,0,1,0,0,0,CharlesClay,CHARLESCLAY
4,nfl.p.28443,Maxx,Williams,TE,ARI,BAL,ARI@BAL,1:00PM EDT,10,2.0, ,No,0,1,0,0,0,MaxxWilliams,MAXXWILLIAMS
5,nfl.p.28474,David,Johnson,RB,ARI,BAL,ARI@BAL,1:00PM EDT,25,22.7, ,No,0,0,1,0,0,DavidJohnson,DAVIDJOHNSON
6,nfl.p.28535,Brett,Hundley,QB,ARI,BAL,ARI@BAL,1:00PM EDT,20,0.0, ,No,1,0,0,0,0,BrettHundley,BRETTHUNDLEY
7,nfl.p.28730,Damiere,Byrd,WR,ARI,BAL,ARI@BAL,1:00PM EDT,10,6.2, ,No,0,0,0,0,1,DamiereByrd,DAMIEREBYRD
8,nfl.p.29872,D.J.,Foster,RB,ARI,BAL,ARI@BAL,1:00PM EDT,10,0.0, ,No,0,0,1,0,0,D.J.Foster,DJFOSTER
9,nfl.p.31017,Christian,Kirk,WR,ARI,BAL,ARI@BAL,1:00PM EDT,13,8.4, ,No,0,0,0,0,1,ChristianKirk,CHRISTIANKIRK
10,nfl.p.31104,Chase,Edmonds,RB,ARI,BAL,ARI@BAL,1:00PM EDT,10,0.5, ,No,0,0,1,0,0,ChaseEdmonds,CHASEEDMONDS
11,nfl.p.31320,Trent,Sherfield,WR,ARI,BAL,ARI@BAL,1:00PM EDT,10,0.0, ,No,0,0,0,0,1,TrentSherfield,TRENTSHERFIELD
12,nfl.p.31833,Kyler,Murray,QB,ARI,BAL,ARI@BAL,1:00PM EDT,23,22.6, ,No,1,0,0,0,0,KylerMurray,KYLERMURRAY
13,nfl.p.31894,Andy,Isabella,WR,ARI,BAL,ARI@BAL,1:00PM EDT,10,0.0, ,No,0,0,0,0,1,AndyIsabella,ANDYISABELLA
15,nfl.p.32006,KeeSean,Johnson,WR,ARI,BAL,ARI@BAL,1:00PM EDT,11,7.1, ,No,0,0,0,0,1,KeeSeanJohnson,KEESEANJOHNSON
16,nfl.p.24815,Mark,Ingram II,RB,BAL,ARI,ARI@BAL,1:00PM EDT,23,22.7, ,No,0,0,1,0,0,MarkIngram II,MARKINGRAMII
17,nfl.p.25712,Robert,Griffin III,QB,BAL,ARI,ARI@BAL,1:00PM EDT,20,7.1, ,No,1,0,0,0,0,RobertGriffin III,ROBERTGRIFFINIII
