"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","7","@IND","18.3","42","0","0","0","0","0","0","18.6001","74.5741","0.4007","7.4139","5.898","47.3061","0.1436","0.1587","0.0793","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Saquon Barkley","NYG","rb","11","@WAS","17.7","29","0","0","0","0","0","0","18.0286","83.889","0.5496","5.415","4.1464","31.3164","0.1417","0.0484","0.0242","0.0178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Chris Carson","SEA","rb","11","ARZ","17.4","35","0","0","0","0","0","0","20.2463","88.2165","0.7927","2.9268","2.3878","18.2078","0.1468","0.1581","0.079","0.0298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Alvin Kamara","NO","rb","9","@TEN","17.3","25","0","0","0","0","0","0","13.0179","56.7533","0.5727","6.5762","5.4525","42.3924","0.2011","0.0628","0.0314","0.0444","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Leonard Fournette","JAX","rb","10","@ATL","17","27","0","0","0","0","0","0","19.1182","70.965","0.5108","5.8161","4.8045","36.137","0.1568","0.0995","0.0497","0.0067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Michael Thomas","NO","wr","9","@TEN","18","38","0","0","0","0","0","0","0","0","0","10.9514","8.4884","102.9288","0.577","0.0345","0.0173","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Ezekiel Elliott","DAL","rb","8","@PHI","16.4","30","0","0","0","0","0","0","20.0544","84.4602","0.5869","3.7872","2.9932","24.6761","0.1128","0.2156","0.1078","0.0028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Devonta Freeman","ATL","rb","9","JAX","16.3","22","0","0","0","0","0","0","16.7166","71.3852","0.6991","4.0236","3.4054","25.031","0.1541","0.1802","0.0901","0.0089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Julio Jones","ATL","wr","9","JAX","17.4","30","0","0","0","0","0","0","0","0","0","9.7542","6.7413","102.2412","0.6355","0.0537","0.0269","0.0074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Miles Sanders","PHI","rb","10","DAL","15.3","17","0","0","0","0","0","0","15.9765","70.239","0.5862","4.2963","3.3794","23.7536","0.12","0.0725","0.0362","0.0131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
