"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Davante Adams","GB","wr","11","@SF","19","0","0","0","0","0","0","0","0","0","10.7514","7.278","85.3411","0.533","0.0594","0.0297","0.0177","9.3915","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Travis Kelce","KC","te","12","TEN","17.4","0","0","0","0","0","0","0","0","0","8.4576","6.0149","76.8157","0.6283","0.0711","0.0356","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","George Kittle","SF","te","4","GB","17.4","0","0","0","0","0","0","0","0","0","8.7747","6.5803","79.4726","0.4767","0.0309","0.0155","0.0168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Tyreek Hill","KC","wr","12","TEN","16.8","0","0","0","0","0","0","0.9826","6.5455","0.0403","7.5869","5.0983","72.451","0.5854","0.0102","0.0051","0.0052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Aaron Jones","GB","rb","11","@SF","16","0","0","0","0","0","0","14.0762","64.8878","0.6471","3.8293","3.0424","20.994","0.0884","0.0768","0.0384","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Derrick Henry","TEN","rb","11","@KC","15.6","0","0","0","0","0","0","18.5231","88.8963","0.619","1.9386","1.4998","12.4507","0.0498","0.188","0.094","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Damien Williams","KC","rb","12","TEN","14.8","0","0","0","0","0","0","13.115","54.3452","0.4653","4.1279","3.3065","23.5906","0.1567","0.0942","0.0471","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Deebo Samuel","SF","wr","4","GB","13.2","0","0","0","0","0","0","1.1336","8.1859","0.0438","6.2351","4.5098","54.6366","0.3532","0.0478","0.0239","0.0154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","A.J. Brown","TEN","wr","11","@KC","12.8","0","0","0","0","0","0","0.267","2.0604","0.0063","6.9728","4.1212","62.0348","0.3721","0.0311","0.0155","0.0165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Emmanuel Sanders","SF","wr","4","GB","12.2","0","0","0","0","0","0","0.1661","1.0981","0.0063","6.6388","4.5648","55.0625","0.3262","0.0104","0.0052","0.0132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Tevin Coleman","SF","rb","4","GB","9.4","0","0","0","0","0","0","10.931","50.1397","0.3816","1.4171","1.0602","7.7592","0.0428","0.0501","0.0251","0.0008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Raheem Mostert","SF","rb","4","GB","9.4","0","0","0","0","0","0","9.2004","44.787","0.4066","1.6921","1.3017","9.1329","0.0525","0.085","0.0425","0.0033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Allen Lazard","GB","wr","11","@SF","9.1","0","0","0","0","0","0","0.259","1.773","0.0049","4.9771","3.3645","43.6112","0.1939","0.0159","0.0079","0.0068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Sammy Watkins","KC","wr","12","TEN","9","0","0","0","0","0","0","0.1931","1.2458","0.007","4.8683","3.142","38.3034","0.3022","0.0425","0.0213","0.0163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Tajae Sharpe","TEN","wr","11","@KC","8.5","0","0","0","0","0","0","0","0","0","5.4509","3.0829","40.8352","0.2195","0.0123","0.0062","0.0126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Jonnu Smith","TEN","te","11","@KC","8.8","0","0","0","0","0","0","0.26","2.0875","0.0058","4.792","3.3831","36.3106","0.2633","0.0224","0.0112","0.0116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Corey Davis","TEN","wr","11","@KC","7","0","0","0","0","0","0","0","0","0","4.6889","2.7295","33.7848","0.1473","0.026","0.013","0.0065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Kendrick Bourne","SF","wr","4","GB","6.6","0","0","0","0","0","0","0","0","0","3.4701","2.3636","29.3063","0.2201","0.0156","0.0078","0.0081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Jamaal Williams","GB","rb","11","@SF","6.4","0","0","0","0","0","0","4.5902","17.7597","0.1304","2.5233","2.0639","14.6627","0.0596","0.0147","0.0074","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
