opponent,over_under_line,schedule_season,schedule_week,team,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite
ARI,38,1994,17,ATL,DOME,72.0,0.0,-3.0,0
ARI,38,1999,17,ATL,DOME,72.0,0.0,2.0,1
ARI,44,2004,3,ATL,DOME,72.0,0.0,11.0,1
ARI,42,2006,4,ATL,DOME,72.0,0.0,7.5,1
ARI,43.5,2010,2,ATL,DOME,72.0,0.0,7.0,1
ARI,44,2012,11,ATL,DOME,72.0,0.0,9.5,1
ARI,45,2014,13,ATL,DOME,72.0,0.0,-1.5,0
ARI,49,2016,12,ATL,DOME,72.0,0.0,4.0,1
ARI,43.5,2018,15,ATL,DOME,72.0,0.0,10.0,1
ARI,40,1997,13,BAL,,48.0,3.0,4.0,1
ARI,35.5,2007,3,BAL,,76.0,6.0,7.0,1
ARI,43,2011,8,BAL,,63.0,9.0,11.5,1
ARI,,2019,2,BAL,,,,,0
ARI,33.5,2004,8,BUF,,57.0,24.0,4.5,1
ARI,48,2016,3,BUF,,62.0,1.0,-5.0,0
ARI,38.5,1995,12,CAR,,55.0,6.0,0.0,0
ARI,39.5,2001,16,CAR,,36.0,7.0,1.0,1
ARI,35,2002,5,CAR,,71.0,7.0,5.0,1
ARI,38,2004,11,CAR,,61.0,4.0,3.0,1
ARI,43,2008,8,CAR,,54.0,4.0,5.5,1
ARI,37.5,2010,15,CAR,,42.0,6.0,2.5,1
ARI,45.5,2016,8,CAR,,80.0,4.0,2.5,1
ARI,39.5,2001,5,CHI,,54.0,11.0,7.0,1
ARI,36,2003,13,CHI,,42.0,14.0,4.5,1
ARI,44.5,2009,9,CHI,,62.0,7.0,3.0,1
ARI,46,2015,2,CHI,,69.0,3.0,-2.0,0
ARI,42.5,1997,1,CIN,,71.0,4.0,7.5,1
ARI,38.5,2000,14,CIN,,28.0,15.0,4.0,1
ARI,49.5,2007,11,CIN,,42.0,7.0,3.5,1
ARI,41,2011,16,CIN,,41.0,8.0,4.0,1
ARI,,2019,5,CIN,,,,,0
ARI,35.5,1994,3,CLE,,65.0,11.0,3.0,1
ARI,37.5,2003,11,CLE,,45.0,7.0,5.0,1
ARI,46,2015,8,CLE,,63.0,17.0,-7.0,0
ARI,37.5,1994,6,DAL,,61.0,14.0,12.5,1
