season,week,team_name,team_name_games,opponent,fantasy_points,points_allowed_passing,points_allowed_receiving,points_allowed_return_team,points_allowed_rushing,points_allowed_total,points_scored
2013,1,ARZ,ARI,LAR,22.0,18.96,53.40000000000001,0.0,4.700000000000003,77.06000000000002,37.0
2013,1,ATL,ATL,NO,20.0,21.28,60.7,0.0,7.800000000000002,89.78,35.0
2013,1,BLT,BAL,DEN,54.0,46.48,99.7,0.0,6.500000000000001,152.68,61.0
2013,1,BUF,BUF,NE,20.0,18.52,55.3,0.0,11.8,85.61999999999998,35.0
2013,1,CAR,CAR,SEA,13.0,16.8,50.49999999999999,0.0,5.0,72.3,18.0
2013,1,CHI,CHI,CIN,25.0,17.28,49.2,0.0,12.3,78.78,33.0
2013,1,CIN,CIN,CHI,18.0,16.68,46.7,0.0,14.1,77.47999999999998,36.0
2013,1,CLV,CLE,MIA,17.0,13.88,45.2,0.0,8.0,67.08,29.0
2013,1,DAL,DAL,NYG,40.0,31.0,82.5,0.0,1.0000000000000002,114.5,43.0
2013,1,DEN,DEN,BAL,24.0,20.48,65.2,0.0,11.8,97.48,69.0
2013,1,DET,DET,MIN,16.0,10.44,38.6,0.0,20.5,69.54,36.0
2013,1,GB,GB,SF,28.0,28.48,72.69999999999997,0.0,15.000000000000002,116.18,52.0
2013,1,HST,HOU,LAC,30.0,22.8,50.50000000000001,0.0,8.0,81.30000000000003,46.0
2013,1,IND,IND,OAK,17.0,10.68,37.2,0.0,23.1,70.97999999999998,29.0
2013,1,JAX,JAX,KC,20.0,14.92,39.8,0.0,16.099999999999998,70.82,22.0
2013,1,KC,KC,JAX,8.0,4.2799999999999985,25.200000000000006,0.0,7.1,36.58000000000001,12.0
2013,1,MIA,MIA,CLE,19.0,12.56,47.9,0.0,4.7,65.16,16.0
2013,1,MIN,MIN,DET,24.0,21.28,59.7,0.0,18.200000000000006,99.18,40.0
2013,1,NE,NE,BUF,22.0,14.0,32.0,0.0,9.6,55.6,27.0
2013,1,NO,NO,ATL,21.0,19.16,50.9,0.0,8.8,78.86,29.0
2013,1,NYG,NYG,DAL,24.0,17.52,56.30000000000001,0.0,4.6,78.42000000000002,48.0
2013,1,NYJ,NYJ,TB,16.0,11.4,34.49999999999999,0.0,9.7,55.59999999999999,23.0
2013,1,OAK,OAK,IND,18.0,15.12,38.80000000000001,0.0,18.700000000000006,72.62000000000002,27.0
2013,1,PHI,PHI,WAS,25.0,19.16,59.90000000000001,0.0,9.4,88.46000000000002,33.0
2013,1,PIT,PIT,TEN,10.0,5.0,16.0,0.0,17.2,38.2,22.0
2013,1,SD,LAC,HOU,30.0,24.84,69.60000000000001,0.0,12.0,106.44,49.0
2013,1,SEA,SEA,CAR,16.0,9.0,24.5,0.0,9.4,42.9,13.0
2013,1,SF,SF,GB,26.0,24.32,61.8,0.0,10.300000000000002,96.42000000000002,46.0
2013,1,SL,LAR,ARI,29.0,20.08,57.7,0.0,6.6,84.38,30.0
2013,1,TB,TB,NYJ,20.0,13.24,43.6,0.0,5.000000000000001,61.84,22.0
2013,1,TEN,TEN,PIT,14.0,10.64,35.60000000000001,0.0,-0.8999999999999999,45.34000000000001,7.0
2013,1,WAS,WAS,PHI,20.0,16.12,37.8,0.0,36.3,90.22,43.0
2013,2,ARZ,ARI,DET,24.0,19.12,51.8,0.0,2.8999999999999995,73.82000000000002,21.0
2013,2,ATL,ATL,LAR,24.0,25.08,69.19999999999999,0.0,6.9,101.18,36.0
2013,2,BLT,BAL,CLE,8.0,9.32,34.300000000000004,0.0,6.500000000000003,50.12000000000001,12.0
2013,2,BUF,BUF,CAR,23.0,16.16,45.39999999999999,0.0,12.5,74.05999999999997,29.0
2013,2,CAR,CAR,BUF,19.0,14.84,49.1,0.0,18.9,82.84,34.0
2013,2,CHI,CHI,MIN,18.0,12.08,36.7,6.0,10.3,65.08,42.0
2013,2,CIN,CIN,PIT,15.0,13.04,39.1,0.0,4.4,56.54,16.0
2013,2,CLV,CLE,BAL,17.0,12.44,38.1,0.0,13.9,64.44,14.0
2013,2,DAL,DAL,KC,20.0,16.92,44.8,0.0,11.4,73.12,23.0
2013,2,DEN,DEN,NYG,26.0,14.48,56.20000000000001,0.0,8.3,78.98000000000002,35.0
2013,2,DET,DET,ARI,14.0,13.6,44.00000000000001,0.0,14.7,72.3,37.0
2013,2,GB,GB,WAS,22.0,23.8,63.0,0.0,10.8,97.6,44.0
2013,2,HST,HOU,TEN,18.0,13.92,35.30000000000001,0.0,9.9,59.12000000000001,36.0
2013,2,IND,IND,MIA,17.0,16.759999999999998,49.40000000000001,0.0,16.1,82.25999999999998,30.0
2013,2,JAX,JAX,OAK,16.0,5.04,20.1,0.0,20.6,45.74,25.0
2013,2,KC,KC,DAL,17.0,15.92,48.8,0.0,1.7,66.42,28.0
2013,2,MIA,MIA,IND,20.0,15.84,50.6,0.0,17.3,83.74,26.0
2013,2,MIN,MIN,CHI,41.0,21.68,60.7,0.0,8.700000000000001,91.08,31.0
2013,2,NE,NE,NYJ,17.0,5.5600000000000005,26.9,0.0,16.9,49.36,16.0
2013,2,NO,NO,TB,17.0,8.0,23.0,0.0,14.0,45.0,14.0
2013,2,NYG,NYG,DEN,26.0,20.28,55.7,6.0,20.7,102.68,47.0
2013,2,NYJ,NYJ,NE,18.0,11.4,34.0,0.0,5.4,50.8,13.0
2013,2,OAK,OAK,JAX,12.0,13.64,42.6,0.0,1.4000000000000004,57.64,9.0
