grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,player,player_game_count,player_id,position,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,season,team_name,total_attempts,week,team_name_games,opponent,over_under_line,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite
,,,0,0,0,0,0,0,,Drayton Florence,1,1362,CB,1,0,0,0,0,0,0.0,2013,CAR,1,10,CAR,SF,42.5,,62.0,6.0,5.5,0
58.8,77.9,70.8,2,0,23,0,0,42,21.0,Ted Ginn Jr.,1,3625,WR,3,1,25,0,0,65,21.7,2013,CAR,5,10,CAR,SF,42.5,,62.0,6.0,5.5,0
,60.1,60.2,0,0,0,0,0,0,,Brandon LaFell,1,5602,WR,1,0,0,0,0,0,0.0,2013,CAR,1,10,CAR,SF,42.5,,62.0,6.0,5.5,0
,,,1,0,17,0,0,17,17.0,Greg Jones II,1,1776,FB,0,0,0,0,0,0,,2013,HST,1,10,HOU,ARI,42,DOME,72.0,0.0,3.5,0
62.2,,62.4,4,0,31,0,0,101,25.3,Deji Karim,1,5703,HB,0,0,0,0,0,0,,2013,HST,4,10,HOU,ARI,42,DOME,72.0,0.0,3.5,0
,62.2,61.7,0,0,0,0,0,0,,Keshawn Martin,1,7121,WR,2,1,12,0,0,12,6.0,2013,HST,2,10,HOU,ARI,42,DOME,72.0,0.0,3.5,0
,60.3,60.5,0,0,0,0,0,0,,Adam Jones,1,2223,CB,1,0,15,0,0,15,15.0,2013,CIN,1,10,CIN,BAL,43.5,,62.0,17.0,2.0,0
58.4,64.3,61.6,2,0,26,0,0,50,25.0,Brandon Tate,1,5006,WR,5,1,12,0,0,47,9.4,2013,CIN,7,10,CIN,BAL,43.5,,62.0,17.0,2.0,0
,35.9,41.5,0,0,0,0,0,0,,Darren Sproles,1,2347,HB,3,3,12,0,0,18,6.0,2013,NO,3,10,NO,DAL,53.5,DOME,72.0,0.0,-5.5,1
63.1,60.9,63.5,4,0,39,0,0,114,28.5,Devin Hester,1,3002,WR,1,3,16,0,0,16,16.0,2013,CHI,5,10,CHI,DET,52,,47.0,6.0,1.5,0
62.5,60.6,62.6,3,0,34,0,0,71,23.7,Micheal Spurlock,1,3517,WR,0,4,0,0,0,0,,2013,DET,3,10,DET,CHI,52,,47.0,6.0,-1.5,1
,,,1,0,0,0,0,0,0.0,Joique Bell,1,5797,HB,0,0,0,0,0,0,,2013,DET,1,10,DET,CHI,52,,47.0,6.0,-1.5,1
