season,week,team_name,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,punt_attempts,punt_fair_catches,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,team_name_games,opponent,over_under_line,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite,fantasy_points
2013,1,ARZ,37.8,60.7,48.05,2,0,0,0,32,16.0,1,0,0,0,1,1.0,ARI,LAR,41.5,DOME,72.0,0.0,3.5,0,0
2013,1,ATL,,61.8,61.5,0,0,0,0,0,,2,0,0,0,21,10.5,ATL,NO,56.0,DOME,72.0,0.0,3.5,0,0
2013,1,BLT,,61.6,61.3,0,0,0,0,0,,1,4,0,0,13,13.0,BAL,DEN,49.5,,83.0,7.0,7.5,0,0
2013,1,BUF,57.2,53.3,56.2,3,0,0,0,19,9.5,0,1,0,0,0,,BUF,NE,51.5,,65.0,6.0,10.5,0,0
2013,1,CAR,58.3,61.2,59.2,0,0,0,0,0,,3,2,0,0,10,2.5,CAR,SEA,45.0,,87.0,7.0,3.5,0,0
2013,1,CHI,62.5,61.2,63.2,1,0,0,0,31,31.0,2,0,0,0,1,0.5,CHI,CIN,42.0,,77.0,13.0,-3.0,1,0
2013,1,CIN,57.8,67.94999999999999,66.05,0,0,0,0,0,,1,1,0,0,13,13.0,CIN,CHI,42.0,,77.0,13.0,3.0,0,0
2013,1,CLV,59.45,62.6,60.15,4,0,0,0,103,25.8,2,2,0,0,31,15.5,CLE,MIA,40.5,,72.0,16.0,-2.5,1,0
2013,1,DAL,59.3,61.8,59.9,5,0,0,0,0,0.0,2,0,0,0,19,9.5,DAL,NYG,50.0,DOME,72.0,0.0,-3.5,1,0
2013,1,DEN,59.15,51.3,51.6,0,0,0,0,0,,5,1,0,0,63,18.0,DEN,BAL,49.5,,83.0,7.0,-7.5,1,0
2013,1,DET,58.4,63.5,61.0,2,0,0,0,0,0.0,5,0,0,0,37,7.4,DET,MIN,47.5,DOME,72.0,0.0,-4.5,1,0
2013,1,GB,55.4,61.25,58.65000000000001,6,0,0,0,40,6.7,2,2,0,0,25,12.5,GB,SF,48.5,,69.0,6.0,5.0,0,0
2013,1,HST,72.0,61.7,71.2,5,0,0,0,116,23.2,3,1,0,0,21,7.0,HOU,LAC,45.5,,70.0,3.0,-6.5,1,0
2013,1,IND,,61.1,61.0,0,0,0,0,0,,1,0,0,0,23,23.0,IND,OAK,45.5,DOME,72.0,0.0,-11.5,1,0
2013,1,JAX,59.0,61.3,59.6,2,0,0,0,48,24.0,1,4,0,0,0,0.0,JAX,KC,43.0,,87.0,10.0,4.5,0,0
2013,1,KC,59.9,64.9,61.8,1,0,0,0,0,0.0,7,1,0,0,80,11.4,KC,JAX,43.0,,87.0,10.0,-4.5,1,0
2013,1,MIA,59.0,62.9,61.1,1,0,0,0,24,24.0,3,2,0,0,7,2.3,MIA,CLE,40.5,,72.0,16.0,2.5,0,0
2013,1,MIN,61.3,60.9,61.1,2,0,0,0,54,27.0,1,0,0,0,6,6.0,MIN,DET,47.5,DOME,72.0,0.0,4.5,0,0
2013,1,NE,63.0,62.4,62.6,3,0,0,0,35,11.7,3,2,0,0,32,10.7,NE,BUF,51.5,,65.0,6.0,-10.5,1,0
2013,1,NO,58.5,62.1,60.2,1,0,0,0,23,23.0,4,0,0,0,7,1.8,NO,ATL,56.0,DOME,72.0,0.0,-3.5,1,0
2013,1,NYG,61.3,70.2,64.65,4,0,0,0,26,6.5,4,1,0,0,20,5.0,NYG,DAL,50.0,DOME,72.0,0.0,3.5,0,0
2013,1,NYJ,61.2,60.95,62.8,1,0,0,0,19,19.0,1,2,0,0,9,9.0,NYJ,TB,39.0,,82.0,9.0,6.0,0,0
2013,1,OAK,58.8,60.7,59.65000000000001,2,0,0,0,47,23.5,1,1,0,0,5,5.0,OAK,IND,45.5,DOME,72.0,0.0,11.5,0,0
2013,1,PHI,59.0,60.05,59.05,3,0,0,0,37,12.333333333333336,0,1,0,0,0,,PHI,WAS,53.5,,80.0,9.0,4.5,0,0
2013,1,PIT,58.66666666666666,61.0,59.63333333333333,4,0,0,0,78,19.83333333333333,1,3,0,0,1,1.0,PIT,TEN,42.0,,74.0,9.0,-6.0,1,0
2013,1,SD,62.6,60.7,61.75,4,0,0,0,42,10.5,1,1,0,0,5,5.0,LAC,HOU,45.5,,70.0,3.0,6.5,0,0
2013,1,SEA,,64.1,63.2,0,0,0,0,0,,4,0,0,0,48,12.0,SEA,CAR,45.0,,87.0,7.0,-3.5,1,0
2013,1,SF,62.1,61.4,61.7,2,0,0,0,60,30.0,2,3,0,0,8,4.0,SF,GB,48.5,,69.0,6.0,-5.0,1,0
2013,1,SL,62.3,61.5,61.85,3,0,0,0,46,11.5,1,1,0,0,1,1.0,LAR,ARI,41.5,DOME,72.0,0.0,-3.5,1,0
2013,1,TB,59.46666666666667,62.4,60.1,3,0,0,0,91,17.333333333333332,3,1,0,0,35,11.7,TB,NYJ,39.0,,82.0,9.0,-6.0,1,0
