season,week,team_name,assists,declined_penalties,grades_fgep_kicker,grades_kick_return,grades_kickoff_kicker,snap_counts_field_goal_blocking,grades_misc_st,grades_punt_return,grades_punter,missed_tackles,penalties,tackles,all_penalties,team_name_games,opponent,over_under_line,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite,fantasy_points
2013,1,ARZ,1.0,0.0,50.6,37.8,60.0,5.0,60.106060606060616,60.7,62.8,0.0,0.0,3.0,0.0,ARI,LAR,41.5,DOME,72.0,0.0,3.5,0,10.0
2013,1,ATL,0.0,0.0,61.1,57.4,60.0,5.0,60.64324324324325,61.8,69.7,0.0,0.0,5.0,0.0,ATL,NO,56.0,DOME,72.0,0.0,3.5,0,10.0
2013,1,BLT,2.0,0.0,62.3,59.13333333333333,60.0,7.0,56.79736842105262,60.85,78.1,2.0,2.0,5.0,2.0,BAL,DEN,49.5,,83.0,7.0,7.5,0,14.0
2013,1,BUF,0.0,0.0,60.9,58.13333333333333,60.0,5.0,58.63076923076922,53.3,69.5,0.0,1.0,5.0,1.0,BUF,NE,51.5,,65.0,6.0,10.5,0,10.0
2013,1,CAR,1.0,0.0,60.1,58.3,60.0,2.0,59.01714285714286,61.2,76.7,2.0,2.0,4.0,2.0,CAR,SEA,45.0,,87.0,7.0,3.5,0,4.0
2013,1,CHI,0.0,0.0,76.5,62.5,60.0,3.0,58.43428571428571,61.2,64.9,2.0,0.0,1.0,0.0,CHI,CIN,42.0,,77.0,13.0,-3.0,1,6.0
2013,1,CIN,1.0,0.0,60.9,57.8,60.0,4.0,59.14594594594595,67.94999999999999,64.5,0.0,4.0,3.0,4.0,CIN,CHI,42.0,,77.0,13.0,3.0,0,8.0
2013,1,CLV,1.0,0.0,61.9,59.45,60.0,5.0,60.52857142857143,62.6,70.1,1.0,1.0,3.0,1.0,CLE,MIA,40.5,,72.0,16.0,-2.5,1,10.0
2013,1,DAL,0.0,0.0,65.9,59.3,64.7,5.0,60.443243243243245,61.8,62.2,3.0,0.0,5.0,0.0,DAL,NYG,50.0,DOME,72.0,0.0,-3.5,1,10.0
2013,1,DEN,1.0,0.0,61.7,59.43333333333334,64.7,5.0,60.86999999999999,51.3,72.4,1.0,0.0,1.0,0.0,DEN,BAL,49.5,,83.0,7.0,-7.5,1,10.0
2013,1,DET,0.0,0.0,64.3,58.4,61.9,4.0,58.57499999999999,63.5,61.1,1.0,2.0,3.0,2.0,DET,MIN,47.5,DOME,72.0,0.0,-4.5,1,8.0
2013,1,GB,0.0,0.0,61.2,55.4,60.0,7.0,59.7,61.25,67.0,1.0,2.0,4.0,2.0,GB,SF,48.5,,69.0,6.0,5.0,0,14.0
2013,1,HST,0.0,0.0,61.5,72.0,60.0,4.0,60.12894736842105,61.7,65.7,1.0,0.0,2.0,0.0,HOU,LAC,45.5,,70.0,3.0,-6.5,1,8.0
2013,1,IND,0.0,0.0,60.9,58.3,60.0,4.0,60.44571428571428,61.1,57.2,1.0,0.0,3.0,0.0,IND,OAK,45.5,DOME,72.0,0.0,-11.5,1,8.0
2013,1,JAX,0.0,0.0,,59.0,60.0,4.0,57.22727272727274,61.3,74.7,5.0,1.0,7.0,1.0,JAX,KC,43.0,,87.0,10.0,4.5,0,8.0
