player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Charles Woodson,330,S,1,OAK,60,0,16,44,64.6,63.3,72.9,,62.9,0,0,0,0,0,5,3,1,2,0,3,2,10,5.0,8,7.0,0,1,0,31.9,0,0,2014,14
Justin Smith,776,DI,1,SF,46,25,21,0,65.2,74.9,72.5,48.2,,1,0,1,0,0,3,2,0,3,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Ryan Pickett,799,DI,1,HST,19,12,7,0,61.5,58.1,68.6,63.3,,0,0,0,0,1,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Julius Peppers,1010,ED,1,GB,58,37,21,0,59.8,65.2,73.2,53.7,,2,0,1,1,0,3,0,1,3,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Dwight Freeney,1019,ED,1,SD,36,30,4,2,49.2,63.7,20.2,54.1,55.8,3,0,1,2,0,0,0,2,0,0,1,1,35,35.0,30,35.0,0,0,0,118.8,0,0,2014,14
Larry Foote,1126,LB,1,ARZ,65,15,16,34,44.3,49.7,54.4,54.1,49.4,3,0,0,3,0,2,2,1,1,0,5,3,60,20.0,35,29.0,1,0,1,141.7,0,0,2014,14
Ryan Clark,1229,S,1,WAS,61,0,31,30,61.4,50.8,60.2,,71.1,0,0,0,0,0,7,1,2,1,0,1,0,0,,0,,0,0,0,39.6,1,0,2014,14
Terence Newman,1321,CB,1,CIN,47,1,19,27,49.9,82.6,57.4,60.0,41.1,0,0,0,0,0,6,1,1,2,0,8,6,85,14.2,34,32.0,0,0,1,108.9,1,0,2014,14
Kevin Williams,1325,DI,1,SEA,22,11,11,0,68.2,65.7,68.7,62.3,,1,0,1,0,0,1,1,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Terrell Suggs,1326,ED,1,BLT,42,29,10,3,62.7,59.8,75.4,68.1,64.8,5,2,0,3,0,2,1,0,2,0,0,0,0,,0,,0,0,0,0.0,1,0,2014,14
Troy Polamalu,1332,S,1,PIT,55,2,18,35,41.5,35.6,80.7,54.6,51.4,0,0,0,0,0,2,0,0,1,0,1,1,56,56.0,12,56.0,0,0,0,118.8,0,0,2014,14
Calvin Pace,1334,ED,1,NYJ,49,13,24,12,70.4,76.7,73.2,49.3,67.7,1,0,0,1,0,1,1,0,0,0,1,1,6,6.0,1,6.0,0,0,0,91.7,0,0,2014,14
Rashean Mathis,1355,CB,1,DET,64,0,11,53,69.2,61.5,79.9,,68.8,0,0,0,0,0,5,1,0,2,0,9,5,54,10.8,1,26.0,2,0,0,113.0,0,0,2014,14
Osi Umenyiora,1371,ED,1,ATL,9,9,0,0,58.8,,,58.4,,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Cory Redding,1381,DI,1,IND,49,24,25,0,58.3,69.2,74.0,53.3,,1,0,1,0,0,2,4,0,1,0,0,0,0,,0,,0,0,0,0.0,1,0,2014,14
Jarret Johnson,1421,ED,1,SD,37,1,22,14,66.2,57.2,79.7,59.1,70.8,0,0,0,0,0,3,3,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Ike Taylor,1437,CB,1,PIT,38,0,14,24,41.1,63.1,57.4,,37.9,0,0,0,0,0,7,0,1,4,0,10,9,141,15.7,53,81.0,1,0,0,152.1,0,0,2014,14
Chris Clemons,1585,ED,1,JAX,44,21,23,0,66.7,60.6,69.5,59.3,62.9,2,0,0,2,0,2,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Colin Cole,1589,DI,1,CAR,25,21,4,0,66.9,61.4,,55.8,60.0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Cullen Jenkins,1637,DI,1,NYG,13,10,3,0,52.3,58.2,68.1,53.1,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
D.J. Williams,1738,LB,1,CHI,39,0,25,14,31.9,39.6,49.7,,44.4,0,0,0,0,0,4,1,1,1,0,2,2,13,6.5,14,9.0,0,0,0,93.8,0,0,2014,14
Vince Wilfork,1742,DI,1,NE,32,21,11,0,60.9,71.1,26.3,50.7,,2,0,0,2,0,0,1,1,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
