player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent,season,week
Adam Vinatieri,226,K,1,IND,69.7,3,3,100.0,0,0,,0,0,,0,0,,2,2,100.0,0,0,,2015,5
Phil Dawson,422,K,1,SF,66.3,3,3,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,0,0,,2015,5
Sebastian Janikowski,595,K,1,OAK,44.2,1,1,100.0,0,0,,0,0,,0,1,0.0,0,1,0.0,1,1,100.0,2015,5
Matt Bryant,1223,K,1,ATL,37.4,1,1,100.0,0,0,,1,1,100.0,0,1,0.0,1,2,50.0,0,0,,2015,5
Josh Brown,1520,K,1,NYG,65.9,3,3,100.0,0,0,,2,2,100.0,0,0,,1,1,100.0,0,0,,2015,5
Mike Nugent,2264,K,1,CIN,82.7,3,3,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2015,5
Robbie Gould,2607,K,1,CHI,64.3,0,0,,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2015,5
Nick Novak,2726,K,1,HST,68.2,2,2,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2015,5
Stephen Gostkowski,3063,K,1,NE,79.7,3,3,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,2015,5
Matt Prater,3471,K,1,DET,64.6,2,2,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2015,5
Mason Crosby,3809,K,1,GB,68.1,3,3,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2015,5
Stephen Hauschka,4655,K,1,SEA,63.9,3,3,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2015,5
Dan Carpenter,4697,K,1,BUF,62.3,2,2,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2015,5
Connor Barth,4777,K,1,TB,70.7,3,3,100.0,0,0,,0,0,,1,1,100.0,2,2,100.0,0,0,,2015,5
Ryan Succop,5180,K,1,TEN,64.0,1,1,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,0,0,,2015,5
Dan Bailey,6796,K,1,DAL,66.2,0,0,,0,0,,1,1,100.0,0,0,,0,0,,1,1,100.0,2015,5
Greg Zuerlein,7163,K,1,SL,52.5,1,1,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,3,0.0,2015,5
Justin Tucker,7604,K,1,BLT,52.6,3,3,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,1,0.0,2015,5
Caleb Sturgis,7948,K,1,PHI,54.2,3,4,75.0,0,0,,2,2,100.0,1,1,100.0,1,1,100.0,0,0,,2015,5
Dustin Hopkins,7958,K,1,WAS,64.7,1,1,100.0,0,0,,1,1,100.0,0,0,,0,0,,1,2,50.0,2015,5
Brandon McManus,8437,K,1,DEN,67.7,1,1,100.0,0,0,,2,2,100.0,0,0,,0,0,,1,1,100.0,2015,5
Zach Hocker,8862,K,1,NO,62.7,2,2,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2015,5
Cairo Santos,8932,K,1,KC,63.8,2,2,100.0,0,0,,0,1,0.0,1,1,100.0,0,0,,0,1,0.0,2015,5
Chris Boswell,8990,K,1,PIT,67.4,3,3,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2015,5
Chandler Catanzaro,9140,K,1,ARZ,65.9,6,6,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2015,5
Travis Coons,9268,K,1,CLV,76.9,1,1,100.0,0,0,,0,0,,2,2,100.0,2,2,100.0,0,0,,2015,5
Josh Lambo,10133,K,1,SD,64.3,2,2,100.0,0,0,,0,0,,0,0,,1,1,100.0,1,2,50.0,2015,5
Jason Myers,10207,K,1,JAX,65.1,4,4,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2015,5
