player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Frank Gore,2282,HB,1,SF,28,26,158,6.1,1,61.6,62.2,78.6,60.0,93,3.58,52,6,4,0,0,0,2014,16
Andre Williams,8748,HB,1,NYG,26,26,110,4.2,0,52.9,54.3,78.9,,60,2.31,45,2,4,0,0,0,2014,16
Arian Foster,5398,HB,1,HST,28,25,96,3.8,0,55.3,58.8,78.9,60.0,52,2.08,34,4,5,0,0,0,2014,16
Jonathan Stewart,4327,HB,1,CAR,31,24,122,5.1,0,77.9,78.8,78.4,54.7,65,2.71,30,5,2,0,0,0,2014,16
Latavius Murray,7962,HB,1,OAK,27,23,86,3.7,0,68.4,64.8,78.6,60.0,59,2.57,25,3,3,0,0,0,2014,16
LeSean McCoy,4976,HB,1,PHI,23,22,88,4.0,1,66.1,69.1,78.6,60.0,35,1.59,22,5,1,0,0,0,2014,16
DeMarco Murray,6223,HB,1,DAL,22,22,58,2.6,1,62.3,63.0,77.7,,32,1.45,11,5,0,0,1,0,2014,16
Jeremy Hill,8690,HB,1,CIN,27,22,147,6.7,1,60.2,60.1,26.2,60.0,115,5.23,85,6,2,1,0,0,2014,16
Alfred Morris,7165,HB,1,WAS,25,21,83,4.0,1,60.3,60.2,77.7,60.0,60,2.86,28,3,4,0,0,0,2014,16
Le'Veon Bell,7829,HB,1,PIT,23,20,63,3.2,1,51.6,51.0,77.3,60.0,43,2.15,7,6,0,0,0,0,2014,16
Lamar Miller,7097,HB,1,MIA,25,19,92,4.8,1,79.9,78.1,77.9,60.0,40,2.11,14,6,3,0,0,0,2014,16
Matt Forte,4358,HB,1,CHI,20,19,55,2.9,0,56.2,57.0,77.8,60.0,37,1.95,10,1,0,0,1,1,2014,16
C.J. Anderson,8101,HB,1,DEN,18,18,83,4.6,1,68.5,77.2,77.8,,47,2.61,27,6,5,0,0,0,2014,16
Eddie Lacy,7842,HB,1,GB,18,17,99,5.8,1,69.9,69.9,76.9,60.0,84,4.94,44,4,4,0,0,0,2014,16
Isaiah Crowell,9295,HB,1,CLV,18,16,55,3.4,0,44.9,48.1,75.8,60.0,24,1.5,26,2,0,0,0,0,2014,16
Matt Asiata,6432,HB,1,MIN,17,16,58,3.6,2,58.8,63.1,76.7,60.0,42,2.63,10,6,0,0,0,0,2014,16
Bishop Sankey,8689,HB,1,TEN,14,14,44,3.1,0,53.5,52.0,75.3,,37,2.64,8,2,2,0,0,0,2014,16
