player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Adam Vinatieri,226,K,1,IND,0,0,0,0,0,6,60.0,,,,,67.6,0,0,0,0,0,2016,6
Phil Dawson,422,K,1,SF,0,0,0,0,0,4,60.0,,,,,70.6,0,0,0,0,0,2016,6
Sebastian Janikowski,595,K,1,OAK,0,2,0,0,0,3,60.0,60.0,,,,52.9,0,0,0,0,0,2016,6
Shane Lechler,673,P,1,HST,0,0,0,5,0,5,60.6,,,59.9,,,0,0,0,0,0,2016,6
Julius Peppers,1010,ED,1,GB,0,0,0,0,6,4,59.7,,,,,,0,0,0,0,0,2016,6
Matt Bryant,1223,K,1,ATL,0,0,0,0,0,4,60.0,,,,,64.5,0,0,0,0,0,2016,6
James Harrison,1251,ED,1,PIT,0,0,0,0,3,0,60.1,,,,,,0,0,0,0,0,2016,6
Andre Johnson,1319,WR,1,TEN,2,0,0,0,0,0,56.5,,,,,,0,0,0,0,0,2016,6
Jason Witten,1384,TE,1,DAL,1,0,0,0,0,6,60.7,,61.2,,,,0,0,0,0,0,2016,6
Robert Mathis,1447,ED,1,IND,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2016,6
Josh Brown,1520,K,1,NYG,0,6,0,0,0,5,60.0,60.0,,,,64.4,0,0,0,0,0,2016,6
Jon Dorenbos,1600,LS,1,PHI,0,0,0,6,0,4,64.7,,,,,,0,0,0,0,0,2016,6
Cullen Jenkins,1637,DI,1,WAS,0,0,0,0,4,0,60.1,,,,,,0,0,0,0,0,2016,6
Vince Wilfork,1742,DI,1,HST,0,0,0,0,6,0,59.0,,,,,,0,0,0,0,0,2016,6
Karlos Dansby,1754,LB,1,CIN,0,0,0,0,6,0,60.3,,,,,,0,0,0,0,0,2016,6
Andy Lee,1906,P,1,CAR,0,0,0,5,0,5,61.7,,,67.5,,,0,0,1,0,0,2016,6
Donnie Jones,1939,P,1,PHI,0,0,0,6,0,4,60.6,,,60.2,,,0,0,0,0,0,2016,6
Mike Adams,1972,S,1,IND,1,0,1,0,4,0,60.3,,,,,,0,0,0,0,0,2016,6
